Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Orestis Karnezis,gr GRE,GK,30.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Danilo Larangeira,br BRA,DF,31.0,34,34,2947.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Cyril Théréau,fr FRA,FW,32.0,36,34,2894.0,32.2,11.0,3.0,14.0,11.0,0.0,0.0,2.0,1.0,0.34,0.09,0.44,0.34,0.44,Matches
Emmanuel Agyemang-Badu,gh GHA,MF,24.0,33,30,2661.0,29.6,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,0.14,0.03,0.17,0.14,0.17,Matches
Edenílson,br BRA,"FW,MF",25.0,29,26,2204.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felipe dal Belo,br BRA,DF,31.0,26,26,2139.0,23.8,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,0.04,0.04,0.08,0.04,0.08,Matches
Bruno Fernandes,pt POR,"FW,MF",20.0,31,24,2110.0,23.4,3.0,4.0,7.0,2.0,1.0,1.0,9.0,1.0,0.13,0.17,0.3,0.09,0.26,Matches
Silvan Widmer,ch SUI,"DF,MF",22.0,27,21,1908.0,21.2,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Ali Adnan Kadhim,iq IRQ,"DF,MF",21.0,28,21,1904.0,21.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches
Francesco Lodi,it ITA,MF,31.0,24,20,1871.0,20.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches
Iván Piris,py PAR,DF,26.0,27,20,1869.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Molla Wagué,ml MLI,DF,24.0,21,20,1691.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Duván Zapata,co COL,FW,24.0,25,15,1518.0,16.9,8.0,2.0,10.0,8.0,0.0,0.0,6.0,0.0,0.47,0.12,0.59,0.47,0.59,Matches
Manuel Iturra,cl CHI,MF,31.0,17,14,1023.0,11.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Zdravko Kuzmanović,rs SRB,MF,27.0,16,13,1131.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Antonio Di Natale,it ITA,FW,37.0,23,12,1148.0,12.8,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,0.16,0.31,0.47,0.08,0.39,Matches
Thomas Heurtaux,fr FRA,DF,27.0,15,10,1075.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emil Hallfreðsson,is ISL,"FW,MF",31.0,11,7,662.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stipe Perica,hr CRO,FW,20.0,11,5,466.0,5.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches
Pablo Armero,co COL,"DF,MF",28.0,5,5,417.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches
Marquinho,br BRA,"DF,MF",29.0,11,4,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ryder Matos,br BRA,"FW,MF",22.0,11,4,414.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.22,0.0,0.22,Matches
Guilherme,qa QAT,MF,24.0,5,4,338.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rodrigo Aguirre,uy URU,FW,20.0,10,3,340.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches
Maurizio Domizzi,it ITA,DF,35.0,5,3,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giovanni Pasquale,it ITA,DF,33.0,6,2,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Panagiotis Kone,gr GRE,MF,28.0,5,2,232.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.39,0.39,0.0,0.39,Matches
Alexander Merkel,kz KAZ,MF,23.0,1,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrija Balić,hr CRO,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Agostino Camigliano,it ITA,DF,21.0,0,0,,,,,,,,,,,,,,,,Matches
Mauro Coppolaro,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Lucas Evangelista,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Gaspar Iñíguez,ar ARG,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches
Emanuel Insúa,ar ARG,DF,24.0,0,0,,,,,,,,,,,,,,,,Matches
Alex Meret,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,Matches
Neuton,br BRA,DF,25.0,0,0,,,,,,,,,,,,,,,,Matches
Samuele Perisan,it ITA,GK,17.0,0,0,,,,,,,,,,,,,,,,Matches
Giampiero Pinzi,it ITA,MF,34.0,0,0,,,,,,,,,,,,,,,,Matches
Simone Pontisso,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Rafael Romo,ve VEN,GK,25.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.6,38,418,3420.0,38.0,34.0,23.0,57.0,32.0,2.0,2.0,105.0,0.0,0.89,0.61,1.5,0.84,1.45,
Opponent Total,,,26.9,38,418,3420.0,38.0,59.0,37.0,96.0,52.0,7.0,8.0,95.0,5.0,1.55,0.97,2.53,1.37,2.34,
