Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ladislav Krejčí,cz CZE,"DF,FW",24.0,37,33,2772.0,30.8,1.0,8.0,9.0,0.0,1.0,1.0,2.0,0.0,0.03,0.26,0.29,0.0,0.26,Matches
Blerim Džemaili,ch SUI,MF,30.0,31,29,2583.0,28.7,8.0,3.0,11.0,8.0,0.0,0.0,10.0,1.0,0.28,0.1,0.38,0.28,0.38,Matches
Domenico Maietta,it ITA,DF,33.0,29,29,2373.0,26.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Mattia Destro,it ITA,FW,25.0,30,28,2467.0,27.4,11.0,0.0,11.0,11.0,0.0,1.0,4.0,0.0,0.4,0.0,0.4,0.4,0.4,Matches
Adam Masina,ma MAR,DF,22.0,32,28,2428.0,27.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.04,0.04,0.07,0.04,0.07,Matches
Simone Verdi,it ITA,"FW,MF",24.0,28,25,2117.0,23.5,6.0,4.0,10.0,6.0,0.0,0.0,4.0,0.0,0.26,0.17,0.43,0.26,0.43,Matches
Daniele Gastaldello,it ITA,DF,33.0,24,24,1920.0,21.3,0.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,0.05,0.05,0.0,0.05,Matches
Vasilis Torosidis,gr GRE,"DF,MF",31.0,28,23,1939.0,21.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches
Saphir Taïder,dz ALG,MF,24.0,24,22,1900.0,21.1,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
Ádám Nagy,hu HUN,MF,21.0,25,22,1803.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Antonio Mirante,it ITA,GK,33.0,21,21,1879.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erick Pulgar,cl CHI,"DF,MF",22.0,27,17,1595.0,17.7,1.0,1.0,2.0,1.0,0.0,0.0,7.0,2.0,0.06,0.06,0.11,0.06,0.11,Matches
Angelo da Costa Júnior,br BRA,GK,32.0,18,17,1541.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emil Krafth,se SWE,DF,21.0,26,16,1656.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Viviani,it ITA,MF,24.0,17,13,1117.0,12.4,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,0.16,0.16,0.32,0.16,0.32,Matches
Marios Oikonomou,gr GRE,DF,23.0,18,12,1248.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Di Francesco,it ITA,"FW,MF",22.0,24,11,1088.0,12.1,4.0,3.0,7.0,4.0,0.0,0.0,3.0,1.0,0.33,0.25,0.58,0.33,0.58,Matches
Ibrahima Mbaye,sn SEN,"DF,MF",21.0,16,11,1068.0,11.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
Godfred Donsah,gh GHA,MF,20.0,13,10,885.0,9.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches
Filip Helander,se SWE,"DF,MF",23.0,11,9,837.0,9.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
Bruno Petković,hr CRO,FW,21.0,12,4,529.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Rizzo,it ITA,MF,24.0,12,4,456.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Mounier,fr FRA,"FW,MF",28.0,6,4,292.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sergio Floccari,it ITA,FW,34.0,5,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Orji Okwonkwo,ng NGA,FW,18.0,9,1,252.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Umar Sadiq,ng NGA,FW,19.0,7,1,235.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.38,0.38,0.0,0.38,Matches
Alex Ferrari,it ITA,DF,22.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Archimede Morleo,it ITA,DF,32.0,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Franco Brienza,it ITA,"FW,MF",37.0,0,0,,,,,,,,,,,,,,,,Matches
Fabrizio Brignani,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Nicolò Cherubin,it ITA,DF,29.0,0,0,,,,,,,,,,,,,,,,Matches
Mattia Cozzari,it ITA,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Lorenzo Crisetig,it ITA,MF,23.0,0,0,,,,,,,,,,,,,,,,Matches
Gianluca Frabotta,it ITA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Alfred Gomis,sn SEN,GK,22.0,0,0,,,,,,,,,,,,,,,,Matches
Juan Manuel Valencia,co COL,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Emanuele Monari,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,Matches
Federico Ravaglia,it ITA,GK,16.0,0,0,,,,,,,,,,,,,,,,Matches
Mouhamadou Sarr,sn SEN,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Vincenzo Silvestro,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Aaron Tabacchi,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches
Giordano Trovade,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.3,38,418,3420.0,38.0,39.0,29.0,68.0,38.0,1.0,2.0,87.0,2.0,1.03,0.76,1.79,1.0,1.76,
Opponent Total,,,27.1,38,418,3420.0,38.0,56.0,44.0,100.0,52.0,4.0,5.0,81.0,7.0,1.47,1.16,2.63,1.37,2.53,
