Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Stefano Sorrentino,it ITA,GK,37.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valter Birsa,si SVN,"FW,MF",29.0,35,34,2761.0,30.7,7.0,9.0,16.0,7.0,0.0,0.0,5.0,0.0,0.23,0.29,0.52,0.23,0.52,Matches
Lucas Castro,ar ARG,MF,27.0,33,33,2759.0,30.7,5.0,6.0,11.0,5.0,0.0,0.0,7.0,1.0,0.16,0.2,0.36,0.16,0.36,Matches
Ivan Radovanović,rs SRB,"DF,MF",27.0,35,32,2894.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Massimo Gobbi,it ITA,"DF,MF",35.0,30,30,2601.0,28.9,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches
Fabrizio Cacciatore,it ITA,DF,29.0,29,29,2507.0,27.9,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.04,0.07,0.11,0.04,0.11,Matches
Dario Dainelli,it ITA,DF,37.0,26,25,2191.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roberto Inglese,it ITA,FW,24.0,34,22,1964.0,21.8,10.0,4.0,14.0,10.0,0.0,1.0,0.0,0.0,0.46,0.18,0.64,0.46,0.64,Matches
Përparim Hetemaj,fi FIN,MF,29.0,23,21,1872.0,20.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Riccardo Meggiorini,it ITA,FW,30.0,27,20,1769.0,19.7,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Alessandro Gamberini,it ITA,DF,34.0,20,20,1666.0,18.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Sergio Pellissier,it ITA,FW,37.0,30,18,1730.0,19.2,9.0,2.0,11.0,6.0,3.0,3.0,1.0,0.0,0.47,0.1,0.57,0.31,0.42,Matches
Boštjan Cesar,si SVN,DF,34.0,17,16,1436.0,16.0,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,0.06,0.0,0.06,0.06,0.06,Matches
Nicolás Spolli,ar ARG,DF,33.0,21,15,1594.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathan de Guzmán,nl NED,MF,28.0,27,15,1365.0,15.2,2.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.13,0.07,0.2,0.07,0.13,Matches
