Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gian Marco Ferrari,it ITA,DF,24.0,37,37,3330.0,37.0,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,0.08,0.03,0.11,0.08,0.11,Matches
Alex Cordaz,it ITA,GK,33.0,36,36,3236.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Falcinelli,it ITA,"FW,MF",25.0,35,35,3124.0,34.7,13.0,2.0,15.0,11.0,2.0,2.0,7.0,0.0,0.37,0.06,0.43,0.32,0.37,Matches
Federico Ceccherini,it ITA,DF,24.0,35,35,3097.0,34.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Aleandro Rosi,it ITA,"DF,MF",29.0,31,30,2560.0,28.4,1.0,1.0,2.0,1.0,0.0,0.0,12.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches
Marcus Rohdén,se SWE,MF,25.0,34,30,2448.0,27.2,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.04,0.15,0.18,0.04,0.18,Matches
Lorenzo Crisetig,it ITA,MF,23.0,32,29,2538.0,28.2,0.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches
Bruno Martella,it ITA,"DF,MF",23.0,29,26,2319.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Barberis,it ITA,MF,22.0,26,23,2059.0,22.9,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Marcello Trotta,it ITA,FW,23.0,29,23,1874.0,20.8,3.0,5.0,8.0,2.0,1.0,1.0,2.0,0.0,0.14,0.24,0.38,0.1,0.34,Matches
Leonardo Capezzi,it ITA,MF,21.0,25,18,1637.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrian Stoian,ro ROU,MF,25.0,27,17,1567.0,17.4,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.17,0.11,0.29,0.17,0.29,Matches
Raffaele Palladino,it ITA,"FW,MF",32.0,19,16,1430.0,15.9,2.0,0.0,2.0,1.0,1.0,2.0,5.0,0.0,0.13,0.0,0.13,0.06,0.06,Matches
Mario Sampirisi,it ITA,"DF,MF",23.0,23,11,1204.0,13.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.15,0.07,0.15,Matches
Aleksandar Tonev,bg BUL,MF,26.0,13,9,743.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Claiton,br BRA,DF,31.0,10,9,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Djamel Mesbah,dz ALG,"DF,MF",31.0,10,8,680.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Nalini,it ITA,FW,26.0,17,7,815.0,9.1,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.22,0.22,0.44,0.22,0.44,Matches
Aniello Salzano,it ITA,MF,25.0,7,6,500.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simeon Nwankwo,ng NGA,FW,24.0,21,4,579.0,6.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.47,0.0,0.47,0.47,0.47,Matches
Noë Dussenne,be BEL,DF,24.0,8,4,465.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Maxwell Acosty,gh GHA,"FW,MF",24.0,11,3,378.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Festa,it ITA,GK,24.0,3,2,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrej Kotnik,si SVN,MF,20.0,2,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eddy Gnahoré,fr FRA,MF,22.0,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ćazim Suljić,ba BIH,FW,19.0,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pietro De Giorgio,it ITA,MF,33.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nunzio Di Roberto,it ITA,FW,30.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolò Fazzi,it ITA,"DF,MF",21.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Cuomo,it ITA,DF,18.0,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Borello,,,,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Giuseppe Borello,it ITA,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Valentin Cojocaru,ro ROU,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches
Manuel Nicoletti,it ITA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Aniello Viscovo,it ITA,GK,17.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.0,38,418,3420.0,38.0,34.0,22.0,56.0,30.0,4.0,5.0,93.0,3.0,0.89,0.58,1.47,0.79,1.37,
Opponent Total,,,26.8,38,418,3420.0,38.0,58.0,40.0,98.0,52.0,6.0,10.0,60.0,6.0,1.53,1.05,2.58,1.37,2.42,
