Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Łukasz Skorupski,pl POL,GK,25.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuseppe Bellusci,it ITA,DF,26.0,33,33,2970.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Daniele Croce,it ITA,MF,33.0,35,32,2929.0,32.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Manuel Pasqual,it ITA,"DF,MF",34.0,32,32,2812.0,31.2,2.0,3.0,5.0,1.0,1.0,1.0,7.0,0.0,0.06,0.1,0.16,0.03,0.13,Matches
Rade Krunić,ba BIH,MF,22.0,32,29,2431.0,27.0,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches
Assane Dioussé,sn SEN,MF,18.0,33,26,2408.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manuel Pucciarelli,it ITA,"FW,MF",25.0,32,25,2303.0,25.6,3.0,1.0,4.0,2.0,1.0,2.0,2.0,0.0,0.12,0.04,0.16,0.08,0.12,Matches
Andrea Costa,it ITA,"DF,MF",30.0,26,25,2083.0,23.1,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches
Vincent Laurini,fr FRA,DF,27.0,24,24,1910.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Riccardo Saponara,it ITA,"FW,MF",24.0,18,18,1528.0,17.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.12,0.06,0.18,0.12,0.18,Matches
Massimo Maccarone,it ITA,FW,36.0,28,17,1508.0,16.8,5.0,2.0,7.0,3.0,2.0,2.0,3.0,1.0,0.3,0.12,0.42,0.18,0.3,Matches
