Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Pepe Reina,es ESP,GK,33.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
José Callejón,es ESP,"FW,MF",29.0,37,37,3139.0,34.9,14.0,13.0,27.0,14.0,0.0,0.0,3.0,1.0,0.4,0.37,0.77,0.4,0.77,Matches
Marek Hamšík,sk SVK,MF,29.0,38,37,3030.0,33.7,12.0,10.0,22.0,12.0,0.0,0.0,1.0,0.0,0.36,0.3,0.65,0.36,0.65,Matches
Lorenzo Insigne,it ITA,"FW,MF",25.0,37,35,2922.0,32.5,18.0,9.0,27.0,16.0,2.0,2.0,2.0,0.0,0.55,0.28,0.83,0.49,0.77,Matches
Elseid Hysaj,al ALB,DF,22.0,35,34,3031.0,33.7,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Dries Mertens,be BEL,"FW,MF",29.0,35,28,2558.0,28.4,28.0,9.0,37.0,26.0,2.0,3.0,6.0,0.0,0.99,0.32,1.3,0.91,1.23,Matches
Kalidou Koulibaly,sn SEN,DF,25.0,28,28,2471.0,27.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Jorginho,it ITA,MF,24.0,27,27,2134.0,23.7,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
Faouzi Ghoulam,dz ALG,DF,25.0,29,26,2382.0,26.5,0.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches
Raúl Albiol,es ESP,DF,30.0,26,25,2297.0,25.5,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Allan,br BRA,"DF,MF",25.0,29,19,1610.0,17.9,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,0.06,0.34,0.39,0.06,0.39,Matches
Piotr Zieliński,pl POL,MF,22.0,36,18,1868.0,20.8,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,0.24,0.34,0.58,0.24,0.58,Matches
Vlad Chiricheș,ro ROU,"DF,MF",26.0,14,13,1124.0,12.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Ivan Strinić,hr CRO,DF,29.0,12,12,1033.0,11.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
Amadou Diawara,gn GUI,MF,19.0,18,10,1046.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nikola Maksimović,rs SRB,DF,24.0,8,7,678.0,7.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Manolo Gabbiadini,it ITA,FW,24.0,13,7,515.0,5.7,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.52,0.0,0.52,0.35,0.35,Matches
Arkadiusz Milik,pl POL,FW,22.0,17,4,559.0,6.2,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.81,0.16,0.97,0.81,0.97,Matches
Christian Maggio,it ITA,"DF,MF",34.0,7,4,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lorenzo Tonelli,it ITA,DF,26.0,3,3,270.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.67,0.0,0.67,0.67,0.67,Matches
Marko Rog,hr CRO,MF,21.0,15,2,387.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Pavoletti,it ITA,FW,27.0,6,2,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emanuele Giaccherini,it ITA,"FW,MF",31.0,16,1,298.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches
Rafael Cabral,br BRA,GK,26.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mirko Valdifiori,it ITA,MF,30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Omar El Kaddouri,ma MAR,MF,25.0,5,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Grassi,it ITA,MF,21.0,0,0,,,,,,,,,,,,,,,,Matches
Roberto Insigne,it ITA,"FW,MF",22.0,0,0,,,,,,,,,,,,,,,,Matches
Leandrinho,br BRA,MF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Sebastiano Luperto,it ITA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Marco Milanese,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Luigi Sepe,it ITA,GK,25.0,0,0,,,,,,,,,,,,,,,,Matches
Alessio Zerbin,it ITA,"DF,FW",17.0,0,0,,,,,,,,,,,,,,,,Matches
Igor Łasicki,pl POL,DF,21.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.9,38,418,3420.0,38.0,94.0,68.0,162.0,89.0,5.0,6.0,58.0,0.0,2.47,1.79,4.26,2.34,4.13,
Opponent Total,,,26.9,38,418,3420.0,38.0,38.0,24.0,62.0,35.0,3.0,4.0,93.0,7.0,1.0,0.63,1.63,0.92,1.55,
