Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ledian Memushaj,al ALB,MF,29.0,36,35,2952.0,32.8,1.0,3.0,4.0,1.0,0.0,2.0,3.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches
Gianluca Caprari,it ITA,"FW,MF",23.0,35,34,3108.0,34.5,9.0,4.0,13.0,8.0,1.0,2.0,8.0,0.0,0.26,0.12,0.38,0.23,0.35,Matches
Cristiano Biraghi,it ITA,"DF,MF",23.0,35,33,2987.0,33.2,1.0,4.0,5.0,0.0,1.0,2.0,11.0,0.0,0.03,0.12,0.15,0.0,0.12,Matches
Francesco Zampano,it ITA,"DF,MF",22.0,34,32,2925.0,32.5,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Ahmad Benali,ly LBY,"FW,MF",24.0,33,31,2490.0,27.7,6.0,2.0,8.0,6.0,0.0,0.0,6.0,1.0,0.22,0.07,0.29,0.22,0.29,Matches
Albano Bizzarri,ar ARG,GK,38.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Valerio Verre,it ITA,"FW,MF",22.0,28,23,1909.0,21.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.09,0.09,0.0,0.09,Matches
Gastón Brugman,uy URU,"FW,MF",23.0,27,22,1931.0,21.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches
Hugo Campagnaro,ar ARG,DF,36.0,19,18,1564.0,17.4,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Michele Fornasier,it ITA,DF,22.0,22,16,1618.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Alessandro Crescenzi,it ITA,DF,24.0,21,14,1407.0,15.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Andrea Coda,it ITA,DF,31.0,13,12,999.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jean-Christophe Bahebeck,fr FRA,"FW,MF",23.0,15,11,815.0,9.1,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.44,0.11,0.55,0.44,0.55,Matches
Bryan Cristante,it ITA,"DF,MF",21.0,16,10,979.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessandro Bruno,it ITA,MF,33.0,15,10,974.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Norbert Gyömbér,sk SVK,"DF,MF",24.0,10,10,845.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cesare Bovo,it ITA,DF,33.0,10,9,819.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vincenzo Fiorillo,it ITA,GK,26.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guglielmo Stendardo,it ITA,DF,35.0,9,9,645.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Cerri,it ITA,FW,20.0,13,7,697.0,7.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches
Sulley Muntari,gh GHA,MF,31.0,9,7,528.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.17,0.0,0.17,0.17,0.17,Matches
Alberto Aquilani,it ITA,MF,32.0,9,6,551.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.16,0.16,0.33,0.16,0.33,Matches
Mamadou Coulibaly,sn SEN,MF,17.0,9,6,486.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alexandru Mitriță,ro ROU,"FW,MF",21.0,15,4,553.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.16,0.33,0.49,0.16,0.49,Matches
Rey Manaj,al ALB,FW,19.0,12,4,474.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches
Simone Pepe,it ITA,"FW,MF",32.0,12,3,400.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dario Župarić,ba BIH,DF,24.0,7,3,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Grigoris Kastanos,cy CYP,MF,18.0,8,3,280.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Stefano Pettinari,it ITA,"FW,MF",24.0,6,2,258.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Robert Murić,hr CRO,"FW,MF",20.0,5,2,186.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches
Davide Vitturini,it ITA,DF,19.0,3,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hrvoje Miličević,ba BIH,"DF,MF",23.0,3,1,133.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Gilardino,it ITA,FW,34.0,3,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrés Cubas,py PAR,MF,20.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marco Acatullo,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches
Gabriele Aldegani,it ITA,GK,40.0,0,0,,,,,,,,,,,,,,,,Matches
Piermarco D'Angelo,it ITA,MF,16.0,0,0,,,,,,,,,,,,,,,,Matches
Ferdinando Del Sole,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Filippo Delli Carri,it ITA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Francesco Forte,it ITA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Leonardo Maloku,al ALB,DF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Simone Mancini,it ITA,FW,17.0,0,0,,,,,,,,,,,,,,,,Matches
Francesco Mele,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Mirko Pigliacelli,it ITA,GK,23.0,0,0,,,,,,,,,,,,,,,,Matches
Marco Pompetti,it ITA,MF,16.0,0,0,,,,,,,,,,,,,,,,Matches
Ransford Selasi,gh GHA,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.6,38,418,3420.0,38.0,32.0,27.0,59.0,30.0,2.0,6.0,98.0,3.0,0.84,0.71,1.55,0.79,1.5,
Opponent Total,,,26.9,38,418,3420.0,38.0,82.0,65.0,147.0,76.0,6.0,6.0,75.0,7.0,2.16,1.71,3.87,2.0,3.71,
