Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Berat Djimsiti,al ALB,DF,24.0,30,30,2700.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.6,1.7,26.0,90.0,1.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.06,0.03,0.06,Matches
Lorenzo Venuti,it ITA,DF,22.0,31,25,2390.0,26.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,2.0,2.6,47.0,74.0,46.0,0.0,0.04,0.04,0.0,0.04,0.02,0.08,0.1,0.02,0.1,Matches
Danilo Cataldi,it ITA,MF,22.0,29,25,2282.0,25.4,1.0,4.0,5.0,1.0,0.0,0.0,11.0,1.0,1.5,1.5,2.3,3.8,49.0,135.0,66.0,0.04,0.16,0.2,0.04,0.2,0.06,0.09,0.15,0.06,0.15,Matches
Gaetano Letizia,it ITA,DF,27.0,29,25,2141.0,23.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,1.0,1.8,94.0,100.0,109.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,Matches
Nicolas Viola,it ITA,MF,27.0,24,20,1850.0,20.6,2.0,6.0,8.0,2.0,0.0,1.0,3.0,1.0,2.3,1.5,3.8,5.3,43.0,109.0,35.0,0.1,0.29,0.39,0.1,0.39,0.11,0.18,0.29,0.07,0.26,Matches
Andrea Costa,it ITA,DF,31.0,16,16,1375.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.3,1.3,0.1,1.4,15.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.09,0.09,0.09,Matches
Enrico Brignola,it ITA,"MF,FW",18.0,18,16,1347.0,15.0,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,2.7,2.7,1.3,4.1,45.0,42.0,74.0,0.2,0.13,0.33,0.2,0.33,0.18,0.09,0.27,0.18,0.27,Matches
Ledian Memushaj,al ALB,MF,30.0,17,15,1258.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,1.1,1.8,37.0,78.0,43.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches
Massimo Coda,it ITA,FW,28.0,24,14,1417.0,15.7,4.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,5.6,4.8,1.3,6.1,26.0,35.0,114.0,0.25,0.06,0.32,0.19,0.25,0.35,0.08,0.44,0.3,0.39,Matches
Christian Puggioni,it ITA,GK,36.0,14,14,1179.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alin Toșca,ro ROU,DF,25.0,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,17.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches
Sandro,br BRA,MF,28.0,14,13,1153.0,12.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.3,1.0,3.0,49.0,10.0,0.08,0.0,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08,Matches
Vid Belec,si SVN,GK,27.0,13,13,1113.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Cristiano Lombardi,it ITA,"MF,DF",21.0,17,13,1112.0,12.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,1.7,2.8,31.0,15.0,68.0,0.0,0.16,0.16,0.0,0.16,0.09,0.14,0.23,0.09,0.23,Matches
Filip Đuričić,rs SRB,"MF,FW",25.0,15,13,971.0,10.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.6,2.4,43.0,44.0,51.0,0.0,0.09,0.09,0.0,0.09,0.07,0.15,0.22,0.07,0.22,Matches
Raman Chibsah,gh GHA,MF,24.0,14,12,1048.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.6,1.6,8.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.13,0.08,0.13,Matches
Marco D'Alessandro,it ITA,"MF,FW",26.0,16,12,1043.0,11.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.9,1.9,1.3,3.2,53.0,21.0,79.0,0.09,0.09,0.17,0.09,0.17,0.16,0.11,0.27,0.16,0.27,Matches
Pietro Iemmello,it ITA,FW,25.0,16,12,880.0,9.8,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,3.2,2.4,1.5,3.8,18.0,11.0,50.0,0.2,0.1,0.31,0.1,0.2,0.33,0.15,0.47,0.24,0.39,Matches
Alberto Brignoli,it ITA,GK,25.0,13,11,1126.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,0.01,0.0,0.01,0.01,0.01,Matches
Gianluca Di Chiara,it ITA,DF,23.0,13,11,1007.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.6,0.7,22.0,50.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
Guilherme,br BRA,"MF,FW",26.0,12,11,944.0,10.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.3,3.3,29.0,38.0,55.0,0.19,0.19,0.38,0.19,0.38,0.1,0.22,0.31,0.1,0.31,Matches
Bacary Sagna,fr FRA,DF,34.0,13,10,957.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,1.5,1.8,17.0,49.0,34.0,0.09,0.0,0.09,0.09,0.09,0.02,0.14,0.17,0.02,0.17,Matches
Vittorio Parigini,it ITA,"MF,FW",21.0,21,10,857.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,1.6,2.7,52.0,19.0,110.0,0.0,0.0,0.0,0.0,0.0,0.11,0.17,0.28,0.11,0.28,Matches
Amato Ciciretti,it ITA,"MF,FW",23.0,12,9,807.0,9.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,1.5,3.1,40.0,23.0,59.0,0.22,0.11,0.33,0.22,0.33,0.17,0.17,0.34,0.17,0.34,Matches
