Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Simone Verdi,it ITA,"FW,MF",25.0,34,34,2827.0,31.4,10.0,8.0,18.0,8.0,2.0,2.0,2.0,0.0,7.8,6.3,6.5,12.7,93.0,114.0,208.0,0.32,0.25,0.57,0.25,0.51,0.25,0.21,0.46,0.2,0.41,Matches
Antonio Mirante,it ITA,GK,34.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adam Masina,ma MAR,DF,23.0,34,33,2830.0,31.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,1.9,1.9,1.8,3.7,57.0,162.0,108.0,0.0,0.03,0.03,0.0,0.03,0.06,0.06,0.12,0.06,0.12,Matches
Andrea Poli,it ITA,MF,27.0,32,32,2543.0,28.3,2.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,2.5,2.5,0.6,3.1,19.0,113.0,79.0,0.07,0.0,0.07,0.07,0.07,0.09,0.02,0.11,0.09,0.11,Matches
Erick Pulgar,cl CHI,MF,23.0,32,31,2770.0,30.8,3.0,0.0,3.0,3.0,0.0,1.0,9.0,0.0,2.2,1.4,3.1,4.5,25.0,169.0,23.0,0.1,0.0,0.1,0.1,0.1,0.07,0.1,0.17,0.05,0.15,Matches
Filip Helander,se SWE,DF,24.0,29,27,2499.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.0,0.3,24.0,87.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Rodrigo Palacio,ar ARG,"FW,MF",35.0,28,23,2065.0,22.9,4.0,2.0,6.0,4.0,0.0,0.0,9.0,0.0,5.1,5.1,3.2,8.3,81.0,42.0,235.0,0.17,0.09,0.26,0.17,0.26,0.22,0.14,0.36,0.22,0.36,Matches
Sebastien De Maio,fr FRA,DF,30.0,26,22,2053.0,22.8,2.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.2,1.2,0.4,1.7,19.0,71.0,7.0,0.09,0.0,0.09,0.09,0.09,0.05,0.02,0.07,0.05,0.07,Matches
Giancarlo González,cr CRC,DF,29.0,22,22,1857.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.1,0.1,0.0,0.1,11.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Godfred Donsah,gh GHA,MF,21.0,28,20,1794.0,19.9,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.3,1.3,1.5,2.8,49.0,70.0,51.0,0.1,0.05,0.15,0.1,0.15,0.06,0.07,0.14,0.06,0.14,Matches
Federico Di Francesco,it ITA,"FW,DF",23.0,24,20,1591.0,17.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,1.4,3.2,38.0,24.0,136.0,0.06,0.06,0.11,0.06,0.11,0.1,0.08,0.18,0.1,0.18,Matches
Mattia Destro,it ITA,FW,26.0,26,19,1617.0,18.0,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,7.6,7.6,1.4,8.9,19.0,27.0,96.0,0.33,0.11,0.45,0.33,0.45,0.42,0.08,0.5,0.42,0.5,Matches
Ibrahima Mbaye,sn SEN,DF,22.0,25,18,1760.0,19.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.6,1.7,32.0,104.0,42.0,0.05,0.0,0.05,0.05,0.05,0.05,0.03,0.09,0.05,0.09,Matches
Blerim Džemaili,ch SUI,"MF,FW",31.0,15,14,1193.0,13.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.6,1.3,27.0,62.0,53.0,0.08,0.0,0.08,0.08,0.08,0.05,0.04,0.1,0.05,0.1,Matches
Emil Krafth,se SWE,DF,22.0,12,10,946.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,18.0,45.0,34.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Vasilis Torosidis,gr GRE,DF,32.0,16,10,819.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.2,0.2,6.0,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.03,Matches
Ádám Nagy,hu HUN,MF,22.0,12,8,711.0,7.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,6.0,21.0,20.0,0.13,0.0,0.13,0.13,0.13,0.01,0.07,0.08,0.01,0.08,Matches
Lorenzo Crisetig,it ITA,MF,24.0,8,6,558.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Simone Romagnoli,it ITA,DF,27.0,8,6,557.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Domenico Maietta,it ITA,DF,34.0,7,6,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felipe Avenatti,uy URU,FW,24.0,11,4,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,2.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
Angelo da Costa Júnior,br BRA,GK,33.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
