Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Simone Padoin,it ITA,"DF,MF",33.0,37,37,3103.0,34.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,3.5,4.6,34.0,121.0,161.0,0.03,0.0,0.03,0.03,0.03,0.03,0.1,0.13,0.03,0.13,Matches
Nicolò Barella,it ITA,MF,20.0,34,34,2955.0,32.8,6.0,2.0,8.0,3.0,3.0,3.0,15.0,1.0,3.6,1.2,1.9,3.1,55.0,200.0,101.0,0.18,0.06,0.24,0.09,0.15,0.11,0.06,0.17,0.04,0.09,Matches
Leonardo Pavoletti,it ITA,FW,28.0,33,31,2719.0,30.2,11.0,0.0,11.0,11.0,0.0,0.0,8.0,0.0,11.9,11.9,2.1,14.0,8.0,59.0,165.0,0.36,0.0,0.36,0.36,0.36,0.4,0.07,0.46,0.4,0.46,Matches
Artur Ioniță,md MDA,MF,26.0,36,31,2669.0,29.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.1,2.1,1.7,3.9,27.0,83.0,121.0,0.0,0.07,0.07,0.0,0.07,0.07,0.06,0.13,0.07,0.13,Matches
Alessio Cragno,it ITA,GK,23.0,29,29,2536.0,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Ceppitelli,it ITA,DF,27.0,27,26,2227.0,24.7,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.1,1.1,1.2,2.3,2.0,73.0,3.0,0.12,0.0,0.12,0.12,0.12,0.04,0.05,0.09,0.04,0.09,Matches
Paolo Faragò,it ITA,DF,24.0,35,25,2457.0,27.3,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,4.8,7.8,66.0,108.0,166.0,0.07,0.15,0.22,0.07,0.22,0.11,0.18,0.29,0.11,0.29,Matches
Luca Cigarini,it ITA,MF,31.0,26,24,2024.0,22.5,2.0,3.0,5.0,2.0,0.0,1.0,14.0,1.0,1.6,0.8,4.5,5.3,25.0,182.0,18.0,0.09,0.13,0.22,0.09,0.22,0.07,0.2,0.27,0.03,0.24,Matches
Fabio Pisacane,it ITA,DF,31.0,24,22,1927.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.2,0.2,0.0,0.2,22.0,94.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Filippo Romagna,it ITA,DF,20.0,23,21,1888.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,22.0,94.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches
Marco Andreolli,it ITA,DF,31.0,23,20,1829.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.2,11.0,54.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
João Pedro,it ITA,"MF,FW",25.0,22,19,1656.0,18.4,5.0,2.0,7.0,4.0,1.0,1.0,6.0,1.0,3.9,3.2,1.7,4.8,33.0,38.0,77.0,0.27,0.11,0.38,0.22,0.33,0.21,0.09,0.3,0.17,0.26,Matches
Marco Sau,it ITA,"FW,MF",29.0,29,16,1311.0,14.6,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,3.5,2.7,0.9,3.5,26.0,22.0,101.0,0.14,0.0,0.14,0.14,0.14,0.24,0.06,0.3,0.18,0.24,Matches
Diego Farias,br BRA,"FW,MF",27.0,28,14,1609.0,17.9,1.0,4.0,5.0,1.0,0.0,1.0,4.0,0.0,4.7,3.9,1.7,5.6,55.0,42.0,160.0,0.06,0.22,0.28,0.06,0.28,0.26,0.1,0.36,0.22,0.31,Matches
Leandro Castán,br BRA,DF,30.0,14,13,1141.0,12.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2,0.3,5.0,40.0,2.0,0.0,0.08,0.08,0.0,0.08,0.01,0.02,0.02,0.01,0.02,Matches
