Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefano Sorrentino,it ITA,GK,38.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ivan Radovanović,rs SRB,MF,28.0,35,35,3140.0,34.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,0.8,1.7,17.0,179.0,12.0,0.03,0.03,0.06,0.03,0.06,0.03,0.02,0.05,0.03,0.05,Matches
Roberto Inglese,it ITA,FW,25.0,34,33,2782.0,30.9,12.0,1.0,13.0,11.0,1.0,2.0,3.0,0.0,8.8,7.3,2.4,9.6,46.0,44.0,211.0,0.39,0.03,0.42,0.36,0.39,0.29,0.08,0.36,0.23,0.31,Matches
Fabrizio Cacciatore,it ITA,DF,30.0,33,32,2871.0,31.9,2.0,2.0,4.0,2.0,0.0,0.0,5.0,1.0,1.2,1.2,2.8,4.0,49.0,153.0,140.0,0.06,0.06,0.13,0.06,0.13,0.04,0.09,0.13,0.04,0.13,Matches
Valter Birsa,si SVN,"MF,FW",30.0,35,29,2504.0,27.8,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,2.3,2.3,6.4,8.7,77.0,157.0,145.0,0.11,0.22,0.32,0.11,0.32,0.08,0.23,0.31,0.08,0.31,Matches
Përparim Hetemaj,fi FIN,MF,30.0,32,27,2415.0,26.8,3.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,3.5,3.5,1.1,4.6,60.0,100.0,107.0,0.11,0.07,0.19,0.11,0.19,0.13,0.04,0.17,0.13,0.17,Matches
Nenad Tomović,rs SRB,DF,29.0,27,26,2301.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.1,2.1,0.2,2.3,18.0,65.0,21.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches
Massimo Gobbi,it ITA,DF,36.0,24,23,2048.0,22.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,3.0,3.2,63.0,134.0,100.0,0.0,0.09,0.09,0.0,0.09,0.01,0.13,0.14,0.01,0.14,Matches
Lucas Castro,ar ARG,MF,28.0,25,23,1985.0,22.1,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,3.4,3.4,2.6,6.0,63.0,126.0,103.0,0.14,0.18,0.32,0.14,0.32,0.15,0.12,0.27,0.15,0.27,Matches
Alessandro Gamberini,it ITA,DF,35.0,23,20,1815.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Dario Dainelli,it ITA,DF,38.0,21,17,1507.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.1,0.7,4.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Manuel Pucciarelli,it ITA,"FW,MF",26.0,22,17,1380.0,15.3,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,0.8,2.9,19.0,29.0,105.0,0.13,0.0,0.13,0.13,0.13,0.14,0.05,0.19,0.14,0.19,Matches
Samuel Bastien,cd COD,MF,20.0,21,15,1355.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.9,0.9,0.3,1.2,18.0,34.0,57.0,0.07,0.0,0.07,0.07,0.07,0.06,0.02,0.08,0.06,0.08,Matches
Mattia Bani,it ITA,DF,23.0,16,15,1317.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,0.0,0.3,1.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
