Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alex Cordaz,it ITA,GK,34.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Federico Ceccherini,it ITA,DF,25.0,37,37,3229.0,35.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.6,1.6,0.6,2.2,26.0,98.0,4.0,0.03,0.0,0.03,0.03,0.03,0.05,0.02,0.06,0.05,0.06,Matches
Rolando Mandragora,it ITA,MF,20.0,36,36,3240.0,36.0,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,1.9,1.9,1.6,3.5,17.0,159.0,28.0,0.06,0.0,0.06,0.06,0.06,0.05,0.04,0.1,0.05,0.1,Matches
Andrea Barberis,it ITA,MF,23.0,38,34,3029.0,33.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,3.1,4.6,16.0,116.0,56.0,0.06,0.03,0.09,0.06,0.09,0.05,0.09,0.14,0.05,0.14,Matches
Bruno Martella,it ITA,DF,24.0,30,30,2616.0,29.1,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,2.1,3.3,50.0,126.0,93.0,0.03,0.1,0.14,0.03,0.14,0.04,0.07,0.11,0.04,0.11,Matches
Marcello Trotta,it ITA,FW,24.0,34,27,2258.0,25.1,7.0,2.0,9.0,5.0,2.0,3.0,2.0,0.0,6.9,4.6,1.6,6.1,36.0,55.0,180.0,0.28,0.08,0.36,0.2,0.28,0.28,0.06,0.34,0.18,0.24,Matches
Adrian Stoian,ro ROU,"MF,FW",26.0,32,26,2133.0,23.7,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,1.6,1.0,2.4,3.4,65.0,139.0,140.0,0.08,0.17,0.25,0.08,0.25,0.07,0.1,0.17,0.04,0.14,Matches
Mario Sampirisi,it ITA,DF,24.0,31,24,2194.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.8,1.1,24.0,109.0,33.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Marcus Rohdén,se SWE,MF,26.0,26,20,1632.0,18.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.7,2.3,23.0,44.0,67.0,0.11,0.0,0.11,0.11,0.11,0.09,0.04,0.12,0.09,0.12,Matches
Andrea Nalini,it ITA,"FW,MF",27.0,23,19,1638.0,18.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,2.6,3.7,45.0,39.0,148.0,0.0,0.11,0.11,0.0,0.11,0.06,0.14,0.2,0.06,0.2,Matches
Davide Faraoni,it ITA,"DF,MF",25.0,28,18,1754.0,19.5,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,1.2,1.2,0.8,2.0,36.0,74.0,42.0,0.1,0.21,0.31,0.1,0.31,0.06,0.04,0.1,0.06,0.1,Matches
Ante Budimir,hr CRO,FW,26.0,22,17,1588.0,17.6,6.0,0.0,6.0,6.0,0.0,0.0,8.0,0.0,5.3,5.3,1.4,6.7,20.0,35.0,121.0,0.34,0.0,0.34,0.34,0.34,0.3,0.08,0.38,0.3,0.38,Matches
Marco Capuano,it ITA,DF,25.0,16,16,1407.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.0,0.1,8.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Arlind Ajeti,al ALB,DF,23.0,21,15,1271.0,14.1,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.9,0.9,1.0,1.9,2.0,20.0,0.0,0.0,0.07,0.07,0.0,0.07,0.07,0.07,0.14,0.07,0.14,Matches
