Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marco Sportiello,it ITA,GK,25.0,37,37,3202.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jordan Veretout,fr FRA,MF,24.0,36,36,3209.0,35.7,8.0,1.0,9.0,6.0,2.0,3.0,10.0,1.0,5.4,3.0,4.1,7.1,64.0,288.0,86.0,0.22,0.03,0.25,0.17,0.2,0.15,0.11,0.27,0.09,0.2,Matches
Giovanni Simeone,ar ARG,FW,22.0,38,36,2998.0,33.3,14.0,4.0,18.0,14.0,0.0,0.0,3.0,0.0,14.3,14.3,2.9,17.2,58.0,32.0,245.0,0.42,0.12,0.54,0.42,0.54,0.43,0.09,0.52,0.43,0.52,Matches
Federico Chiesa,it ITA,"FW,MF",19.0,36,35,3012.0,33.5,6.0,4.0,10.0,6.0,0.0,0.0,7.0,0.0,7.0,7.0,6.3,13.3,164.0,106.0,339.0,0.18,0.12,0.3,0.18,0.3,0.21,0.19,0.4,0.21,0.4,Matches
Marco Benassi,it ITA,"MF,FW",22.0,35,35,2782.0,30.9,5.0,3.0,8.0,5.0,0.0,0.0,6.0,0.0,4.0,4.0,3.1,7.2,62.0,152.0,191.0,0.16,0.1,0.26,0.16,0.26,0.13,0.1,0.23,0.13,0.23,Matches
Cristiano Biraghi,it ITA,DF,24.0,34,34,2980.0,33.1,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,1.6,1.6,4.5,6.1,54.0,81.0,127.0,0.03,0.12,0.15,0.03,0.15,0.05,0.14,0.18,0.05,0.18,Matches
Germán Pezzella,ar ARG,DF,26.0,34,34,2979.0,33.1,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,2.4,2.4,0.8,3.2,18.0,142.0,7.0,0.03,0.0,0.03,0.03,0.03,0.07,0.02,0.1,0.07,0.1,Matches
Milan Badelj,hr CRO,MF,28.0,27,27,2351.0,26.1,2.0,1.0,3.0,2.0,0.0,0.0,10.0,1.0,2.0,2.0,2.8,4.9,24.0,222.0,35.0,0.08,0.04,0.11,0.08,0.11,0.08,0.11,0.19,0.08,0.19,Matches
Davide Astori,it ITA,DF,30.0,25,25,2250.0,25.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.3,1.4,30.0,97.0,8.0,0.04,0.04,0.08,0.04,0.08,0.04,0.01,0.05,0.04,0.05,Matches
Vincent Laurini,fr FRA,DF,28.0,22,20,1608.0,17.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.1,1.1,27.0,100.0,40.0,0.0,0.06,0.06,0.0,0.06,0.0,0.06,0.06,0.0,0.06,Matches
Cyril Théréau,fr FRA,"FW,MF",34.0,20,16,1112.0,12.4,5.0,2.0,7.0,2.0,3.0,3.0,2.0,0.0,5.6,3.3,2.3,5.5,44.0,45.0,126.0,0.4,0.16,0.57,0.16,0.32,0.45,0.18,0.64,0.26,0.45,Matches
Nikola Milenković,rs SRB,DF,19.0,16,14,1254.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.7,0.7,0.1,0.8,13.0,54.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Vitor Hugo,br BRA,DF,26.0,19,13,1208.0,13.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.1,0.6,3.0,31.0,3.0,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches
Riccardo Saponara,it ITA,"MF,FW",25.0,18,10,900.0,10.0,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4.1,5.2,39.0,85.0,64.0,0.0,0.4,0.4,0.0,0.4,0.1,0.41,0.52,0.1,0.52,Matches
Gil Bastião Dias,pt POR,"FW,MF",20.0,27,9,1190.0,13.2,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,1.1,2.9,58.0,43.0,152.0,0.15,0.23,0.38,0.15,0.38,0.14,0.08,0.22,0.14,0.22,Matches
Valentin Eysseric,fr FRA,"FW,MF",25.0,21,8,706.0,7.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,2.0,27.0,47.0,66.0,0.13,0.13,0.25,0.13,0.25,0.1,0.15,0.26,0.1,0.26,Matches
Bruno Gaspar,ao ANG,DF,24.0,15,6,781.0,8.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.8,19.0,52.0,48.0,0.0,0.23,0.23,0.0,0.23,0.0,0.09,0.09,0.0,0.09,Matches
Bryan Dabo,bf BFA,MF,25.0,10,6,591.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.3,0.3,0.1,0.5,11.0,31.0,14.0,0.15,0.0,0.15,0.15,0.15,0.05,0.02,0.07,0.05,0.07,Matches
Maximiliano Olivera,uy URU,DF,25.0,7,4,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,3.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches
Diego Falcinelli,it ITA,FW,26.0,12,3,440.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,1.8,4.0,9.0,53.0,0.0,0.0,0.0,0.0,0.0,0.27,0.11,0.38,0.27,0.38,Matches
Carlos Sánchez,co COL,"MF,DF",31.0,9,3,368.0,4.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.0,0.8,2.0,21.0,2.0,0.24,0.0,0.24,0.24,0.24,0.21,0.0,0.21,0.21,0.21,Matches
Sebastián Cristóforo,uy URU,MF,23.0,7,3,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,2.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,0.04,0.17,Matches
Nenad Tomović,rs SRB,DF,29.0,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Khouma Babacar,sn SEN,FW,24.0,16,1,448.0,5.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,3.9,2.4,1.1,3.5,10.0,12.0,38.0,0.8,0.2,1.0,0.4,0.6,0.79,0.22,1.02,0.48,0.7,Matches
Bartłomiej Drągowski,pl POL,GK,19.0,3,1,217.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Lo Faso,it ITA,FW,19.0,2,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,Matches
Rafik Zekhnini,no NOR,FW,19.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Federico Brancolini,it ITA,GK,16.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michele Cerofolini,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriele Gori,it ITA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ianis Hagi,ro ROU,"FW,MF",18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Petko Hristov,bg BUL,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Ranieri,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Riccardo Sottil,it ITA,"FW,MF",18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vitja Valenčič,si SVN,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.0,38,418,3420.0,38.0,53.0,32.0,85.0,46.0,7.0,8.0,89.0,,54.5,48.3,37.9,86.2,737.0,1695.0,1683.0,1.39,0.84,2.24,1.21,2.05,1.43,1.0,2.43,1.27,2.27,
Opponent Total,,,26.9,38,418,3420.0,38.0,46.0,33.0,79.0,44.0,2.0,3.0,98.0,8.0,40.8,38.5,28.6,67.1,685.0,1442.0,1428.0,1.21,0.87,2.08,1.16,2.03,1.07,0.75,1.83,1.01,1.77,
