Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Perin,it ITA,GK,24.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Bertolacci,it ITA,MF,26.0,33,33,2895.0,32.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.9,0.9,1.6,2.5,49.0,211.0,53.0,0.03,0.0,0.03,0.03,0.03,0.03,0.05,0.08,0.03,0.08,Matches
Diego Laxalt,uy URU,DF,24.0,32,32,2806.0,31.2,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,1.5,1.5,2.2,3.7,126.0,91.0,217.0,0.1,0.1,0.19,0.1,0.19,0.05,0.07,0.12,0.05,0.12,Matches
Ervin Zukanović,ba BIH,DF,30.0,31,31,2873.0,31.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.7,1.7,1.6,3.2,40.0,135.0,30.0,0.0,0.03,0.03,0.0,0.03,0.05,0.05,0.1,0.05,0.1,Matches
Luca Rossettini,it ITA,DF,32.0,23,22,2027.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.1,1.2,7.0,52.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,Matches
Goran Pandev,mk MKD,"FW,MF",34.0,32,22,1803.0,20.0,5.0,1.0,6.0,5.0,0.0,0.0,4.0,1.0,4.4,4.4,3.2,7.7,49.0,101.0,149.0,0.25,0.05,0.3,0.25,0.3,0.22,0.16,0.38,0.22,0.38,Matches
Aleandro Rosi,it ITA,DF,30.0,24,22,1700.0,18.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.1,1.1,1.1,2.3,33.0,55.0,78.0,0.0,0.05,0.05,0.0,0.05,0.06,0.06,0.12,0.06,0.12,Matches
Miguel Veloso,pt POR,MF,31.0,22,21,1734.0,19.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.6,3.7,28.0,113.0,21.0,0.05,0.0,0.05,0.05,0.05,0.05,0.14,0.19,0.05,0.19,Matches
Nicolás Spolli,ar ARG,DF,34.0,21,20,1798.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,0.1,0.8,2.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Davide Biraschi,it ITA,DF,23.0,23,20,1796.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.8,1.5,28.0,84.0,28.0,0.0,0.05,0.05,0.0,0.05,0.03,0.04,0.07,0.03,0.07,Matches
Luca Rigoni,it ITA,MF,32.0,23,19,1574.0,17.5,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,5.5,5.5,1.8,7.4,21.0,75.0,63.0,0.11,0.11,0.23,0.11,0.23,0.32,0.1,0.42,0.32,0.42,Matches
Adel Taarabt,ma MAR,"FW,MF",28.0,22,18,1615.0,17.9,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,1.5,1.5,2.7,4.2,72.0,81.0,186.0,0.11,0.11,0.22,0.11,0.22,0.09,0.15,0.23,0.09,0.23,Matches
Armando Izzo,it ITA,DF,25.0,16,16,1387.0,15.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,0.2,1.1,24.0,57.0,12.0,0.06,0.0,0.06,0.06,0.06,0.06,0.01,0.07,0.06,0.07,Matches
Oscar Hiljemark,se SWE,MF,25.0,15,15,1279.0,14.2,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,5.6,6.8,23.0,73.0,60.0,0.0,0.21,0.21,0.0,0.21,0.08,0.4,0.48,0.08,0.48,Matches
Gianluca Lapadula,pe PER,FW,27.0,28,13,1495.0,16.6,6.0,1.0,7.0,3.0,3.0,4.0,3.0,0.0,10.5,7.3,1.3,8.6,12.0,17.0,110.0,0.36,0.06,0.42,0.18,0.24,0.63,0.08,0.71,0.44,0.52,Matches
Darko Lazović,rs SRB,"DF,MF",26.0,21,12,1242.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,1.9,2.4,52.0,47.0,114.0,0.0,0.07,0.07,0.0,0.07,0.04,0.14,0.18,0.04,0.18,Matches
Andrey Galabinov,bg BUL,FW,28.0,20,12,1129.0,12.5,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,3.7,2.9,1.1,4.0,12.0,25.0,75.0,0.24,0.08,0.32,0.16,0.24,0.29,0.09,0.38,0.23,0.32,Matches
Iuri Medeiros,pt POR,"FW,MF",23.0,11,7,641.0,7.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,1.7,2.6,29.0,34.0,60.0,0.28,0.14,0.42,0.28,0.42,0.12,0.24,0.36,0.12,0.36,Matches
Stephane Omeonga,be BEL,"MF,DF",21.0,19,6,797.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.5,0.5,1.0,23.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.12,0.06,0.12,Matches
