Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nícolas Andrade,br BRA,GK,29.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rômulo,it ITA,"MF,DF",30.0,37,36,3168.0,35.2,3.0,5.0,8.0,1.0,2.0,2.0,7.0,0.0,3.9,2.3,3.6,5.9,149.0,121.0,151.0,0.09,0.14,0.23,0.03,0.17,0.11,0.1,0.21,0.07,0.17,Matches
Antonio Caracciolo,it ITA,DF,27.0,33,32,2857.0,31.7,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,1.6,1.6,1.0,2.6,2.0,33.0,8.0,0.06,0.13,0.19,0.06,0.19,0.05,0.03,0.08,0.05,0.08,Matches
Mohamed Fares,dz ALG,"DF,MF",21.0,30,29,2604.0,28.9,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1.8,1.8,1.7,3.5,66.0,72.0,98.0,0.0,0.03,0.03,0.0,0.03,0.06,0.06,0.12,0.06,0.12,Matches
Alex Ferrari,it ITA,DF,23.0,25,25,2136.0,23.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.2,1.1,39.0,61.0,32.0,0.04,0.0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches
Daniele Verde,it ITA,"FW,MF",21.0,30,22,1954.0,21.7,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.3,2.3,2.0,4.2,64.0,68.0,114.0,0.09,0.09,0.18,0.09,0.18,0.1,0.09,0.19,0.1,0.19,Matches
Alessio Cerci,it ITA,FW,30.0,24,22,1635.0,18.2,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,3.3,2.5,4.1,6.6,76.0,42.0,141.0,0.17,0.06,0.22,0.11,0.17,0.18,0.23,0.41,0.14,0.36,Matches
Marcel Büchel,li LIE,MF,26.0,23,20,1696.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.4,0.6,4.0,60.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Samuel Souprayen,fr FRA,DF,28.0,22,19,1582.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.4,0.5,12.0,59.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
