Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alisson,br BRA,GK,24.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aleksandar Kolarov,rs SRB,DF,31.0,35,34,3060.0,34.0,2.0,6.0,8.0,2.0,0.0,0.0,3.0,0.0,2.5,2.5,9.0,11.5,147.0,178.0,247.0,0.06,0.18,0.24,0.06,0.24,0.07,0.27,0.34,0.07,0.34,Matches
Edin Džeko,ba BIH,FW,31.0,36,33,3018.0,33.5,16.0,3.0,19.0,16.0,0.0,0.0,6.0,0.0,17.4,17.4,3.9,21.2,59.0,95.0,289.0,0.48,0.09,0.57,0.48,0.57,0.52,0.12,0.63,0.52,0.63,Matches
Federico Fazio,ar ARG,DF,30.0,34,32,2922.0,32.5,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,2.4,2.4,0.1,2.5,35.0,165.0,5.0,0.06,0.03,0.09,0.06,0.09,0.07,0.0,0.08,0.07,0.08,Matches
Radja Nainggolan,be BEL,MF,29.0,31,31,2613.0,29.0,4.0,7.0,11.0,4.0,0.0,0.0,8.0,1.0,3.1,3.1,6.2,9.3,74.0,190.0,179.0,0.14,0.24,0.38,0.14,0.38,0.11,0.21,0.32,0.11,0.32,Matches
Kostas Manolas,gr GRE,DF,26.0,29,27,2338.0,26.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.6,20.0,107.0,1.0,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,Matches
Alessandro Florenzi,it ITA,DF,26.0,32,26,2387.0,26.5,1.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,3.8,3.1,4.6,7.7,98.0,177.0,174.0,0.04,0.11,0.15,0.04,0.15,0.14,0.17,0.32,0.12,0.29,Matches
Kevin Strootman,nl NED,MF,27.0,32,26,2258.0,25.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.7,2.7,1.5,4.2,41.0,211.0,97.0,0.04,0.04,0.08,0.04,0.08,0.11,0.06,0.17,0.11,0.17,Matches
Stephan El Shaarawy,it ITA,FW,24.0,33,25,2155.0,23.9,7.0,5.0,12.0,7.0,0.0,0.0,1.0,0.0,8.9,8.9,3.7,12.6,78.0,100.0,249.0,0.29,0.21,0.5,0.29,0.5,0.37,0.16,0.53,0.37,0.53,Matches
Lorenzo Pellegrini,it ITA,MF,21.0,28,22,1797.0,20.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,2.6,2.6,4.1,6.7,54.0,123.0,95.0,0.15,0.1,0.25,0.15,0.25,0.13,0.21,0.33,0.13,0.33,Matches
Daniele De Rossi,it ITA,MF,34.0,22,21,1829.0,20.3,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.8,0.8,1.9,2.6,20.0,156.0,8.0,0.05,0.05,0.1,0.05,0.1,0.04,0.09,0.13,0.04,0.13,Matches
Juan Jesus,br BRA,DF,26.0,22,18,1658.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.5,0.5,0.2,0.6,7.0,73.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
Diego Perotti,ar ARG,"FW,MF",29.0,25,17,1609.0,17.9,5.0,3.0,8.0,3.0,2.0,4.0,0.0,0.0,5.6,2.5,3.6,6.0,137.0,97.0,198.0,0.28,0.17,0.45,0.17,0.34,0.31,0.2,0.51,0.14,0.34,Matches
Cengiz Ünder,tr TUR,FW,20.0,26,15,1249.0,13.9,7.0,2.0,9.0,7.0,0.0,0.0,0.0,0.0,4.6,4.6,2.0,6.6,45.0,33.0,146.0,0.5,0.14,0.65,0.5,0.65,0.33,0.15,0.48,0.33,0.48,Matches
Bruno Peres,br BRA,DF,27.0,18,13,1155.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.6,53.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
