Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Manuel Lazzari,it ITA,DF,23.0,36,36,3116.0,34.6,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,2.0,3.2,212.0,81.0,239.0,0.06,0.03,0.09,0.06,0.09,0.03,0.06,0.09,0.03,0.09,Matches
Francesco Vicari,it ITA,DF,22.0,34,34,2850.0,31.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.6,0.6,0.5,1.2,13.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Felipe dal Belo,br BRA,DF,33.0,30,30,2573.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,2.4,2.4,0.3,2.7,25.0,97.0,7.0,0.03,0.03,0.07,0.03,0.07,0.08,0.01,0.09,0.08,0.09,Matches
Federico Viviani,it ITA,MF,25.0,29,29,2480.0,27.6,3.0,3.0,6.0,3.0,0.0,1.0,9.0,0.0,3.4,2.6,3.3,5.9,25.0,173.0,27.0,0.11,0.11,0.22,0.11,0.22,0.12,0.12,0.25,0.09,0.21,Matches
Mirco Antenucci,it ITA,FW,32.0,33,28,2571.0,28.6,11.0,4.0,15.0,6.0,5.0,5.0,1.0,0.0,8.1,4.2,3.5,7.7,46.0,52.0,214.0,0.39,0.14,0.53,0.21,0.35,0.28,0.12,0.41,0.15,0.27,Matches
Alberto Grassi,it ITA,MF,22.0,28,26,2253.0,25.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.9,2.9,0.7,3.6,36.0,76.0,43.0,0.12,0.0,0.12,0.12,0.12,0.12,0.03,0.14,0.12,0.14,Matches
Alfred Gomis,sn SEN,GK,23.0,26,25,2261.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alberto Paloschi,it ITA,FW,27.0,36,25,2184.0,24.3,7.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,7.2,7.2,0.9,8.2,15.0,24.0,112.0,0.29,0.0,0.29,0.29,0.29,0.3,0.04,0.34,0.3,0.34,Matches
Federico Mattiello,it ITA,DF,22.0,29,24,2204.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.7,0.7,1.1,1.8,74.0,45.0,83.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches
Pasquale Schiattarella,it ITA,MF,30.0,31,22,1990.0,22.1,1.0,3.0,4.0,1.0,0.0,0.0,12.0,0.0,0.7,0.7,4.2,4.9,45.0,150.0,89.0,0.05,0.14,0.18,0.05,0.18,0.03,0.19,0.22,0.03,0.22,Matches
Bartosz Salamon,pl POL,DF,26.0,22,20,1725.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.3,1.3,28.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
