Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Francesco Acerbi,it ITA,DF,29.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.7,1.7,35.0,141.0,14.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04,Matches
Andrea Consigli,it ITA,GK,30.0,37,37,3316.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Simone Missiroli,it ITA,MF,31.0,35,33,2918.0,32.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.4,2.4,2.6,5.0,47.0,164.0,103.0,0.03,0.03,0.06,0.03,0.06,0.07,0.08,0.15,0.07,0.15,Matches
Matteo Politano,it ITA,FW,23.0,36,33,2812.0,31.2,10.0,4.0,14.0,10.0,0.0,2.0,1.0,0.0,9.4,7.8,6.9,14.7,146.0,102.0,314.0,0.32,0.13,0.45,0.32,0.45,0.3,0.22,0.52,0.25,0.47,Matches
Francesco Magnanelli,it ITA,MF,32.0,32,30,2494.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.4,0.3,1.8,2.1,11.0,191.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,Matches
Domenico Berardi,it ITA,FW,22.0,31,29,2296.0,25.5,4.0,2.0,6.0,2.0,2.0,4.0,8.0,1.0,8.9,5.8,3.7,9.5,69.0,113.0,237.0,0.16,0.08,0.24,0.08,0.16,0.35,0.15,0.5,0.23,0.37,Matches
Federico Peluso,it ITA,DF,33.0,31,28,2594.0,28.8,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,0.9,0.9,1.8,26.0,112.0,54.0,0.03,0.03,0.07,0.03,0.07,0.04,0.03,0.07,0.03,0.06,Matches
Alfred Duncan,gh GHA,MF,24.0,26,23,1947.0,21.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,2.4,4.4,43.0,125.0,105.0,0.0,0.09,0.09,0.0,0.09,0.09,0.11,0.2,0.09,0.2,Matches
Pol Lirola,es ESP,"DF,FW",19.0,24,22,2025.0,22.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.4,1.6,67.0,70.0,92.0,0.0,0.09,0.09,0.0,0.09,0.01,0.06,0.07,0.01,0.07,Matches
Paolo Cannavaro,it ITA,DF,36.0,19,16,1443.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.1,0.3,6.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Diego Falcinelli,it ITA,FW,26.0,20,15,1314.0,14.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,4.2,4.0,0.4,4.4,17.0,24.0,79.0,0.14,0.07,0.21,0.14,0.21,0.28,0.03,0.31,0.28,0.3,Matches
Claud Adjapong,it ITA,"DF,FW",19.0,16,14,1220.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,1.1,1.9,31.0,42.0,54.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14,Matches
Edoardo Goldaniga,it ITA,DF,23.0,13,13,1153.0,12.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.4,0.4,0.2,0.6,2.0,18.0,2.0,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,Matches
Stefano Sensi,it ITA,MF,21.0,17,10,1041.0,11.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,1.2,2.8,22.0,73.0,36.0,0.17,0.0,0.17,0.17,0.17,0.14,0.11,0.25,0.14,0.25,Matches
Luca Mazzitelli,it ITA,MF,21.0,20,10,1017.0,11.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.2,1.2,0.3,1.5,13.0,52.0,42.0,0.0,0.09,0.09,0.0,0.09,0.11,0.03,0.13,0.11,0.13,Matches
Rogério,br BRA,DF,19.0,13,10,910.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.5,24.0,44.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Marcello Gazzola,it ITA,DF,32.0,9,9,739.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,13.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches
Khouma Babacar,sn SEN,FW,24.0,13,8,750.0,8.3,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,3.5,2.7,1.0,3.7,11.0,13.0,52.0,0.24,0.12,0.36,0.12,0.24,0.42,0.13,0.55,0.32,0.45,Matches
Mauricio Lemos,uy URU,DF,21.0,8,8,701.0,7.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.0,0.5,0.0,11.0,1.0,0.13,0.0,0.13,0.13,0.13,0.06,0.0,0.06,0.06,0.06,Matches
Alessandro Matri,it ITA,FW,32.0,23,7,914.0,10.2,3.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,7.0,4.6,1.0,5.5,5.0,22.0,77.0,0.3,0.0,0.3,0.2,0.2,0.69,0.09,0.78,0.45,0.55,Matches
Antonino Ragusa,it ITA,"FW,MF",27.0,30,7,825.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,3.1,3.0,0.7,3.7,34.0,25.0,77.0,0.0,0.11,0.11,0.0,0.11,0.34,0.08,0.42,0.33,0.41,Matches
Francesco Cassata,it ITA,MF,20.0,10,5,458.0,5.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.2,0.2,0.1,0.3,4.0,14.0,20.0,0.2,0.0,0.2,0.2,0.2,0.04,0.02,0.06,0.04,0.06,Matches
Cristian Dell'Orco,it ITA,DF,23.0,8,5,421.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches
Timo Letschert,nl NED,DF,24.0,7,5,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Biondini,it ITA,MF,34.0,7,2,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,4.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Gianluca Pegolo,it ITA,GK,36.0,2,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicholas Pierini,it ITA,"MF,FW",18.0,3,0,43.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gianluca Scamacca,it ITA,"FW,MF",18.0,3,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.26,1.73,1.99,0.26,1.99,Matches
Manuel Ferrini,it ITA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Davide Frattesi,it ITA,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pietro Iemmello,it ITA,FW,25.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Leonardo Marson,it ITA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Federico Ricci,it ITA,"FW,MF",23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.2,38,418,3420.0,38.0,28.0,16.0,44.0,24.0,4.0,10.0,89.0,,46.3,38.4,27.7,66.1,640.0,1492.0,1469.0,0.74,0.42,1.16,0.63,1.05,1.22,0.73,1.95,1.01,1.74,
Opponent Total,,,27.2,38,418,3420.0,38.0,57.0,38.0,95.0,55.0,2.0,3.0,75.0,4.0,48.9,46.5,36.6,83.1,822.0,1723.0,1716.0,1.5,1.0,2.5,1.45,2.45,1.29,0.96,2.25,1.22,2.19,
