Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Salvatore Sirigu,it ITA,GK,30.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolas Nkoulou,cm CMR,DF,27.0,37,37,3258.0,36.2,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,0.7,2.7,13.0,83.0,1.0,0.06,0.0,0.06,0.06,0.06,0.06,0.02,0.07,0.06,0.07,Matches
Tomás Rincón,ve VEN,MF,29.0,36,35,2995.0,33.3,1.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.7,0.7,1.5,2.1,29.0,146.0,45.0,0.03,0.0,0.03,0.03,0.03,0.02,0.04,0.06,0.02,0.06,Matches
Lorenzo De Silvestri,it ITA,DF,29.0,35,35,2955.0,32.8,5.0,2.0,7.0,5.0,0.0,0.0,3.0,2.0,3.1,3.1,1.7,4.8,79.0,135.0,79.0,0.15,0.06,0.21,0.15,0.21,0.1,0.05,0.15,0.1,0.15,Matches
Iago Falque,es ESP,"FW,MF",27.0,37,34,2821.0,31.3,12.0,8.0,20.0,12.0,0.0,0.0,2.0,0.0,8.6,8.6,6.8,15.5,85.0,123.0,278.0,0.38,0.26,0.64,0.38,0.64,0.28,0.22,0.49,0.28,0.49,Matches
Daniele Baselli,it ITA,MF,25.0,32,30,2521.0,28.0,4.0,0.0,4.0,4.0,0.0,0.0,13.0,2.0,3.8,3.8,1.5,5.3,29.0,138.0,77.0,0.14,0.0,0.14,0.14,0.14,0.14,0.05,0.19,0.14,0.19,Matches
Andrea Belotti,it ITA,FW,23.0,32,29,2683.0,29.8,10.0,5.0,15.0,10.0,0.0,2.0,2.0,0.0,10.5,8.9,4.7,13.6,40.0,39.0,202.0,0.34,0.17,0.5,0.34,0.5,0.35,0.16,0.51,0.3,0.46,Matches
Adem Ljajić,rs SRB,"MF,FW",25.0,27,23,2166.0,24.1,6.0,10.0,16.0,6.0,0.0,0.0,2.0,0.0,4.3,4.2,8.4,12.6,90.0,149.0,147.0,0.25,0.42,0.66,0.25,0.66,0.18,0.35,0.53,0.18,0.53,Matches
Nicolás Burdisso,ar ARG,DF,36.0,24,23,2069.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.7,1.7,0.2,1.9,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.08,0.08,0.08,Matches
Cristian Ansaldi,ar ARG,DF,30.0,25,20,1872.0,20.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.7,0.7,3.6,4.4,78.0,87.0,88.0,0.05,0.14,0.19,0.05,0.19,0.04,0.18,0.21,0.04,0.21,Matches
Emiliano Moretti,it ITA,DF,36.0,22,19,1782.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.5,1.0,7.0,68.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
M'Baye Niang,sn SEN,FW,22.0,26,18,1532.0,17.0,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,4.7,4.7,1.1,5.8,79.0,34.0,155.0,0.23,0.12,0.35,0.23,0.35,0.27,0.07,0.34,0.27,0.34,Matches
Cristian Molinaro,it ITA,DF,34.0,20,17,1564.0,17.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.5,0.6,45.0,94.0,48.0,0.0,0.06,0.06,0.0,0.06,0.01,0.03,0.04,0.01,0.04,Matches
Joel Obi,ng NGA,MF,26.0,22,16,1247.0,13.9,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,3.5,3.5,0.2,3.7,17.0,55.0,26.0,0.36,0.07,0.43,0.36,0.43,0.26,0.02,0.28,0.26,0.28,Matches
Álex Berenguer,es ESP,FW,22.0,22,11,1043.0,11.6,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.2,3.2,44.0,41.0,109.0,0.09,0.26,0.35,0.09,0.35,0.08,0.19,0.27,0.08,0.27,Matches
Afriyie Acquah,gh GHA,MF,25.0,22,9,951.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.6,1.0,24.0,60.0,24.0,0.09,0.0,0.09,0.09,0.09,0.04,0.06,0.1,0.04,0.1,Matches
Mirko Valdifiori,it ITA,MF,31.0,13,7,618.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,2.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,Matches
Kevin Bonifazi,it ITA,"DF,MF",21.0,6,4,408.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Lyanco,br BRA,DF,20.0,4,4,316.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Antonio Barreca,it ITA,DF,22.0,9,3,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,7.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Umar Sadiq,ng NGA,FW,20.0,3,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,5.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches
Simone Edera,it ITA,"FW,MF",20.0,14,2,327.0,3.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,11.0,12.0,32.0,0.28,0.28,0.55,0.28,0.55,0.08,0.04,0.13,0.08,0.13,Matches
Davide Zappacosta,it ITA,"DF,FW",25.0,2,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Vanja Milinković-Savić,rs SRB,GK,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
