Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Remo Freuler,ch SUI,MF,26.0,35,35,3022.0,33.6,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,3.2,3.2,3.9,7.2,100.0,276.0,77.0,0.06,0.18,0.24,0.06,0.24,0.1,0.12,0.21,0.1,0.21,Matches
Marten de Roon,nl NED,MF,27.0,35,34,2975.0,33.1,2.0,3.0,5.0,1.0,1.0,1.0,8.0,0.0,1.8,1.0,2.0,3.0,33.0,254.0,40.0,0.06,0.09,0.15,0.03,0.12,0.05,0.06,0.11,0.03,0.09,Matches
Papu Gómez,ar ARG,"MF,FW",30.0,35,34,2899.0,32.2,7.0,11.0,18.0,7.0,0.0,0.0,5.0,0.0,8.4,8.4,12.8,21.3,239.0,238.0,264.0,0.22,0.34,0.56,0.22,0.56,0.26,0.4,0.66,0.26,0.66,Matches
Hans Hateboer,nl NED,DF,24.0,35,33,2973.0,33.0,5.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,5.2,5.2,5.0,10.1,100.0,136.0,243.0,0.15,0.15,0.3,0.15,0.3,0.16,0.15,0.31,0.16,0.31,Matches
Duván Zapata,co COL,FW,27.0,37,32,2896.0,32.2,23.0,7.0,30.0,22.0,1.0,2.0,5.0,0.0,18.9,17.3,9.5,26.8,108.0,68.0,374.0,0.71,0.22,0.93,0.68,0.9,0.59,0.3,0.88,0.54,0.83,Matches
José Luis Palomino,ar ARG,DF,28.0,30,25,2261.0,25.1,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,1.9,1.9,0.5,2.4,5.0,63.0,4.0,0.04,0.04,0.08,0.04,0.08,0.08,0.02,0.1,0.08,0.1,Matches
Gianluca Mancini,it ITA,DF,22.0,30,25,2246.0,25.0,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,5.3,5.3,1.4,6.7,26.0,90.0,20.0,0.2,0.08,0.28,0.2,0.28,0.21,0.06,0.27,0.21,0.27,Matches
Josip Iličić,si SVN,"FW,MF",30.0,31,23,2145.0,23.8,12.0,7.0,19.0,12.0,0.0,1.0,5.0,1.0,10.6,9.9,7.5,17.4,155.0,181.0,286.0,0.5,0.29,0.8,0.5,0.8,0.45,0.32,0.76,0.41,0.73,Matches
Robin Gosens,de GER,"DF,MF",24.0,28,23,1942.0,21.6,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,2.1,2.1,2.7,4.9,96.0,133.0,153.0,0.14,0.09,0.23,0.14,0.23,0.1,0.13,0.22,0.1,0.22,Matches
Andrea Masiello,it ITA,DF,32.0,24,22,1836.0,20.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.4,1.4,0.6,2.0,17.0,107.0,17.0,0.0,0.1,0.1,0.0,0.1,0.07,0.03,0.1,0.07,0.1,Matches
Timothy Castagne,be BEL,DF,22.0,28,21,2006.0,22.3,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,2.8,2.8,2.6,5.4,61.0,82.0,159.0,0.18,0.13,0.31,0.18,0.31,0.13,0.12,0.24,0.13,0.24,Matches
Berat Djimsiti,al ALB,DF,25.0,24,20,1807.0,20.1,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,5.0,37.0,2.0,0.05,0.1,0.15,0.05,0.15,0.05,0.1,0.15,0.05,0.15,Matches
