Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessio Cragno,it ITA,GK,24.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolò Barella,it ITA,MF,21.0,35,35,3107.0,34.5,1.0,3.0,4.0,1.0,0.0,1.0,10.0,2.0,2.6,1.8,3.1,4.9,112.0,206.0,139.0,0.03,0.09,0.12,0.03,0.12,0.07,0.09,0.17,0.05,0.14,Matches
Artur Ioniță,md MDA,MF,27.0,37,34,2968.0,33.0,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,3.7,3.7,1.3,5.0,42.0,67.0,80.0,0.09,0.06,0.15,0.09,0.15,0.11,0.04,0.15,0.11,0.15,Matches
Leonardo Pavoletti,it ITA,FW,29.0,32,31,2734.0,30.4,16.0,1.0,17.0,16.0,0.0,0.0,6.0,0.0,11.3,11.3,1.6,12.9,5.0,40.0,191.0,0.53,0.03,0.56,0.53,0.56,0.37,0.05,0.42,0.37,0.42,Matches
João Pedro,it ITA,"FW,MF",26.0,34,30,2555.0,28.4,7.0,2.0,9.0,5.0,2.0,2.0,5.0,1.0,8.5,6.9,3.5,10.4,32.0,51.0,216.0,0.25,0.07,0.32,0.18,0.25,0.3,0.12,0.42,0.24,0.37,Matches
Fabio Pisacane,it ITA,DF,32.0,27,24,2266.0,25.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.8,0.8,1.2,2.0,5.0,44.0,4.0,0.04,0.04,0.08,0.04,0.08,0.03,0.05,0.08,0.03,0.08,Matches
Darijo Srna,hr CRO,DF,36.0,26,24,2087.0,23.2,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,4.0,4.5,44.0,130.0,85.0,0.0,0.13,0.13,0.0,0.13,0.02,0.17,0.19,0.02,0.19,Matches
Luca Ceppitelli,it ITA,DF,28.0,24,24,2051.0,22.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,2.4,2.4,0.9,3.3,10.0,69.0,1.0,0.04,0.04,0.09,0.04,0.09,0.11,0.04,0.15,0.11,0.15,Matches
Simone Padoin,it ITA,"DF,MF",34.0,30,22,1915.0,21.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.1,1.2,58.0,80.0,55.0,0.0,0.09,0.09,0.0,0.09,0.01,0.05,0.06,0.01,0.06,Matches
