Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefano Sorrentino,it ITA,GK,39.0,31,31,2789.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mattia Bani,it ITA,DF,24.0,30,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.8,1.8,4.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Federico Barba,it ITA,DF,24.0,30,29,2483.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.8,0.8,1.6,2.5,30.0,106.0,34.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
Mariusz Stępiński,pl POL,FW,23.0,35,27,2476.0,27.5,6.0,2.0,8.0,6.0,0.0,0.0,5.0,0.0,7.8,7.8,1.6,9.4,23.0,39.0,178.0,0.22,0.07,0.29,0.22,0.29,0.28,0.06,0.34,0.28,0.34,Matches
Fabio Depaoli,it ITA,DF,21.0,33,27,2468.0,27.4,0.0,4.0,4.0,0.0,0.0,0.0,12.0,2.0,1.5,1.5,3.7,5.3,63.0,97.0,110.0,0.0,0.15,0.15,0.0,0.15,0.06,0.14,0.19,0.06,0.19,Matches
Përparim Hetemaj,fi FIN,MF,31.0,30,25,2156.0,24.0,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.5,0.5,1.1,1.6,40.0,93.0,73.0,0.08,0.0,0.08,0.08,0.08,0.02,0.05,0.07,0.02,0.07,Matches
Nicola Rigoni,it ITA,MF,27.0,24,23,1951.0,21.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.6,1.6,0.3,1.9,10.0,106.0,18.0,0.0,0.05,0.05,0.0,0.05,0.07,0.01,0.09,0.07,0.09,Matches
Emanuele Giaccherini,it ITA,"MF,FW",33.0,26,22,2009.0,22.3,3.0,1.0,4.0,2.0,1.0,2.0,8.0,0.0,3.0,1.4,3.6,5.0,76.0,106.0,193.0,0.13,0.04,0.18,0.09,0.13,0.14,0.16,0.3,0.06,0.22,Matches
Luca Rossettini,it ITA,DF,33.0,21,20,1823.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.3,0.8,3.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Ivan Radovanović,rs SRB,MF,29.0,19,19,1706.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.5,1.2,11.0,110.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,Matches
Mehdi Léris,dz ALG,"MF,DF",20.0,23,18,1607.0,17.9,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.7,1.7,0.9,2.6,32.0,66.0,84.0,0.0,0.11,0.11,0.0,0.11,0.1,0.05,0.15,0.1,0.15,Matches
Riccardo Meggiorini,it ITA,FW,32.0,24,18,1548.0,17.2,3.0,1.0,4.0,2.0,1.0,1.0,6.0,0.0,3.3,2.5,1.5,4.0,24.0,30.0,105.0,0.17,0.06,0.23,0.12,0.17,0.19,0.08,0.28,0.15,0.23,Matches
