Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marco Sportiello,it ITA,GK,26.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Raman Chibsah,gh GHA,MF,25.0,32,30,2622.0,29.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.3,3.3,0.6,4.0,45.0,116.0,58.0,0.03,0.0,0.03,0.03,0.03,0.11,0.02,0.14,0.11,0.14,Matches
Edoardo Goldaniga,it ITA,DF,24.0,29,29,2610.0,29.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,0.8,2.8,19.0,87.0,21.0,0.03,0.03,0.07,0.03,0.07,0.07,0.03,0.1,0.07,0.1,Matches
Camillo Ciano,it ITA,"FW,MF",28.0,33,28,2454.0,27.3,7.0,4.0,11.0,5.0,2.0,3.0,12.0,0.0,6.9,4.6,7.0,11.6,59.0,101.0,213.0,0.26,0.15,0.4,0.18,0.33,0.25,0.26,0.51,0.17,0.43,Matches
Marco Capuano,it ITA,DF,26.0,27,27,2307.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,0.4,0.9,20.0,90.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Andrea Beghetto,it ITA,DF,23.0,27,25,2226.0,24.7,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,5.0,34.0,57.0,141.0,0.0,0.12,0.12,0.0,0.12,0.04,0.16,0.2,0.04,0.2,Matches
Francesco Zampano,it ITA,"DF,MF",24.0,27,24,2102.0,23.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,1.0,1.8,62.0,59.0,118.0,0.0,0.04,0.04,0.0,0.04,0.03,0.04,0.08,0.03,0.08,Matches
Raffaele Maiello,it ITA,MF,27.0,29,22,2043.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.6,2.0,30.0,129.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches
Bartosz Salamon,pl POL,DF,27.0,20,19,1725.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.0,0.9,5.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.04,0.05,Matches
Lorenzo Ariaudo,it ITA,DF,29.0,19,19,1682.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.3,1.2,9.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Andrea Pinamonti,it ITA,FW,19.0,27,17,1625.0,18.1,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,6.5,6.5,0.5,7.1,21.0,31.0,113.0,0.28,0.17,0.44,0.28,0.44,0.36,0.03,0.39,0.36,0.39,Matches
Daniel Ciofani,it ITA,FW,33.0,31,17,1618.0,18.0,5.0,2.0,7.0,3.0,2.0,2.0,1.0,0.0,5.9,4.3,1.7,5.9,8.0,20.0,92.0,0.28,0.11,0.39,0.17,0.28,0.32,0.09,0.41,0.24,0.33,Matches
Francesco Cassata,it ITA,MF,21.0,19,14,1124.0,12.5,2.0,2.0,4.0,2.0,0.0,0.0,9.0,1.0,0.6,0.6,0.5,1.1,30.0,48.0,38.0,0.16,0.16,0.32,0.16,0.32,0.05,0.04,0.09,0.05,0.09,Matches
Cristian Molinaro,it ITA,"DF,MF",35.0,14,13,1159.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,1.1,28.0,52.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.0,0.09,Matches
Luca Paganini,it ITA,"DF,MF",25.0,14,12,1123.0,12.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,0.4,3.1,20.0,36.0,67.0,0.16,0.0,0.16,0.16,0.16,0.21,0.03,0.25,0.21,0.25,Matches
Nicolò Brighenti,it ITA,DF,28.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.3,0.6,15.0,76.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
Luca Valzania,it ITA,MF,22.0,13,11,897.0,10.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.7,1.7,2.3,4.0,14.0,29.0,34.0,0.2,0.1,0.3,0.2,0.3,0.17,0.23,0.4,0.17,0.4,Matches
