Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kalidou Koulibaly,sn SEN,DF,27.0,35,35,3132.0,34.8,2.0,2.0,4.0,2.0,0.0,0.0,10.0,1.0,2.4,2.4,0.3,2.6,53.0,191.0,15.0,0.06,0.06,0.11,0.06,0.11,0.07,0.01,0.08,0.07,0.08,Matches
Piotr Zieliński,pl POL,MF,24.0,36,33,2875.0,31.9,6.0,2.0,8.0,6.0,0.0,0.0,6.0,0.0,5.5,5.5,4.8,10.3,134.0,249.0,197.0,0.19,0.06,0.25,0.19,0.25,0.17,0.15,0.32,0.17,0.32,Matches
José Callejón,es ESP,"MF,FW",31.0,34,29,2650.0,29.4,3.0,10.0,13.0,3.0,0.0,0.0,1.0,0.0,5.7,5.7,8.3,14.1,54.0,135.0,247.0,0.1,0.34,0.44,0.1,0.44,0.2,0.28,0.48,0.2,0.48,Matches
Allan,br BRA,MF,27.0,33,28,2616.0,29.1,1.0,3.0,4.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0,2.5,3.6,49.0,236.0,45.0,0.03,0.1,0.14,0.03,0.14,0.03,0.09,0.12,0.03,0.12,Matches
Arkadiusz Milik,pl POL,FW,24.0,35,27,2396.0,26.6,17.0,3.0,20.0,17.0,0.0,0.0,4.0,0.0,13.9,13.9,3.0,16.8,30.0,57.0,169.0,0.64,0.11,0.75,0.64,0.75,0.52,0.11,0.63,0.52,0.63,Matches
Elseid Hysaj,al ALB,DF,24.0,27,24,2107.0,23.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.6,1.2,67.0,123.0,98.0,0.0,0.09,0.09,0.0,0.09,0.02,0.03,0.05,0.02,0.05,Matches
Lorenzo Insigne,it ITA,"FW,MF",27.0,28,24,2073.0,23.0,10.0,6.0,16.0,9.0,1.0,2.0,6.0,1.0,9.9,8.3,4.7,13.0,76.0,133.0,258.0,0.43,0.26,0.69,0.39,0.65,0.43,0.2,0.63,0.36,0.56,Matches
Dries Mertens,be BEL,FW,31.0,35,23,2252.0,25.0,16.0,11.0,27.0,15.0,1.0,1.0,1.0,0.0,10.7,9.9,8.0,17.9,71.0,96.0,261.0,0.64,0.44,1.08,0.6,1.04,0.43,0.32,0.75,0.4,0.71,Matches
Fabián Ruiz Peña,es ESP,MF,22.0,27,20,1992.0,22.1,5.0,4.0,9.0,5.0,0.0,0.0,3.0,1.0,3.1,3.1,4.1,7.2,70.0,204.0,116.0,0.23,0.18,0.41,0.23,0.41,0.14,0.18,0.33,0.14,0.33,Matches
Kévin Malcuit,ma MAR,DF,27.0,24,20,1805.0,20.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,2.0,2.4,82.0,88.0,138.0,0.0,0.1,0.1,0.0,0.1,0.02,0.1,0.12,0.02,0.12,Matches
