Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fabio Quagliarella,it ITA,FW,35.0,37,37,3199.0,35.5,26.0,8.0,34.0,17.0,9.0,10.0,1.0,0.0,21.9,14.7,4.5,19.2,24.0,66.0,298.0,0.73,0.23,0.96,0.48,0.7,0.62,0.13,0.74,0.41,0.54,Matches
Emil Audero,id IDN,GK,21.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicola Murru,it ITA,DF,23.0,35,34,2934.0,32.6,0.0,5.0,5.0,0.0,0.0,0.0,9.0,0.0,0.4,0.4,3.5,4.0,66.0,203.0,113.0,0.0,0.15,0.15,0.0,0.15,0.01,0.11,0.12,0.01,0.12,Matches
Dennis Praet,be BEL,MF,24.0,34,33,2890.0,32.1,2.0,3.0,5.0,2.0,0.0,0.0,6.0,0.0,2.3,2.3,5.0,7.4,70.0,183.0,189.0,0.06,0.09,0.16,0.06,0.16,0.07,0.16,0.23,0.07,0.23,Matches
Joachim Andersen,dk DEN,DF,22.0,32,32,2880.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.7,1.7,25.0,154.0,3.0,0.0,0.03,0.03,0.0,0.03,0.03,0.02,0.05,0.03,0.05,Matches
Albin Ekdal,se SWE,MF,29.0,32,30,2646.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,1.0,1.9,39.0,129.0,25.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches
Karol Linetty,pl POL,MF,23.0,32,30,2507.0,27.9,3.0,3.0,6.0,3.0,0.0,0.0,11.0,0.0,2.1,2.1,2.8,4.9,76.0,118.0,113.0,0.11,0.11,0.22,0.11,0.22,0.07,0.1,0.17,0.07,0.17,Matches
Grégoire Defrel,mq MTQ,"FW,MF",27.0,36,26,2339.0,26.0,11.0,3.0,14.0,11.0,0.0,0.0,2.0,0.0,8.1,8.1,2.6,10.7,44.0,51.0,246.0,0.42,0.12,0.54,0.42,0.54,0.31,0.1,0.41,0.31,0.41,Matches
Bartosz Bereszyński,pl POL,DF,26.0,27,24,2200.0,24.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.3,0.3,0.7,1.0,51.0,150.0,97.0,0.0,0.08,0.08,0.0,0.08,0.01,0.03,0.04,0.01,0.04,Matches
Omar Colley,gm GAM,DF,25.0,21,21,1762.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.2,0.8,4.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Gastón Ramírez,uy URU,MF,27.0,27,19,1578.0,17.5,4.0,4.0,8.0,4.0,0.0,0.0,7.0,1.0,1.8,1.8,3.7,5.5,24.0,70.0,96.0,0.23,0.23,0.46,0.23,0.46,0.1,0.21,0.31,0.1,0.31,Matches
