Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jens Stryger Larsen,dk DEN,DF,27.0,36,36,3234.0,35.9,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,3.1,4.9,68.0,172.0,101.0,0.03,0.11,0.14,0.03,0.14,0.05,0.08,0.14,0.05,0.14,Matches
Rodrigo De Paul,ar ARG,"MF,FW",24.0,36,36,3189.0,35.4,9.0,9.0,18.0,6.0,3.0,6.0,7.0,0.0,9.7,5.0,8.1,13.1,186.0,247.0,132.0,0.25,0.25,0.51,0.17,0.42,0.27,0.23,0.5,0.14,0.37,Matches
William Troost-Ekong,ng NGA,DF,24.0,35,35,3064.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.4,1.0,3.0,50.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Rolando Mandragora,it ITA,MF,21.0,35,33,2918.0,32.4,3.0,2.0,5.0,3.0,0.0,0.0,8.0,1.0,1.7,1.7,2.1,3.7,18.0,108.0,62.0,0.09,0.06,0.15,0.09,0.15,0.05,0.06,0.12,0.05,0.12,Matches
Seko Fofana,ci CIV,MF,23.0,31,31,2639.0,29.3,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,3.1,3.1,3.3,6.4,67.0,62.0,116.0,0.07,0.14,0.2,0.07,0.2,0.11,0.11,0.22,0.11,0.22,Matches
Juan Musso,ar ARG,GK,24.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin Lasagna,it ITA,FW,25.0,36,26,2453.0,27.3,6.0,2.0,8.0,6.0,0.0,1.0,2.0,0.0,8.5,7.6,2.0,9.7,50.0,29.0,144.0,0.22,0.07,0.29,0.22,0.29,0.31,0.07,0.39,0.28,0.36,Matches
Ignacio Pussetto,ar ARG,"FW,MF",22.0,35,24,2178.0,24.2,4.0,4.0,8.0,4.0,0.0,0.0,8.0,0.0,5.9,5.9,2.3,8.1,75.0,45.0,165.0,0.17,0.17,0.33,0.17,0.33,0.24,0.09,0.34,0.24,0.34,Matches
Bram Nuytinck,nl NED,DF,28.0,27,24,2127.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.4,0.5,10.0,49.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches
