Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefano Sabelli,it ITA,DF,26.0,36,36,3168.0,35.2,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,4.3,4.8,103.0,215.0,89.0,0.0,0.09,0.09,0.0,0.09,0.02,0.12,0.14,0.02,0.14,Matches
Sandro Tonali,it ITA,MF,19.0,35,34,3014.0,33.5,1.0,7.0,8.0,1.0,0.0,0.0,9.0,0.0,1.2,1.2,6.3,7.5,45.0,181.0,38.0,0.03,0.21,0.24,0.03,0.24,0.04,0.19,0.22,0.04,0.22,Matches
Jesse Joronen,fi FIN,GK,26.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aleš Matějů,cz CZE,DF,23.0,31,28,2548.0,28.3,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.4,0.4,0.9,1.3,25.0,80.0,30.0,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.05,0.01,0.05,Matches
Jhon Chancellor,ve VEN,DF,27.0,26,26,2244.0,24.9,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.4,2.4,0.0,2.4,1.0,30.0,1.0,0.12,0.0,0.12,0.12,0.12,0.1,0.0,0.1,0.1,0.1,Matches
Dimitri Bisoli,it ITA,MF,25.0,25,24,2152.0,23.9,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,2.3,2.3,2.2,4.5,30.0,93.0,127.0,0.04,0.04,0.08,0.04,0.08,0.1,0.09,0.19,0.1,0.19,Matches
Daniele Dessena,it ITA,MF,32.0,24,22,1869.0,20.8,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,1.9,1.9,0.3,2.2,21.0,96.0,44.0,0.1,0.0,0.1,0.1,0.1,0.09,0.02,0.11,0.09,0.11,Matches
Ernesto Torregrossa,ve VEN,FW,27.0,25,22,1844.0,20.5,7.0,3.0,10.0,5.0,2.0,2.0,8.0,0.0,8.1,6.6,2.9,9.5,36.0,45.0,154.0,0.34,0.15,0.49,0.24,0.39,0.4,0.14,0.54,0.32,0.46,Matches
Andrea Cistana,it ITA,DF,22.0,21,21,1838.0,20.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.4,0.4,0.4,0.8,14.0,42.0,4.0,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.04,0.02,0.04,Matches
