Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gianluigi Donnarumma,it ITA,GK,20.0,36,36,3201.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alessio Romagnoli,it ITA,DF,24.0,35,35,3091.0,34.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.6,1.6,1.2,2.7,17.0,130.0,4.0,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Matches
Hakan Çalhanoğlu,tr TUR,"MF,FW",25.0,35,34,2704.0,30.0,9.0,9.0,18.0,8.0,1.0,1.0,6.0,0.0,7.8,7.0,7.9,14.9,102.0,166.0,193.0,0.3,0.3,0.6,0.27,0.57,0.26,0.26,0.52,0.23,0.5,Matches
Franck Kessié,ci CIV,MF,22.0,35,33,2904.0,32.3,4.0,1.0,5.0,2.0,2.0,2.0,3.0,0.0,4.6,3.0,2.6,5.6,52.0,173.0,84.0,0.12,0.03,0.15,0.06,0.09,0.14,0.08,0.22,0.09,0.17,Matches
Theo Hernández,fr FRA,DF,21.0,33,32,2817.0,31.3,6.0,3.0,9.0,6.0,0.0,0.0,10.0,0.0,5.8,5.8,4.4,10.3,125.0,144.0,195.0,0.19,0.1,0.29,0.19,0.29,0.19,0.14,0.33,0.19,0.33,Matches
Ismaël Bennacer,dz ALG,MF,21.0,31,28,2485.0,27.6,1.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.7,0.7,1.4,2.1,41.0,190.0,32.0,0.04,0.0,0.04,0.04,0.04,0.03,0.05,0.08,0.03,0.08,Matches
Andrea Conti,it ITA,DF,25.0,23,21,1725.0,19.2,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.5,1.5,49.0,100.0,52.0,0.0,0.1,0.1,0.0,0.1,0.0,0.08,0.08,0.0,0.08,Matches
Mateo Musacchio,ar ARG,DF,28.0,18,17,1466.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.7,0.7,0.5,1.2,12.0,71.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,Matches
Davide Calabria,it ITA,DF,22.0,25,16,1622.0,18.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,0.5,0.5,0.7,1.1,40.0,121.0,81.0,0.06,0.06,0.11,0.06,0.11,0.03,0.04,0.06,0.03,0.06,Matches
