Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lorenzo Insigne,it ITA,"FW,MF",28.0,37,34,2810.0,31.2,8.0,6.0,14.0,3.0,5.0,5.0,1.0,0.0,12.5,8.6,7.3,15.9,146.0,156.0,349.0,0.26,0.19,0.45,0.1,0.29,0.4,0.23,0.64,0.28,0.51,Matches
Giovanni Di Lorenzo,it ITA,DF,25.0,33,33,2970.0,33.0,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,3.2,3.2,2.2,5.4,67.0,204.0,151.0,0.09,0.09,0.18,0.09,0.18,0.1,0.07,0.16,0.1,0.16,Matches
Piotr Zieliński,pl POL,MF,25.0,37,32,2924.0,32.5,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,4.1,4.1,3.7,7.8,134.0,282.0,153.0,0.06,0.12,0.18,0.06,0.18,0.13,0.12,0.24,0.13,0.24,Matches
Fabián Ruiz Peña,es ESP,MF,23.0,33,30,2684.0,29.8,3.0,6.0,9.0,3.0,0.0,0.0,2.0,0.0,3.2,3.2,4.5,7.8,86.0,277.0,132.0,0.1,0.2,0.3,0.1,0.3,0.11,0.15,0.26,0.11,0.26,Matches
Kostas Manolas,gr GRE,DF,28.0,26,25,2176.0,24.2,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,1.6,1.6,0.1,1.7,7.0,66.0,1.0,0.17,0.0,0.17,0.17,0.17,0.07,0.0,0.07,0.07,0.07,Matches
José Callejón,es ESP,"FW,MF",32.0,33,25,2172.0,24.1,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0,5.2,5.2,6.5,11.8,38.0,96.0,224.0,0.17,0.29,0.46,0.17,0.46,0.22,0.27,0.49,0.22,0.49,Matches
Kalidou Koulibaly,sn SEN,DF,28.0,25,24,2105.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.8,0.8,0.5,1.3,38.0,132.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
Mário Rui,pt POR,DF,28.0,24,22,1966.0,21.8,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,3.7,4.8,70.0,154.0,146.0,0.0,0.09,0.09,0.0,0.09,0.05,0.17,0.22,0.05,0.22,Matches
Alex Meret,it ITA,GK,22.0,22,21,1951.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
