Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Emil Audero,id IDN,GK,22.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Omar Colley,gm GAM,DF,26.0,31,30,2772.0,30.8,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,3.0,1.0,3.9,14.0,120.0,5.0,0.0,0.03,0.03,0.0,0.03,0.1,0.03,0.13,0.1,0.13,Matches
Bartosz Bereszyński,pl POL,DF,27.0,28,27,2402.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4,0.4,0.5,0.9,49.0,117.0,71.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Albin Ekdal,se SWE,MF,30.0,32,27,2385.0,26.5,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.5,1.5,1.2,2.7,45.0,137.0,26.0,0.0,0.08,0.08,0.0,0.08,0.05,0.05,0.1,0.05,0.1,Matches
Fabio Quagliarella,it ITA,FW,36.0,28,26,2275.0,25.3,11.0,3.0,14.0,6.0,5.0,7.0,2.0,0.0,12.9,7.4,3.2,10.6,21.0,50.0,164.0,0.44,0.12,0.55,0.24,0.36,0.51,0.13,0.64,0.29,0.42,Matches
Nicola Murru,it ITA,DF,24.0,28,26,2259.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.6,0.6,1.0,1.6,52.0,95.0,82.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.03,0.06,Matches
Jakub Jankto,cz CZE,"MF,FW",23.0,30,25,2095.0,23.3,2.0,4.0,6.0,2.0,0.0,0.0,8.0,0.0,2.5,2.5,3.7,6.2,49.0,65.0,140.0,0.09,0.17,0.26,0.09,0.26,0.11,0.16,0.27,0.11,0.27,Matches
Manolo Gabbiadini,it ITA,FW,27.0,33,24,2035.0,22.6,11.0,1.0,12.0,10.0,1.0,1.0,2.0,0.0,8.1,7.3,3.8,11.1,34.0,43.0,123.0,0.49,0.04,0.53,0.44,0.49,0.36,0.17,0.53,0.32,0.49,Matches
Karol Linetty,pl POL,MF,24.0,28,22,2019.0,22.4,4.0,3.0,7.0,4.0,0.0,0.0,4.0,0.0,1.8,1.8,2.2,4.0,59.0,84.0,103.0,0.18,0.13,0.31,0.18,0.31,0.08,0.1,0.18,0.08,0.18,Matches
Morten Thorsby,no NOR,"MF,DF",23.0,24,21,1865.0,20.7,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,1.9,1.9,1.0,2.9,16.0,74.0,55.0,0.05,0.05,0.1,0.05,0.1,0.09,0.05,0.14,0.09,0.14,Matches
Fabio Depaoli,it ITA,"MF,DF",22.0,29,21,1854.0,20.6,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,1.1,1.1,2.7,3.8,37.0,66.0,135.0,0.0,0.05,0.05,0.0,0.05,0.05,0.13,0.19,0.05,0.19,Matches
Ronaldo Vieira,eng ENG,MF,21.0,27,20,1819.0,20.2,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,1.5,1.5,1.1,2.7,29.0,126.0,32.0,0.0,0.05,0.05,0.0,0.05,0.08,0.06,0.13,0.08,0.13,Matches
Gastón Ramírez,uy URU,"MF,FW",28.0,26,19,1392.0,15.5,7.0,2.0,9.0,4.0,3.0,3.0,5.0,0.0,5.9,3.5,3.2,6.7,55.0,76.0,77.0,0.45,0.13,0.58,0.26,0.39,0.38,0.21,0.59,0.23,0.43,Matches
Maya Yoshida,jp JPN,DF,30.0,14,13,1187.0,13.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.7,3.0,14.0,1.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.05,0.02,0.05,Matches
Tommaso Augello,it ITA,DF,24.0,17,12,1135.0,12.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,1.2,43.0,77.0,87.0,0.0,0.16,0.16,0.0,0.16,0.0,0.09,0.09,0.0,0.09,Matches
Alex Ferrari,it ITA,DF,25.0,12,11,1005.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.5,1.4,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,0.13,Matches
Lorenzo Tonelli,it ITA,DF,29.0,9,9,702.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Andrea Bertolacci,it ITA,MF,28.0,12,8,534.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.1,0.3,8.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Federico Bonazzoli,it ITA,FW,22.0,19,7,744.0,8.3,6.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,3.6,3.6,0.7,4.2,24.0,19.0,53.0,0.73,0.0,0.73,0.73,0.73,0.43,0.08,0.51,0.43,0.51,Matches
Jeison Murillo,co COL,DF,27.0,10,7,666.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.1,0.2,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Julian Chabot,de GER,DF,21.0,8,7,569.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1,0.1,0.0,0.1,1.0,16.0,0.0,0.16,0.0,0.16,0.16,0.16,0.02,0.0,0.02,0.02,0.02,Matches
Gianluca Caprari,it ITA,"FW,MF",26.0,18,5,667.0,7.4,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,1.2,1.2,0.5,1.7,21.0,29.0,57.0,0.4,0.0,0.4,0.4,0.4,0.16,0.07,0.23,0.16,0.23,Matches
Emiliano Rigoni,ar ARG,"MF,FW",26.0,8,4,431.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,0.9,2.2,17.0,18.0,51.0,0.0,0.21,0.21,0.0,0.21,0.27,0.19,0.46,0.27,0.46,Matches
Mehdi Léris,dz ALG,"MF,FW",21.0,15,3,509.0,5.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.5,0.7,1.2,11.0,23.0,54.0,0.18,0.18,0.35,0.18,0.35,0.1,0.13,0.23,0.09,0.22,Matches
Antonino La Gumina,it ITA,FW,23.0,5,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.15,0.11,0.15,Matches
Wladimiro Falcone,it ITA,GK,24.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vasco Regini,it ITA,DF,28.0,3,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.35,Matches
Gonzalo Maroni,ar ARG,"MF,FW",20.0,5,1,181.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.6,0.8,12.0,14.0,11.0,0.0,0.5,0.5,0.0,0.5,0.49,0.29,0.78,0.09,0.39,Matches
Édgar Barreto,py PAR,MF,35.0,2,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Kristoffer Askildsen,no NOR,MF,18.0,4,0,76.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.1,2.0,2.0,0.0,1.18,0.0,1.18,1.18,1.18,0.03,0.11,0.14,0.03,0.14,Matches
Felice D'Amico,it ITA,MF,18.0,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,1.04,1.04,1.04,Matches
Lorenzo Avogadri,it ITA,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mohamed Bahlouli,fr FRA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Pompetti,it ITA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matteo Raspa,it ITA,GK,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kaique Rocha,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Seculin,it ITA,GK,29.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.0,38,418,3420.0,38.0,48.0,25.0,73.0,39.0,9.0,12.0,111.0,7.0,50.2,40.8,30.8,71.6,613.0,1369.0,1358.0,1.26,0.66,1.92,1.03,1.68,1.32,0.81,2.13,1.07,1.89,
Opponent Total,,,26.9,38,418,3420.0,38.0,61.0,41.0,102.0,53.0,8.0,9.0,86.0,8.0,54.9,47.9,34.3,82.2,815.0,1723.0,1715.0,1.61,1.08,2.68,1.39,2.47,1.45,0.9,2.35,1.26,2.16,
