Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Salvatore Sirigu,it ITA,GK,32.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Belotti,it ITA,FW,25.0,36,34,3008.0,33.4,16.0,3.0,19.0,9.0,7.0,8.0,4.0,0.0,16.7,10.5,4.6,15.1,132.0,67.0,243.0,0.48,0.09,0.57,0.27,0.36,0.5,0.14,0.64,0.31,0.45,Matches
Tomás Rincón,ve VEN,MF,31.0,32,31,2702.0,30.0,1.0,3.0,4.0,1.0,0.0,0.0,10.0,0.0,1.0,1.0,1.5,2.5,68.0,148.0,34.0,0.03,0.1,0.13,0.03,0.13,0.03,0.05,0.08,0.03,0.08,Matches
Nicolas Nkoulou,cm CMR,DF,29.0,31,30,2692.0,29.9,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.6,1.6,0.0,1.6,2.0,23.0,0.0,0.03,0.0,0.03,0.03,0.03,0.05,0.0,0.05,0.05,0.05,Matches
Armando Izzo,it ITA,DF,27.0,31,30,2686.0,29.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,1.7,1.7,1.5,3.3,34.0,111.0,28.0,0.03,0.0,0.03,0.03,0.03,0.06,0.05,0.11,0.06,0.11,Matches
Lorenzo De Silvestri,it ITA,DF,31.0,29,28,2243.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.3,2.3,2.0,4.3,49.0,82.0,138.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,Matches
Gleison Bremer,br BRA,DF,22.0,27,27,2270.0,25.2,3.0,1.0,4.0,3.0,0.0,0.0,6.0,2.0,1.7,1.7,0.4,2.0,16.0,57.0,3.0,0.12,0.04,0.16,0.12,0.16,0.07,0.01,0.08,0.07,0.08,Matches
Simone Verdi,it ITA,"MF,FW",27.0,33,26,2073.0,23.0,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,3.7,3.7,3.9,7.6,58.0,90.0,117.0,0.09,0.26,0.35,0.09,0.35,0.16,0.17,0.33,0.16,0.33,Matches
Soualiho Meïté,fr FRA,MF,25.0,33,23,2201.0,24.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,1.7,2.9,59.0,113.0,40.0,0.0,0.08,0.08,0.0,0.08,0.05,0.07,0.12,0.05,0.12,Matches
Álex Berenguer,es ESP,"MF,DF",24.0,29,21,1823.0,20.3,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,8.0,97.0,77.0,121.0,0.3,0.1,0.39,0.3,0.39,0.2,0.2,0.4,0.2,0.4,Matches
Cristian Ansaldi,ar ARG,"DF,MF",32.0,27,21,1768.0,19.6,4.0,4.0,8.0,4.0,0.0,0.0,9.0,0.0,1.9,1.9,3.3,5.2,90.0,66.0,124.0,0.2,0.2,0.41,0.2,0.41,0.09,0.17,0.26,0.09,0.26,Matches
Ola Aina,ng NGA,DF,22.0,32,20,2079.0,23.1,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,2.5,2.9,86.0,80.0,80.0,0.0,0.09,0.09,0.0,0.09,0.02,0.11,0.13,0.02,0.13,Matches
Saša Lukić,rs SRB,MF,22.0,30,20,1861.0,20.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,1.1,1.1,0.5,1.6,55.0,91.0,42.0,0.05,0.05,0.1,0.05,0.1,0.05,0.02,0.08,0.05,0.08,Matches
Simone Zaza,it ITA,FW,28.0,24,16,1640.0,18.2,6.0,1.0,7.0,6.0,0.0,0.0,7.0,0.0,5.8,5.8,1.9,7.7,10.0,22.0,99.0,0.33,0.05,0.38,0.33,0.38,0.32,0.11,0.42,0.32,0.42,Matches
Daniele Baselli,it ITA,MF,27.0,16,16,1278.0,14.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.9,1.6,20.0,72.0,14.0,0.0,0.14,0.14,0.0,0.14,0.05,0.06,0.11,0.05,0.11,Matches
Lyanco,br BRA,DF,22.0,17,15,1176.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2,0.3,11.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Koffi Djidji,ci CIV,DF,26.0,17,9,851.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Laxalt,uy URU,"DF,MF",26.0,16,4,596.0,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,21.0,24.0,28.0,0.0,0.15,0.15,0.0,0.15,0.06,0.05,0.1,0.06,0.1,Matches
Simone Edera,it ITA,"MF,FW",22.0,13,4,398.0,4.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,1.2,1.2,0.7,1.9,13.0,19.0,31.0,0.23,0.23,0.45,0.23,0.45,0.28,0.16,0.44,0.27,0.43,Matches
Kevin Bonifazi,it ITA,DF,23.0,3,3,247.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,5.0,0.0,0.36,0.0,0.36,0.36,0.36,0.1,0.01,0.12,0.1,0.12,Matches
Wilfried Singo,ci CIV,DF,18.0,4,1,132.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,5.0,2.0,14.0,0.68,0.0,0.68,0.68,0.68,0.07,0.1,0.17,0.07,0.17,Matches
Iago Falque,es ESP,"FW,MF",29.0,4,1,102.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,0.19,Matches
Antonio Rosati,it ITA,GK,36.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samir Ujkani,xk KVX,GK,31.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vincenzo Millico,it ITA,"MF,FW",18.0,11,0,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,15.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.15,0.07,0.15,Matches
Michel Ndary Adopo,fr FRA,"DF,MF",19.0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christian Celesia,it ITA,DF,17.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,10.06,0.0,10.06,Matches
Alessandro Buongiorno,it ITA,DF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Patrick Enrici,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jean Freddi Greco,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luca Gemello,it ITA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Emin Ghazoini,ma MAR,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mihael Onișa,ro ROU,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vittorio Parigini,it ITA,"FW,MF",23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicola Rauti,it ITA,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattia Sandri,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
