Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alex Cordaz,it ITA,GK,37.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Junior Messias,br BRA,"MF,FW",29.0,36,36,3215.0,35.7,9.0,4.0,13.0,9.0,0.0,0.0,6.0,0.0,7.6,7.6,2.6,10.2,166.0,135.0,213.0,0.25,0.11,0.36,0.25,0.36,0.21,0.07,0.29,0.21,0.29,Matches
Simeon Nwankwo,ng NGA,FW,28.0,38,31,2943.0,32.7,20.0,2.0,22.0,12.0,8.0,8.0,1.0,0.0,19.1,12.8,1.1,14.0,22.0,50.0,175.0,0.61,0.06,0.67,0.37,0.43,0.59,0.03,0.62,0.39,0.43,Matches
Pedro Pereira,pt POR,DF,22.0,35,29,2549.0,28.3,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,3.4,4.1,32.0,44.0,142.0,0.0,0.14,0.14,0.0,0.14,0.02,0.12,0.15,0.02,0.15,Matches
Salvatore Molina,it ITA,"MF,DF",28.0,29,28,2315.0,25.7,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,2.3,3.0,34.0,97.0,87.0,0.04,0.16,0.19,0.04,0.19,0.03,0.09,0.12,0.03,0.12,Matches
Arkadiusz Reca,pl POL,DF,25.0,30,28,2313.0,25.7,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,1.5,1.5,3.1,4.6,85.0,66.0,170.0,0.08,0.12,0.19,0.08,0.19,0.06,0.12,0.18,0.06,0.18,Matches
Vladimir Golemić,si SVN,DF,29.0,30,26,2341.0,26.0,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.2,0.4,0.5,0.9,9.0,59.0,5.0,0.08,0.0,0.08,0.04,0.04,0.05,0.02,0.07,0.02,0.04,Matches
Lisandro Magallán,ar ARG,DF,26.0,28,25,2181.0,24.2,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,1.2,1.2,0.4,1.6,12.0,70.0,3.0,0.04,0.08,0.12,0.04,0.12,0.05,0.01,0.06,0.05,0.06,Matches
Sebastiano Luperto,it ITA,DF,23.0,23,22,1879.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,0.2,0.5,14.0,69.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Niccolò Zanellato,it ITA,MF,22.0,27,18,1637.0,18.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,1.2,1.6,9.0,65.0,27.0,0.05,0.05,0.11,0.05,0.11,0.02,0.07,0.09,0.02,0.09,Matches
Luca Marrone,it ITA,DF,30.0,21,18,1588.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.0,0.4,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Koffi Djidji,ci CIV,DF,27.0,20,16,1524.0,16.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.2,0.4,17.0,56.0,15.0,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,Matches
