Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Perin,it ITA,GK,27.0,32,32,2879.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Masiello,it ITA,DF,34.0,30,30,2563.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.4,0.9,9.0,99.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Milan Badelj,hr CRO,MF,31.0,30,29,2408.0,26.8,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,0.8,0.8,2.7,3.5,23.0,171.0,25.0,0.04,0.15,0.19,0.04,0.19,0.03,0.1,0.13,0.03,0.13,Matches
Ivan Radovanović,rs SRB,"DF,MF",31.0,33,24,2232.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.3,0.7,4.0,55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Davide Zappacosta,it ITA,DF,28.0,25,23,2045.0,22.7,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.6,2.6,1.4,3.9,88.0,38.0,166.0,0.18,0.09,0.26,0.18,0.26,0.11,0.06,0.17,0.11,0.17,Matches
Miha Zajc,si SVN,MF,26.0,31,22,1863.0,20.7,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.8,1.8,2.1,3.9,42.0,96.0,42.0,0.05,0.14,0.19,0.05,0.19,0.08,0.1,0.19,0.08,0.19,Matches
Mattia Destro,it ITA,FW,29.0,29,22,1606.0,17.8,11.0,1.0,12.0,11.0,0.0,0.0,5.0,0.0,6.2,6.2,0.5,6.7,22.0,13.0,76.0,0.62,0.06,0.67,0.62,0.67,0.35,0.03,0.38,0.35,0.38,Matches
Domenico Criscito,it ITA,DF,33.0,23,20,1726.0,19.2,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.9,0.1,0.4,0.6,39.0,83.0,18.0,0.05,0.0,0.05,0.0,0.0,0.05,0.02,0.07,0.01,0.03,Matches
Edoardo Goldaniga,it ITA,DF,26.0,25,19,1857.0,20.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.5,0.5,0.8,1.3,21.0,68.0,41.0,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,Matches
