Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marco Silvestri,it ITA,GK,29.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Faraoni,it ITA,DF,28.0,34,33,2891.0,32.1,4.0,7.0,11.0,4.0,0.0,0.0,8.0,0.0,3.1,3.1,3.4,6.5,26.0,132.0,100.0,0.12,0.22,0.34,0.12,0.34,0.1,0.11,0.21,0.1,0.21,Matches
Mattia Zaccagni,it ITA,MF,25.0,36,33,2609.0,29.0,5.0,5.0,10.0,4.0,1.0,1.0,6.0,0.0,3.2,2.4,5.7,8.2,118.0,112.0,299.0,0.17,0.17,0.34,0.14,0.31,0.11,0.2,0.31,0.09,0.29,Matches
Antonín Barák,cz CZE,MF,25.0,34,32,2765.0,30.7,7.0,3.0,10.0,7.0,0.0,0.0,5.0,1.0,6.8,6.8,2.2,9.1,64.0,147.0,101.0,0.23,0.1,0.33,0.23,0.33,0.22,0.07,0.3,0.22,0.3,Matches
Federico Dimarco,it ITA,DF,22.0,35,29,2613.0,29.0,5.0,3.0,8.0,5.0,0.0,0.0,6.0,0.0,2.8,2.8,7.8,10.6,61.0,172.0,138.0,0.17,0.1,0.28,0.17,0.28,0.1,0.28,0.38,0.1,0.38,Matches
Adrien Tameze,cm CMR,MF,26.0,33,28,2304.0,25.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.2,1.2,0.6,1.7,33.0,101.0,58.0,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Matches
Darko Lazović,rs SRB,"DF,MF",29.0,32,27,2503.0,27.8,3.0,6.0,9.0,3.0,0.0,0.0,3.0,0.0,3.4,3.4,4.8,8.2,68.0,156.0,198.0,0.11,0.22,0.32,0.11,0.32,0.12,0.17,0.29,0.12,0.29,Matches
Federico Ceccherini,it ITA,DF,28.0,25,23,1738.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.3,1.3,0.6,1.9,17.0,69.0,27.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches
Paweł Dawidowicz,pl POL,DF,25.0,30,22,1860.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.9,1.9,1.0,2.9,12.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches
