Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ciro Immobile,it ITA,FW,30.0,35,34,2849.0,31.7,20.0,6.0,26.0,16.0,4.0,8.0,4.0,1.0,19.8,13.6,6.2,19.8,74.0,84.0,250.0,0.63,0.19,0.82,0.51,0.69,0.63,0.2,0.82,0.43,0.62,Matches
Adam Marušić,me MNE,DF,27.0,36,33,2966.0,33.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,2.2,4.4,53.0,92.0,201.0,0.06,0.09,0.15,0.06,0.15,0.07,0.07,0.13,0.07,0.13,Matches
Luis Alberto,es ESP,MF,27.0,34,33,2618.0,29.1,9.0,2.0,11.0,9.0,0.0,0.0,5.0,0.0,5.1,5.0,7.9,12.9,143.0,301.0,132.0,0.31,0.07,0.38,0.31,0.38,0.18,0.27,0.45,0.17,0.44,Matches
Francesco Acerbi,it ITA,DF,32.0,32,32,2813.0,31.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.1,1.1,1.0,2.1,41.0,141.0,46.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.07,0.03,0.07,Matches
Sergej Milinković-Savić,rs SRB,MF,25.0,32,32,2746.0,30.5,8.0,9.0,17.0,8.0,0.0,0.0,4.0,0.0,6.9,6.9,6.4,13.4,59.0,203.0,132.0,0.26,0.29,0.56,0.26,0.56,0.23,0.21,0.44,0.23,0.44,Matches
Manuel Lazzari,it ITA,DF,26.0,32,30,2613.0,29.0,2.0,5.0,7.0,2.0,0.0,0.0,2.0,1.0,2.1,2.1,3.4,5.6,130.0,37.0,202.0,0.07,0.17,0.24,0.07,0.24,0.07,0.12,0.19,0.07,0.19,Matches
Ștefan Radu,ro ROU,DF,33.0,31,30,2458.0,27.3,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.5,1.9,46.0,165.0,50.0,0.0,0.11,0.11,0.0,0.11,0.02,0.05,0.07,0.02,0.07,Matches
Lucas Leiva,br BRA,MF,33.0,32,30,2131.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.4,0.4,0.4,0.8,23.0,163.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Pepe Reina,es ESP,GK,37.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
