Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Luigi Sepe,it ITA,GK,29.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jasmin Kurtić,si SVN,MF,31.0,34,31,2739.0,30.4,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,3.7,3.7,2.2,5.9,53.0,143.0,78.0,0.13,0.0,0.13,0.13,0.13,0.12,0.07,0.19,0.12,0.19,Matches
Juraj Kucka,sk SVK,"MF,FW",33.0,28,28,2334.0,25.9,7.0,2.0,9.0,3.0,4.0,4.0,8.0,0.0,7.1,4.0,2.0,5.9,35.0,77.0,117.0,0.27,0.08,0.35,0.12,0.19,0.27,0.08,0.35,0.15,0.23,Matches
Hernani,br BRA,MF,26.0,33,27,2189.0,24.3,7.0,3.0,10.0,6.0,1.0,1.0,11.0,0.0,3.4,2.6,2.7,5.3,51.0,116.0,85.0,0.29,0.12,0.41,0.25,0.37,0.14,0.11,0.25,0.11,0.22,Matches
Gervinho,ci CIV,FW,33.0,27,25,2021.0,22.5,5.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,3.5,3.5,2.2,5.7,84.0,53.0,163.0,0.22,0.04,0.27,0.22,0.27,0.16,0.1,0.26,0.16,0.26,Matches
Riccardo Gagliolo,se SWE,DF,30.0,28,22,1956.0,21.7,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,3.2,3.2,1.2,4.4,37.0,118.0,34.0,0.09,0.09,0.18,0.09,0.18,0.15,0.06,0.2,0.15,0.2,Matches
Andreas Cornelius,dk DEN,FW,27.0,29,21,1898.0,21.1,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,2.9,2.9,3.5,6.4,12.0,45.0,135.0,0.05,0.19,0.24,0.05,0.24,0.14,0.17,0.3,0.14,0.3,Matches
Giuseppe Pezzella,it ITA,DF,22.0,24,21,1828.0,20.3,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,0.2,0.2,3.2,3.4,58.0,69.0,114.0,0.05,0.2,0.25,0.05,0.25,0.01,0.16,0.17,0.01,0.17,Matches
Yordan Osorio,ve VEN,DF,26.0,23,21,1809.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,11.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches
