Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gianluca Mancini,it ITA,DF,24.0,33,33,2852.0,31.7,4.0,2.0,6.0,4.0,0.0,0.0,10.0,0.0,2.7,2.7,0.8,3.5,42.0,150.0,27.0,0.13,0.06,0.19,0.13,0.19,0.09,0.03,0.11,0.09,0.11,Matches
Henrikh Mkhitaryan,am ARM,"MF,FW",31.0,34,30,2745.0,30.5,13.0,10.0,23.0,12.0,1.0,1.0,2.0,0.0,10.9,10.1,7.6,17.7,103.0,138.0,225.0,0.43,0.33,0.75,0.39,0.72,0.37,0.26,0.63,0.34,0.6,Matches
Lorenzo Pellegrini,it ITA,MF,24.0,34,30,2598.0,28.9,7.0,6.0,13.0,6.0,1.0,1.0,10.0,0.0,5.6,4.8,8.0,12.9,87.0,147.0,149.0,0.24,0.21,0.45,0.21,0.42,0.2,0.29,0.49,0.17,0.46,Matches
Rick Karsdorp,nl NED,DF,25.0,34,28,2544.0,28.3,1.0,6.0,7.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.1,6.2,32.0,97.0,150.0,0.04,0.21,0.25,0.04,0.25,0.04,0.19,0.23,0.04,0.23,Matches
Roger Ibanez,br BRA,DF,21.0,30,28,2398.0,26.6,0.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,1.2,1.2,1.5,2.7,40.0,104.0,9.0,0.0,0.08,0.08,0.0,0.08,0.05,0.06,0.11,0.05,0.11,Matches
Leonardo Spinazzola,it ITA,DF,27.0,27,25,2124.0,23.6,2.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,5.0,6.8,147.0,105.0,174.0,0.08,0.17,0.25,0.08,0.25,0.08,0.22,0.3,0.08,0.3,Matches
Jordan Veretout,fr FRA,MF,27.0,29,25,2053.0,22.8,10.0,2.0,12.0,5.0,5.0,5.0,4.0,0.0,8.1,4.1,2.6,6.7,45.0,144.0,56.0,0.44,0.09,0.53,0.22,0.31,0.37,0.12,0.49,0.19,0.31,Matches
Bryan Cristante,it ITA,"DF,MF",25.0,34,22,2155.0,23.9,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,2.4,2.4,1.3,3.6,24.0,142.0,33.0,0.04,0.13,0.17,0.04,0.17,0.1,0.06,0.16,0.1,0.16,Matches
Gonzalo Villar,es ESP,MF,22.0,33,21,1859.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.7,1.1,50.0,122.0,27.0,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.05,0.02,0.05,Matches
Edin Džeko,ba BIH,FW,34.0,27,20,1824.0,20.3,7.0,3.0,10.0,7.0,0.0,1.0,2.0,0.0,13.2,12.4,2.2,14.6,50.0,53.0,174.0,0.35,0.15,0.49,0.35,0.49,0.65,0.11,0.76,0.61,0.72,Matches
