Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Emmanuel Gyasi,gh GHA,FW,26.0,37,32,2851.0,31.7,4.0,6.0,10.0,4.0,0.0,0.0,4.0,0.0,5.1,5.1,4.1,9.2,70.0,69.0,250.0,0.13,0.19,0.32,0.13,0.32,0.16,0.13,0.29,0.16,0.29,Matches
Ivan Provedel,it ITA,GK,26.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matteo Ricci,it ITA,MF,26.0,29,26,2229.0,24.8,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.6,2.6,26.0,185.0,21.0,0.0,0.08,0.08,0.0,0.08,0.04,0.06,0.1,0.04,0.1,Matches
Giulio Maggiore,it ITA,MF,22.0,33,26,2214.0,24.6,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,4.7,4.7,1.9,6.6,38.0,78.0,94.0,0.12,0.04,0.16,0.12,0.16,0.19,0.08,0.27,0.19,0.27,Matches
Claudio Terzi,it ITA,DF,36.0,25,22,1869.0,20.8,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.4,0.4,0.5,0.9,20.0,82.0,1.0,0.05,0.05,0.1,0.05,0.1,0.02,0.02,0.04,0.02,0.04,Matches
M'Bala Nzola,ao ANG,FW,23.0,25,21,1896.0,21.1,11.0,3.0,14.0,7.0,4.0,4.0,5.0,0.0,9.3,6.2,2.1,8.3,26.0,25.0,119.0,0.52,0.14,0.66,0.33,0.47,0.44,0.1,0.54,0.29,0.39,Matches
Martin Erlic,hr CRO,DF,22.0,27,19,1798.0,20.0,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,1.2,1.2,0.2,1.4,15.0,58.0,2.0,0.15,0.05,0.2,0.15,0.2,0.06,0.01,0.07,0.06,0.07,Matches
Nahuel Estévez,ar ARG,MF,24.0,27,19,1768.0,19.6,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,1.9,1.9,2.8,4.7,32.0,101.0,80.0,0.0,0.15,0.15,0.0,0.15,0.09,0.14,0.24,0.09,0.24,Matches
Julian Chabot,de GER,DF,22.0,25,19,1655.0,18.4,1.0,1.0,2.0,1.0,0.0,0.0,11.0,1.0,0.7,0.7,0.5,1.3,11.0,57.0,4.0,0.05,0.05,0.11,0.05,0.11,0.04,0.03,0.07,0.04,0.07,Matches
