Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Rodrigo De Paul,ar ARG,MF,26.0,36,36,3201.0,35.6,9.0,9.0,18.0,6.0,3.0,3.0,5.0,2.0,6.2,3.8,11.2,15.1,167.0,308.0,135.0,0.25,0.25,0.51,0.17,0.42,0.17,0.32,0.49,0.11,0.42,Matches
Juan Musso,ar ARG,GK,26.0,35,35,3147.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roberto Pereyra,ar ARG,"MF,FW",29.0,34,34,2925.0,32.5,5.0,7.0,12.0,4.0,1.0,1.0,8.0,0.0,4.0,3.2,4.0,7.2,106.0,134.0,193.0,0.15,0.22,0.37,0.12,0.34,0.12,0.12,0.24,0.1,0.22,Matches
Rodrigo Becão,br BRA,DF,24.0,35,32,2780.0,30.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.3,1.7,22.0,98.0,22.0,0.03,0.0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,Matches
Jens Stryger Larsen,dk DEN,DF,29.0,33,30,2638.0,29.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.3,4.3,43.0,107.0,113.0,0.07,0.0,0.07,0.07,0.07,0.1,0.04,0.15,0.1,0.15,Matches
Kevin Bonifazi,it ITA,DF,24.0,30,28,2469.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.4,1.4,0.2,1.6,15.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Tolgay Arslan,de GER,MF,29.0,30,25,1818.0,20.2,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,0.9,0.9,0.4,1.3,48.0,80.0,37.0,0.15,0.0,0.15,0.15,0.15,0.04,0.02,0.07,0.04,0.07,Matches
Samir Santos,br BRA,DF,25.0,30,24,2216.0,24.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,0.6,2.0,24.0,88.0,23.0,0.04,0.0,0.04,0.04,0.04,0.05,0.03,0.08,0.05,0.08,Matches
Walace,br BRA,MF,25.0,30,23,2055.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.3,1.0,17.0,95.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches
Marvin Zeegelaar,nl NED,DF,29.0,24,23,1740.0,19.3,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.6,1.6,0.9,2.5,35.0,70.0,88.0,0.05,0.0,0.05,0.05,0.05,0.08,0.05,0.13,0.08,0.13,Matches
Bram Nuytinck,nl NED,DF,30.0,20,19,1641.0,18.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,14.0,54.0,2.0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Matches
Nahuel Molina,ar ARG,DF,22.0,29,18,1828.0,20.3,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,2.6,4.0,34.0,70.0,156.0,0.1,0.25,0.34,0.1,0.34,0.07,0.13,0.2,0.07,0.2,Matches
Stefano Okaka,it ITA,FW,30.0,22,17,1489.0,16.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,3.8,3.8,0.6,4.5,15.0,22.0,110.0,0.24,0.06,0.3,0.24,0.3,0.23,0.04,0.27,0.23,0.27,Matches
Kevin Lasagna,it ITA,FW,27.0,17,12,1103.0,12.3,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,7.4,7.4,1.0,8.4,20.0,23.0,79.0,0.16,0.08,0.24,0.16,0.24,0.6,0.08,0.68,0.6,0.68,Matches
Sebastien De Maio,fr FRA,DF,33.0,15,9,853.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Ignacio Pussetto,ar ARG,FW,24.0,11,9,754.0,8.4,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.5,2.5,0.9,3.4,25.0,18.0,62.0,0.36,0.12,0.48,0.36,0.48,0.3,0.11,0.41,0.3,0.41,Matches
Fernando Llorente,es ESP,FW,35.0,14,8,713.0,7.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.5,2.3,1.0,11.0,38.0,0.13,0.0,0.13,0.13,0.13,0.23,0.07,0.3,0.23,0.3,Matches
Gerard Deulofeu,es ESP,"FW,MF",26.0,13,7,598.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,1.1,2.5,34.0,27.0,73.0,0.15,0.15,0.3,0.15,0.3,0.21,0.17,0.38,0.21,0.38,Matches
Jean-Victor Makengo,fr FRA,MF,22.0,17,5,522.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,10.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Ilija Nestorovski,mk MKD,"FW,MF",30.0,22,4,701.0,7.8,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4.7,4.7,1.3,6.0,2.0,13.0,44.0,0.26,0.26,0.51,0.26,0.51,0.6,0.17,0.76,0.6,0.76,Matches
Hidde ter Avest,nl NED,DF,23.0,6,4,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fernando Forestieri,it ITA,"FW,MF",30.0,19,3,552.0,6.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.3,2.9,8.0,20.0,47.0,0.16,0.16,0.33,0.16,0.33,0.25,0.22,0.47,0.25,0.47,Matches
Thomas Ouwejan,nl NED,DF,23.0,15,3,413.0,4.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.0,13.0,15.0,36.0,0.0,0.44,0.44,0.0,0.44,0.04,0.19,0.23,0.04,0.23,Matches
Rolando Mandragora,it ITA,MF,23.0,10,3,398.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,2.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.26,0.23,0.26,Matches
Mamadou Coulibaly,sn SEN,MF,21.0,3,2,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Matches
Nícolas Andrade,br BRA,GK,32.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jayden Braaf,nl NED,FW,17.0,4,1,116.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,2.0,11.0,0.78,0.0,0.78,0.78,0.78,0.09,0.08,0.17,0.09,0.17,Matches
Simone Scuffet,it ITA,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Martin Palumbo,no NOR,MF,18.0,3,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
