Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cristiano Biraghi,it ITA,DF,28.0,37,37,3153.0,35.0,4.0,1.0,5.0,3.0,1.0,2.0,5.0,1.0,3.1,1.5,6.1,7.7,61.0,171.0,177.0,0.11,0.03,0.14,0.09,0.11,0.09,0.17,0.26,0.04,0.22,Matches
Nikola Milenković,rs SRB,DF,23.0,34,34,2926.0,32.5,1.0,0.0,1.0,1.0,0.0,0.0,10.0,1.0,2.1,2.1,0.2,2.3,13.0,114.0,8.0,0.03,0.0,0.03,0.03,0.03,0.07,0.01,0.07,0.07,0.07,Matches
Pietro Terracciano,it ITA,GK,31.0,32,31,2862.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giacomo Bonaventura,it ITA,MF,31.0,31,28,2266.0,25.2,4.0,4.0,8.0,4.0,0.0,0.0,8.0,1.0,4.7,4.7,2.3,7.1,76.0,131.0,94.0,0.16,0.16,0.32,0.16,0.32,0.19,0.09,0.28,0.19,0.28,Matches
Nicolás González,ar ARG,FW,23.0,33,26,2357.0,26.2,7.0,6.0,13.0,4.0,3.0,3.0,4.0,1.0,10.1,7.7,4.2,12.0,97.0,91.0,210.0,0.27,0.23,0.5,0.15,0.38,0.39,0.16,0.55,0.3,0.46,Matches
Lucas Torreira,uy URU,MF,25.0,31,26,2195.0,24.4,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,5.3,5.0,2.1,7.1,10.0,125.0,30.0,0.21,0.04,0.25,0.21,0.25,0.22,0.09,0.3,0.2,0.29,Matches
Igor,br BRA,DF,23.0,30,23,2242.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.9,1.4,20.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches
Alfred Duncan,gh GHA,MF,28.0,33,21,1931.0,21.5,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.9,0.9,2.0,2.9,29.0,129.0,71.0,0.09,0.09,0.19,0.09,0.19,0.04,0.09,0.14,0.04,0.14,Matches
Dušan Vlahović,rs SRB,FW,21.0,21,21,1857.0,20.6,17.0,2.0,19.0,12.0,5.0,6.0,2.0,0.0,12.9,8.2,1.8,9.9,18.0,40.0,138.0,0.82,0.1,0.92,0.58,0.68,0.62,0.09,0.71,0.4,0.48,Matches
Lorenzo Venuti,it ITA,DF,26.0,23,20,1571.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.3,0.5,28.0,68.0,53.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Álvaro Odriozola,es ESP,DF,25.0,25,18,1733.0,19.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,1.3,1.3,3.4,4.7,75.0,55.0,136.0,0.05,0.1,0.16,0.05,0.16,0.07,0.18,0.24,0.07,0.24,Matches
Lucas Martínez Quarta,ar ARG,DF,25.0,20,16,1431.0,15.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.2,1.2,1.0,2.2,22.0,76.0,4.0,0.06,0.0,0.06,0.06,0.06,0.07,0.06,0.14,0.07,0.14,Matches
Gaetano Castrovilli,it ITA,MF,24.0,23,16,1391.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.8,1.8,40.0,78.0,59.0,0.06,0.06,0.13,0.06,0.13,0.07,0.05,0.12,0.07,0.12,Matches
José Callejón,es ESP,FW,34.0,30,16,1298.0,14.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,2.4,4.2,31.0,71.0,105.0,0.07,0.14,0.21,0.07,0.21,0.12,0.17,0.29,0.12,0.29,Matches
Riccardo Sottil,it ITA,FW,22.0,24,14,1239.0,13.8,3.0,2.0,5.0,3.0,0.0,0.0,4.0,1.0,2.5,2.5,2.5,5.0,81.0,39.0,126.0,0.22,0.15,0.36,0.22,0.36,0.18,0.18,0.36,0.18,0.36,Matches
Riccardo Saponara,it ITA,FW,29.0,29,13,1284.0,14.3,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.2,2.2,3.2,5.4,84.0,93.0,123.0,0.21,0.21,0.42,0.21,0.42,0.15,0.23,0.38,0.15,0.38,Matches
Youssef Maleh,ma MAR,MF,22.0,28,11,1019.0,11.3,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,2.3,2.3,1.8,4.1,12.0,43.0,74.0,0.18,0.18,0.35,0.18,0.35,0.2,0.16,0.36,0.2,0.36,Matches
Krzysztof Piątek,pl POL,FW,26.0,14,9,733.0,8.1,3.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3.6,2.8,0.9,3.7,7.0,14.0,33.0,0.37,0.0,0.37,0.37,0.37,0.44,0.11,0.55,0.34,0.45,Matches
Sofyan Amrabat,ma MAR,MF,24.0,23,8,944.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.1,0.1,0.2,0.4,13.0,63.0,3.0,0.1,0.0,0.1,0.1,0.1,0.01,0.02,0.04,0.01,0.04,Matches
Arthur Cabral,br BRA,FW,23.0,14,8,749.0,8.3,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,4.2,4.2,0.4,4.6,8.0,10.0,27.0,0.24,0.24,0.48,0.24,0.48,0.5,0.04,0.55,0.5,0.55,Matches
Jonathan Ikone,fr FRA,FW,23.0,17,7,649.0,7.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,1.6,3.2,13.0,27.0,57.0,0.14,0.14,0.28,0.14,0.28,0.23,0.22,0.45,0.23,0.45,Matches
Bartłomiej Drągowski,pl POL,GK,23.0,7,7,556.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Erick Pulgar,cl CHI,MF,27.0,6,4,341.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.6,0.7,2.0,16.0,1.0,0.0,0.26,0.26,0.0,0.26,0.03,0.17,0.2,0.03,0.2,Matches
Matija Nastasić,rs SRB,DF,28.0,5,2,219.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.06,0.04,0.06,Matches
Aleksa Terzić,rs SRB,DF,21.0,14,1,274.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,10.0,13.0,23.0,0.0,0.33,0.33,0.0,0.33,0.0,0.14,0.14,0.0,0.14,Matches
Marco Benassi,it ITA,"DF,MF",26.0,6,1,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,3.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,Matches
