Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Samir Handanović,si SVN,GK,37.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolò Barella,it ITA,MF,24.0,36,36,2913.0,32.4,3.0,11.0,14.0,3.0,0.0,0.0,9.0,0.0,4.7,4.7,8.9,13.6,114.0,231.0,204.0,0.09,0.34,0.43,0.09,0.43,0.14,0.27,0.42,0.14,0.42,Matches
Milan Škriniar,sk SVK,DF,26.0,35,35,3150.0,35.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.2,3.2,0.5,3.7,34.0,100.0,31.0,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,Matches
Marcelo Brozović,hr CRO,MF,28.0,35,35,2937.0,32.6,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,1.9,3.1,51.0,263.0,36.0,0.06,0.03,0.09,0.06,0.09,0.04,0.06,0.1,0.04,0.1,Matches
Ivan Perišić,hr CRO,DF,32.0,35,35,2821.0,31.3,8.0,6.0,14.0,7.0,1.0,1.0,4.0,0.0,4.3,3.5,7.7,11.2,135.0,126.0,242.0,0.26,0.19,0.45,0.22,0.41,0.14,0.25,0.38,0.11,0.36,Matches
Hakan Çalhanoğlu,tr TUR,MF,27.0,34,33,2480.0,27.6,7.0,12.0,19.0,4.0,3.0,3.0,11.0,0.0,5.9,3.5,8.7,12.2,75.0,184.0,126.0,0.25,0.44,0.69,0.15,0.58,0.22,0.32,0.53,0.13,0.44,Matches
Alessandro Bastoni,it ITA,DF,22.0,31,29,2311.0,25.7,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,2.0,2.3,30.0,132.0,34.0,0.04,0.08,0.12,0.04,0.12,0.01,0.08,0.09,0.01,0.09,Matches
Stefan de Vrij,nl NED,DF,29.0,30,28,2410.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.6,2.6,0.0,2.6,15.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Lautaro Martínez,ar ARG,FW,23.0,35,28,2282.0,25.4,21.0,3.0,24.0,18.0,3.0,6.0,6.0,0.0,20.9,16.7,3.2,19.9,34.0,48.0,149.0,0.83,0.12,0.95,0.71,0.83,0.83,0.13,0.95,0.66,0.79,Matches
Edin Džeko,ba BIH,FW,35.0,36,27,2469.0,27.4,13.0,6.0,19.0,13.0,0.0,0.0,2.0,0.0,14.8,14.8,3.9,18.7,47.0,107.0,207.0,0.47,0.22,0.69,0.47,0.69,0.54,0.14,0.68,0.54,0.68,Matches
Denzel Dumfries,nl NED,DF,25.0,33,21,2028.0,22.5,5.0,4.0,9.0,5.0,0.0,0.0,3.0,0.0,5.2,5.2,4.4,9.6,55.0,58.0,204.0,0.22,0.18,0.4,0.22,0.4,0.23,0.19,0.43,0.23,0.43,Matches
Matteo Darmian,it ITA,DF,31.0,25,18,1507.0,16.7,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.7,0.7,2.0,2.7,25.0,51.0,96.0,0.12,0.06,0.18,0.12,0.18,0.04,0.12,0.16,0.04,0.16,Matches
Federico Dimarco,it ITA,DF,23.0,32,13,1430.0,15.9,2.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,3.5,2.7,5.2,7.9,54.0,94.0,116.0,0.13,0.19,0.31,0.13,0.31,0.22,0.33,0.55,0.17,0.5,Matches
Joaquín Correa,ar ARG,FW,26.0,26,12,1025.0,11.4,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,4.6,4.6,2.2,6.8,41.0,38.0,93.0,0.53,0.09,0.61,0.53,0.61,0.4,0.19,0.6,0.4,0.6,Matches
Danilo D'Ambrosio,it ITA,DF,32.0,20,9,1000.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.1,2.2,8.0,47.0,31.0,0.09,0.09,0.18,0.09,0.18,0.18,0.01,0.19,0.18,0.19,Matches
Alexis Sánchez,cl CHI,FW,32.0,27,7,881.0,9.8,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,4.3,4.3,2.0,6.3,22.0,76.0,77.0,0.51,0.2,0.72,0.51,0.72,0.44,0.2,0.64,0.44,0.64,Matches
Roberto Gagliardini,it ITA,MF,27.0,18,6,649.0,7.2,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.9,0.9,1.5,2.4,8.0,33.0,31.0,0.28,0.28,0.55,0.28,0.55,0.13,0.21,0.34,0.13,0.34,Matches
Andrea Ranocchia,it ITA,DF,33.0,6,3,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Arturo Vidal,cl CHI,MF,34.0,28,2,741.0,8.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,1.6,3.5,11.0,53.0,35.0,0.12,0.12,0.24,0.12,0.24,0.24,0.19,0.43,0.24,0.43,Matches
Matías Vecino,uy URU,MF,29.0,17,2,377.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.4,1.4,0.9,2.3,10.0,29.0,14.0,0.24,0.0,0.24,0.24,0.24,0.32,0.22,0.54,0.32,0.54,Matches
Stefano Sensi,it ITA,"MF,FW",25.0,9,1,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,7.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.21,0.16,0.37,0.21,0.37,Matches
Ionuț Radu,ro ROU,GK,24.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Robin Gosens,de GER,DF,27.0,7,0,169.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,4.0,7.0,19.0,0.0,0.53,0.53,0.0,0.53,0.12,0.34,0.45,0.12,0.45,Matches
Aleksandar Kolarov,rs SRB,DF,35.0,3,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Martin Satriano,uy URU,"FW,MF",20.0,4,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Felipe Caicedo,ec ECU,"FW,DF",32.0,3,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,0.44,Matches
Mattia Zanotti,it ITA,DF,18.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.66,Matches
Lucien Agoume,fr FRA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Franco Carboni,it ITA,"DF,MF",18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cesare Casadei,it ITA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alex Cordaz,it ITA,GK,38.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fabio Cortinovis,it ITA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dennis Curatolo,it ITA,FW,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Pinamonti,it ITA,FW,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
William Rovida,it ITA,GK,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattia Sangalli,it ITA,MF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
