Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Sergej Milinković-Savić,rs SRB,MF,26.0,37,36,3100.0,34.4,11.0,10.0,21.0,11.0,0.0,0.0,6.0,1.0,7.3,7.3,6.1,13.5,67.0,215.0,191.0,0.32,0.29,0.61,0.32,0.61,0.21,0.18,0.39,0.21,0.39,Matches
Felipe Anderson,br BRA,FW,28.0,38,33,2888.0,32.1,6.0,8.0,14.0,6.0,0.0,0.0,2.0,0.0,6.2,6.2,6.5,12.7,142.0,123.0,264.0,0.19,0.25,0.44,0.19,0.44,0.19,0.2,0.4,0.19,0.4,Matches
Ciro Immobile,it ITA,FW,31.0,31,31,2711.0,30.1,27.0,2.0,29.0,20.0,7.0,9.0,4.0,0.0,21.5,14.3,2.8,17.2,52.0,54.0,204.0,0.9,0.07,0.96,0.66,0.73,0.71,0.09,0.81,0.48,0.57,Matches
Adam Marušić,me MNE,DF,28.0,33,30,2721.0,30.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.2,0.2,0.5,0.7,52.0,111.0,73.0,0.03,0.0,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.02,Matches
Francesco Acerbi,it ITA,DF,33.0,30,29,2536.0,28.2,4.0,0.0,4.0,4.0,0.0,0.0,2.0,1.0,2.4,2.4,0.5,2.9,31.0,119.0,10.0,0.14,0.0,0.14,0.14,0.14,0.09,0.02,0.1,0.09,0.1,Matches
Luiz Felipe,it ITA,DF,24.0,31,28,2491.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.3,0.3,0.2,0.5,12.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Luis Alberto,es ESP,MF,28.0,34,27,2353.0,26.1,5.0,9.0,14.0,5.0,0.0,0.0,5.0,0.0,3.3,3.3,7.8,11.1,84.0,223.0,89.0,0.19,0.34,0.54,0.19,0.54,0.12,0.3,0.42,0.12,0.42,Matches
Pedro,es ESP,FW,34.0,32,25,2033.0,22.6,9.0,4.0,13.0,9.0,0.0,0.0,5.0,0.0,4.7,4.7,3.3,8.0,84.0,102.0,147.0,0.4,0.18,0.58,0.4,0.58,0.21,0.14,0.35,0.21,0.35,Matches
Elseid Hysaj,al ALB,DF,27.0,29,24,2027.0,22.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.7,1.5,26.0,96.0,69.0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,Matches
Thomas Strakosha,al ALB,GK,26.0,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mattia Zaccagni,it ITA,FW,26.0,29,21,1876.0,20.8,4.0,5.0,9.0,4.0,0.0,0.0,6.0,0.0,3.2,3.2,2.9,6.1,85.0,55.0,211.0,0.19,0.24,0.43,0.19,0.43,0.15,0.14,0.29,0.15,0.29,Matches
Danilo Cataldi,it ITA,MF,26.0,32,19,1707.0,19.0,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,0.4,0.4,3.2,3.6,9.0,97.0,16.0,0.05,0.11,0.16,0.05,0.16,0.02,0.17,0.19,0.02,0.19,Matches
Lucas Leiva,br BRA,MF,34.0,35,19,1697.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.1,0.1,0.3,0.4,10.0,84.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches
Patric,es ESP,DF,28.0,24,19,1649.0,18.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,1.0,0.9,0.9,0.7,1.6,5.0,52.0,6.0,0.05,0.05,0.11,0.05,0.11,0.05,0.04,0.09,0.05,0.09,Matches
Manuel Lazzari,it ITA,DF,27.0,31,16,1665.0,18.5,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,0.8,0.8,2.1,2.8,80.0,50.0,107.0,0.16,0.16,0.32,0.16,0.32,0.04,0.11,0.15,0.04,0.15,Matches
Pepe Reina,es ESP,GK,38.0,15,15,1350.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.03,0.03,0.0,0.03,Matches
Toma Bašić,hr CRO,MF,24.0,29,9,982.0,10.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.6,1.6,0.9,2.5,18.0,26.0,44.0,0.0,0.18,0.18,0.0,0.18,0.15,0.08,0.23,0.15,0.23,Matches
Ștefan Radu,ro ROU,DF,34.0,10,6,556.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,6.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,28.0,10,4,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Jovane Cabral,cv CPV,FW,23.0,3,2,190.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.1,0.0,5.0,13.0,0.47,0.0,0.47,0.47,0.47,0.49,0.02,0.51,0.49,0.51,Matches
Vedat Muriqi,xk KVX,FW,27.0,11,1,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,1.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Raúl Moro,es ESP,FW,18.0,11,1,201.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,13.0,5.0,17.0,0.0,0.45,0.45,0.0,0.45,0.2,0.09,0.3,0.2,0.3,Matches
Luka Romero,ar ARG,FW,16.0,8,0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches
