Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Norbert Gyömbér,sk SVK,DF,29.0,31,30,2563.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.6,0.6,0.6,1.2,5.0,66.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Lassana Coulibaly,ml MLI,MF,25.0,31,29,2332.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.3,1.2,39.0,82.0,38.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Luca Ranieri,it ITA,DF,22.0,27,25,2103.0,23.4,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.6,0.6,1.0,1.6,37.0,76.0,69.0,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.07,0.03,0.07,Matches
Milan Đurić,ba BIH,FW,31.0,33,23,2165.0,24.1,5.0,4.0,9.0,4.0,1.0,1.0,6.0,0.0,5.3,4.5,3.3,7.7,7.0,35.0,100.0,0.21,0.17,0.37,0.17,0.33,0.22,0.14,0.35,0.19,0.32,Matches
Vid Belec,si SVN,GK,31.0,23,21,1938.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Bonazzoli,it ITA,"FW,MF",24.0,32,19,1866.0,20.7,10.0,0.0,10.0,8.0,2.0,2.0,6.0,0.0,7.5,5.9,1.1,7.0,25.0,46.0,85.0,0.48,0.0,0.48,0.39,0.39,0.36,0.05,0.41,0.28,0.34,Matches
Federico Fazio,ar ARG,DF,34.0,16,16,1434.0,15.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.5,1.5,0.4,1.8,19.0,40.0,6.0,0.06,0.0,0.06,0.06,0.06,0.09,0.02,0.12,0.09,0.12,Matches
Franck Ribéry,fr FRA,"MF,FW",38.0,23,16,1421.0,15.8,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.9,0.9,2.9,3.8,65.0,71.0,95.0,0.0,0.13,0.13,0.0,0.13,0.06,0.18,0.24,0.06,0.24,Matches
Luigi Sepe,it ITA,GK,30.0,16,16,1392.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Grigoris Kastanos,cy CYP,"MF,FW",23.0,27,16,1348.0,15.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,1.2,1.2,1.5,2.7,27.0,62.0,54.0,0.07,0.07,0.13,0.07,0.13,0.08,0.1,0.18,0.08,0.18,Matches
Pasquale Mazzocchi,it ITA,DF,26.0,15,15,1269.0,14.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.6,1.8,43.0,40.0,46.0,0.0,0.14,0.14,0.0,0.14,0.01,0.12,0.13,0.01,0.13,Matches
