Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dimitris Nikolaou,gr GRE,DF,22.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.1,0.1,0.2,0.3,33.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Emmanuel Gyasi,gh GHA,"FW,MF",27.0,36,35,3035.0,33.7,6.0,0.0,6.0,6.0,0.0,0.0,10.0,0.0,5.6,5.6,1.4,7.0,44.0,42.0,145.0,0.18,0.0,0.18,0.18,0.18,0.17,0.04,0.21,0.17,0.21,Matches
Giulio Maggiore,it ITA,MF,23.0,35,33,2819.0,31.3,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,4.0,4.0,2.4,6.4,39.0,120.0,68.0,0.06,0.1,0.16,0.06,0.16,0.13,0.08,0.21,0.13,0.2,Matches
Ivan Provedel,it ITA,GK,27.0,31,31,2761.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kelvin Amian,fr FRA,DF,23.0,32,31,2646.0,29.4,1.0,1.0,2.0,1.0,0.0,0.0,9.0,2.0,2.6,2.6,1.3,3.9,38.0,64.0,50.0,0.03,0.03,0.07,0.03,0.07,0.09,0.04,0.13,0.09,0.13,Matches
Martin Erlic,hr CRO,DF,23.0,30,30,2576.0,28.6,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,3.0,3.0,0.4,3.4,6.0,32.0,3.0,0.07,0.0,0.07,0.07,0.07,0.1,0.01,0.12,0.1,0.12,Matches
Simone Bastoni,it ITA,"MF,DF",24.0,31,26,2288.0,25.4,3.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0,1.5,1.5,4.4,5.9,50.0,117.0,89.0,0.12,0.12,0.24,0.12,0.24,0.06,0.17,0.23,0.06,0.23,Matches
Arkadiusz Reca,pl POL,DF,26.0,25,22,1772.0,19.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,2.1,2.5,51.0,57.0,41.0,0.0,0.1,0.1,0.0,0.1,0.02,0.11,0.13,0.02,0.13,Matches
Jakub Kiwior,pl POL,MF,21.0,22,21,1964.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.9,1.2,5.0,48.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Daniele Verde,it ITA,"FW,MF",25.0,33,21,1957.0,21.7,8.0,6.0,14.0,7.0,1.0,2.0,2.0,0.0,5.4,3.9,4.9,8.8,51.0,71.0,98.0,0.37,0.28,0.64,0.32,0.6,0.25,0.23,0.48,0.18,0.4,Matches
Rey Manaj,al ALB,FW,24.0,30,19,1768.0,19.6,5.0,0.0,5.0,3.0,2.0,3.0,9.0,0.0,7.5,5.1,1.2,6.3,32.0,29.0,93.0,0.25,0.0,0.25,0.15,0.15,0.38,0.06,0.44,0.26,0.32,Matches
Viktor Kovalenko,ua UKR,MF,25.0,26,16,1325.0,14.7,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,1.4,1.7,15.0,60.0,35.0,0.07,0.2,0.27,0.07,0.27,0.02,0.1,0.12,0.02,0.12,Matches
Salvador Ferrer,es ESP,"DF,MF",23.0,27,14,1495.0,16.6,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,24.0,67.0,52.0,0.0,0.18,0.18,0.0,0.18,0.01,0.08,0.09,0.01,0.09,Matches
Petko Hristov,bg BUL,DF,22.0,17,13,1248.0,13.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.7,3.0,25.0,2.0,0.07,0.07,0.14,0.07,0.14,0.01,0.04,0.05,0.01,0.05,Matches
Jacopo Sala,it ITA,MF,29.0,18,13,880.0,9.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,0.4,0.5,7.0,41.0,9.0,0.1,0.0,0.1,0.1,0.1,0.01,0.04,0.05,0.01,0.05,Matches
Kevin Agudelo,co COL,"MF,FW",22.0,23,12,1237.0,13.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,2.6,2.6,0.9,3.5,41.0,46.0,56.0,0.22,0.07,0.29,0.22,0.29,0.19,0.06,0.25,0.19,0.25,Matches
M'Bala Nzola,ao ANG,FW,24.0,21,10,1068.0,11.9,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.4,2.4,1.4,3.8,16.0,13.0,63.0,0.17,0.08,0.25,0.17,0.25,0.2,0.12,0.32,0.2,0.32,Matches
Janis Antiste,fr FRA,FW,18.0,18,9,796.0,8.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,10.0,7.0,60.0,0.11,0.0,0.11,0.11,0.11,0.16,0.02,0.18,0.16,0.18,Matches
Jeroen Zoet,nl NED,GK,30.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dávid Strelec,sk SVK,"FW,MF",20.0,10,7,502.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9,1.3,13.0,15.0,21.0,0.18,0.0,0.18,0.18,0.18,0.08,0.15,0.24,0.08,0.24,Matches
Eddie Salcedo,it ITA,"MF,FW",19.0,12,5,429.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.2,1.7,8.0,17.0,29.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.35,0.31,0.35,Matches
Ebrima Colley,gm GAM,"FW,MF",21.0,11,3,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.5,2.4,17.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2,0.34,0.54,0.2,0.54,Matches
Mehdi Bourabia,ma MAR,MF,29.0,8,2,282.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,8.0,1.0,0.32,0.0,0.32,0.32,0.32,0.01,0.01,0.02,0.01,0.02,Matches
Suf Podgoreanu,il ISR,FW,19.0,5,1,113.0,1.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,2.0,13.0,0.0,0.8,0.8,0.0,0.8,0.02,0.02,0.04,0.02,0.04,Matches
Luca Vignali,it ITA,"DF,MF",25.0,2,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuel Mráz,sk SVK,FW,24.0,2,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Aurélien Nguiamba,fr FRA,MF,22.0,3,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Aimar Sher,iq IRQ,MF,18.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicolò Bertola,it ITA,"MF,DF",18.0,2,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
