Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pietro Ceccaroni,it ITA,DF,25.0,35,35,3122.0,34.7,2.0,1.0,3.0,2.0,0.0,0.0,7.0,1.0,2.3,2.3,0.8,3.1,37.0,87.0,12.0,0.06,0.03,0.09,0.06,0.09,0.07,0.02,0.09,0.07,0.09,Matches
Mattia Caldara,it ITA,DF,27.0,31,30,2704.0,30.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.8,1.8,0.1,1.9,15.0,63.0,5.0,0.03,0.0,0.03,0.03,0.03,0.06,0.0,0.06,0.06,0.06,Matches
Ethan Ampadu,wls WAL,"MF,DF",20.0,29,26,2282.0,25.4,0.0,3.0,3.0,0.0,0.0,0.0,13.0,2.0,0.3,0.3,1.6,1.9,26.0,112.0,23.0,0.0,0.12,0.12,0.0,0.12,0.01,0.06,0.08,0.01,0.08,Matches
Mattia Aramu,it ITA,"MF,FW",26.0,32,25,2100.0,23.3,7.0,5.0,12.0,4.0,3.0,4.0,6.0,0.0,6.8,3.6,4.5,8.1,39.0,79.0,117.0,0.3,0.21,0.51,0.17,0.39,0.29,0.19,0.48,0.16,0.35,Matches
Ridgeciano Haps,sr SUR,DF,28.0,25,24,2056.0,22.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,0.6,1.0,30.0,59.0,69.0,0.04,0.04,0.09,0.04,0.09,0.02,0.03,0.04,0.02,0.04,Matches
David Okereke,ng NGA,"FW,MF",23.0,32,24,2053.0,22.8,7.0,0.0,7.0,7.0,0.0,0.0,5.0,1.0,5.0,5.0,1.0,6.0,60.0,43.0,137.0,0.31,0.0,0.31,0.31,0.31,0.22,0.05,0.26,0.22,0.26,Matches
Thomas Henry,fr FRA,FW,26.0,33,23,2115.0,23.5,9.0,2.0,11.0,9.0,0.0,0.0,6.0,1.0,6.8,6.8,3.8,10.6,20.0,31.0,99.0,0.38,0.09,0.47,0.38,0.47,0.29,0.16,0.45,0.29,0.45,Matches
Gianluca Busio,us USA,MF,19.0,29,23,1950.0,21.7,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.9,0.9,1.4,2.4,26.0,79.0,44.0,0.05,0.05,0.09,0.05,0.09,0.04,0.07,0.11,0.04,0.11,Matches
Domen Črnigoj,si SVN,MF,25.0,34,22,1881.0,20.9,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,2.2,2.2,0.8,3.0,34.0,69.0,66.0,0.14,0.05,0.19,0.14,0.19,0.11,0.04,0.15,0.11,0.15,Matches
Dennis Johnsen,no NOR,"FW,MF",23.0,26,17,1445.0,16.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.3,2.3,2.8,5.1,36.0,31.0,140.0,0.06,0.12,0.19,0.06,0.19,0.14,0.17,0.31,0.14,0.31,Matches
Niki Mäenpää,fi FIN,GK,36.0,17,16,1485.0,16.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.02,0.02,0.0,0.02,Matches
Sergio Romero,ar ARG,GK,34.0,16,16,1440.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pasquale Mazzocchi,it ITA,DF,26.0,18,15,1243.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.4,0.8,44.0,33.0,43.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Antonio Vacca,it ITA,MF,31.0,21,15,1064.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.3,9.0,56.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Sofian Kiyine,ma MAR,"MF,FW",23.0,26,14,1239.0,13.8,1.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,1.5,0.6,2.0,2.6,48.0,62.0,44.0,0.07,0.0,0.07,0.07,0.07,0.11,0.15,0.26,0.04,0.19,Matches
Michael Svoboda,at AUT,DF,22.0,18,13,1236.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.1,1.1,0.0,1.1,11.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Mickaël Cuisance,fr FRA,MF,21.0,13,13,918.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,1.3,1.9,10.0,37.0,22.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.18,0.06,0.18,Matches
Tyronne Ebuehi,ng NGA,DF,25.0,19,12,1138.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.4,1.0,29.0,29.0,52.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
Aleš Matějů,cz CZE,DF,25.0,9,9,727.0,8.1,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.1,1.4,9.0,20.0,37.0,0.0,0.12,0.12,0.0,0.12,0.03,0.14,0.17,0.03,0.17,Matches
Tanner Tessmann,us USA,MF,19.0,20,6,680.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.1,0.8,12.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.1,0.09,0.1,Matches
Cristian Molinaro,it ITA,DF,38.0,8,6,548.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,13.0,34.0,16.0,0.0,0.16,0.16,0.0,0.16,0.0,0.08,0.08,0.0,0.08,Matches
Luca Lezzerini,it ITA,GK,26.0,6,6,495.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luca Fiordilino,it ITA,MF,25.0,15,5,661.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,3.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
Dor Peretz,il ISR,MF,26.0,18,4,585.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.1,0.9,3.0,18.0,7.0,0.0,0.15,0.15,0.0,0.15,0.13,0.02,0.15,0.13,0.15,Matches
Francesco Forte,it ITA,FW,28.0,12,4,422.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.6,1.6,3.0,7.0,16.0,0.21,0.0,0.21,0.21,0.21,0.23,0.14,0.37,0.23,0.37,Matches
Marco Modolo,it ITA,DF,32.0,6,4,392.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Nani,pt POR,"MF,FW",34.0,10,3,287.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.7,6.0,12.0,22.0,0.0,0.31,0.31,0.0,0.31,0.02,0.2,0.23,0.02,0.23,Matches
Daan Heymans,be BEL,"MF,FW",22.0,7,2,256.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,0.3,2.0,9.0,13.0,0.0,0.35,0.35,0.0,0.35,0.04,0.08,0.12,0.04,0.12,Matches
Maximilian Ullmann,at AUT,DF,25.0,5,2,246.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Schnegg,at AUT,DF,22.0,4,2,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Jean-Pierre Nsame,cm CMR,FW,28.0,11,1,245.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,1.3,4.0,8.0,18.0,0.0,0.37,0.37,0.0,0.37,0.26,0.24,0.5,0.26,0.5,Matches
