Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marten de Roon,nl NED,MF,31.0,35,34,2964.0,32.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,1.1,1.1,1.8,2.9,18.0,171.0,23.0,0.09,0.03,0.12,0.09,0.12,0.03,0.06,0.09,0.03,0.09,Matches
Teun Koopmeiners,nl NED,MF,24.0,33,32,2858.0,31.8,10.0,4.0,14.0,8.0,2.0,4.0,7.0,0.0,7.6,4.3,6.4,10.7,60.0,186.0,106.0,0.31,0.13,0.44,0.25,0.38,0.24,0.2,0.44,0.14,0.34,Matches
Rafael Tolói,it ITA,DF,31.0,32,32,2784.0,30.9,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,2.8,2.8,1.2,4.0,21.0,148.0,29.0,0.06,0.03,0.1,0.06,0.1,0.09,0.04,0.13,0.09,0.13,Matches
Giorgio Scalvini,it ITA,DF,18.0,32,29,2335.0,25.9,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,2.0,2.0,0.4,2.4,22.0,158.0,34.0,0.08,0.08,0.15,0.08,0.15,0.08,0.01,0.09,0.08,0.09,Matches
Éderson,br BRA,MF,23.0,35,25,2215.0,24.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.3,4.2,37.0,93.0,62.0,0.04,0.04,0.08,0.04,0.08,0.08,0.09,0.17,0.08,0.17,Matches
Joakim Mæhle,dk DEN,"DF,MF",25.0,34,25,2209.0,24.5,3.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0,3.0,3.0,2.9,5.9,81.0,137.0,186.0,0.12,0.12,0.24,0.12,0.24,0.12,0.12,0.24,0.12,0.24,Matches
Juan Musso,ar ARG,GK,28.0,24,24,2077.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mario Pašalić,hr CRO,"MF,FW",27.0,32,24,1769.0,19.7,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,5.7,5.7,2.2,7.9,24.0,82.0,83.0,0.25,0.1,0.36,0.25,0.36,0.29,0.11,0.4,0.29,0.4,Matches
Rasmus Højlund,dk DEN,FW,19.0,32,20,1834.0,20.4,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,9.5,9.5,2.4,11.8,40.0,37.0,224.0,0.44,0.1,0.54,0.44,0.54,0.47,0.12,0.58,0.47,0.58,Matches
Berat Djimsiti,al ALB,DF,29.0,24,20,1797.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,0.8,7.0,45.0,9.0,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.04,0.03,0.04,Matches
Ademola Lookman,ng NGA,"FW,MF",24.0,31,20,1729.0,19.2,13.0,6.0,19.0,10.0,3.0,3.0,3.0,0.0,9.1,6.7,6.6,13.3,73.0,79.0,185.0,0.68,0.31,0.99,0.52,0.83,0.47,0.34,0.82,0.35,0.69,Matches
Davide Zappacosta,it ITA,DF,30.0,21,18,1471.0,16.3,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,1.5,1.5,1.6,3.2,48.0,55.0,101.0,0.24,0.12,0.37,0.24,0.37,0.09,0.1,0.2,0.09,0.2,Matches
Hans Hateboer,nl NED,DF,28.0,17,17,1397.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,1.5,2.8,16.0,55.0,73.0,0.06,0.06,0.13,0.06,0.13,0.09,0.1,0.18,0.09,0.18,Matches
Duván Zapata,co COL,FW,31.0,25,16,1390.0,15.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,3.9,3.9,1.1,5.1,35.0,40.0,140.0,0.13,0.13,0.26,0.13,0.26,0.25,0.07,0.33,0.25,0.33,Matches
Merih Demiral,tr TUR,DF,24.0,28,14,1536.0,17.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.5,1.2,3.0,26.0,4.0,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,Matches
Marco Sportiello,it ITA,GK,30.0,15,14,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luis Muriel,co COL,"FW,MF",31.0,29,10,1073.0,11.9,3.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,2.8,2.0,3.5,5.6,53.0,71.0,124.0,0.25,0.25,0.5,0.17,0.42,0.24,0.3,0.53,0.17,0.47,Matches
Caleb Okoli,it ITA,DF,21.0,17,9,960.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,4.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Matteo Ruggeri,it ITA,"DF,MF",20.0,15,8,829.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.9,1.5,22.0,55.0,65.0,0.0,0.11,0.11,0.0,0.11,0.06,0.1,0.16,0.06,0.16,Matches
José Luis Palomino,ar ARG,DF,32.0,15,8,759.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.3,0.8,3.0,29.0,3.0,0.12,0.0,0.12,0.12,0.12,0.06,0.03,0.1,0.06,0.1,Matches
Brandon Soppy,fr FRA,DF,20.0,15,8,643.0,7.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.6,2.0,23.0,33.0,35.0,0.0,0.42,0.42,0.0,0.42,0.05,0.23,0.27,0.05,0.27,Matches
Jeremie Boga,ci CIV,"MF,FW",25.0,23,5,782.0,8.7,2.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,2.8,4.7,64.0,53.0,78.0,0.23,0.58,0.81,0.23,0.81,0.22,0.33,0.54,0.22,0.54,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",29.0,15,5,553.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,2.0,2.6,19.0,50.0,36.0,0.16,0.33,0.49,0.16,0.49,0.1,0.33,0.43,0.1,0.43,Matches
Nadir Zortea,it ITA,"DF,MF",23.0,9,1,222.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,11.0,9.0,13.0,0.41,0.0,0.41,0.41,0.41,0.05,0.23,0.28,0.05,0.28,Matches
