Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Emanuele Valeri,it ITA,DF,23.0,37,31,2785.0,30.9,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,2.2,2.2,4.6,6.8,111.0,90.0,158.0,0.06,0.1,0.16,0.06,0.16,0.07,0.15,0.22,0.07,0.22,Matches
Charles Pickel,cd COD,MF,25.0,33,30,2483.0,27.6,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,1.6,1.6,1.2,2.8,18.0,104.0,61.0,0.04,0.0,0.04,0.04,0.04,0.06,0.04,0.1,0.06,0.1,Matches
Soualiho Meïté,fr FRA,MF,28.0,31,28,2366.0,26.3,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.7,1.2,26.0,82.0,22.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.04,0.02,0.04,Matches
Marco Carnesecchi,it ITA,GK,22.0,27,27,2430.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.01,0.01,0.0,0.01,Matches
Leonardo Sernicola,it ITA,DF,25.0,32,27,2317.0,25.7,2.0,2.0,4.0,2.0,0.0,0.0,11.0,0.0,1.3,1.3,2.3,3.7,60.0,62.0,95.0,0.08,0.08,0.16,0.08,0.16,0.05,0.09,0.14,0.05,0.14,Matches
David Okereke,ng NGA,"FW,MF",24.0,33,25,2266.0,25.2,7.0,0.0,7.0,6.0,1.0,1.0,4.0,0.0,5.9,5.2,1.1,6.3,56.0,70.0,144.0,0.28,0.0,0.28,0.24,0.24,0.24,0.04,0.28,0.2,0.25,Matches
Matteo Bianchetti,it ITA,DF,29.0,25,22,2132.0,23.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.5,1.2,6.0,47.0,4.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05,Matches
Luka Lochoshvili,ge GEO,DF,24.0,25,22,1839.0,20.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.1,1.7,17.0,70.0,5.0,0.05,0.1,0.15,0.05,0.15,0.03,0.05,0.08,0.03,0.08,Matches
Johan Vásquez,mx MEX,DF,23.0,25,19,1813.0,20.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.3,1.0,18.0,48.0,12.0,0.05,0.0,0.05,0.05,0.05,0.04,0.02,0.05,0.04,0.05,Matches
