Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Danilo,br BRA,DF,31.0,37,35,3184.0,35.4,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,2.8,2.8,2.4,5.2,39.0,176.0,43.0,0.08,0.08,0.17,0.08,0.17,0.08,0.07,0.15,0.08,0.15,Matches
Filip Kostić,rs SRB,"DF,FW",29.0,37,33,2564.0,28.5,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,2.4,2.4,7.1,9.4,101.0,78.0,230.0,0.11,0.28,0.39,0.11,0.39,0.08,0.25,0.33,0.08,0.33,Matches
Adrien Rabiot,fr FRA,MF,27.0,32,31,2748.0,30.5,8.0,4.0,12.0,8.0,0.0,0.0,9.0,0.0,6.2,5.8,2.3,8.2,72.0,133.0,109.0,0.26,0.13,0.39,0.26,0.39,0.2,0.08,0.28,0.19,0.27,Matches
Gleison Bremer,br BRA,DF,25.0,30,30,2634.0,29.3,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,4.9,4.9,1.7,6.6,8.0,54.0,4.0,0.14,0.03,0.17,0.14,0.17,0.17,0.06,0.23,0.17,0.23,Matches
Manuel Locatelli,it ITA,MF,24.0,32,29,2446.0,27.2,0.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.5,1.5,1.8,3.2,25.0,134.0,37.0,0.0,0.07,0.07,0.0,0.07,0.05,0.07,0.12,0.05,0.12,Matches
Wojciech Szczęsny,pl POL,GK,32.0,28,28,2472.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Cuadrado,co COL,"DF,FW",34.0,31,24,2078.0,23.1,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,1.4,1.4,2.7,4.2,48.0,92.0,125.0,0.04,0.13,0.17,0.04,0.17,0.06,0.12,0.18,0.06,0.18,Matches
Dušan Vlahović,rs SRB,FW,22.0,27,22,1925.0,21.4,10.0,2.0,12.0,8.0,2.0,3.0,1.0,0.0,9.7,7.3,2.4,9.8,22.0,40.0,117.0,0.47,0.09,0.56,0.37,0.47,0.45,0.11,0.57,0.34,0.46,Matches
Alex Sandro,br BRA,DF,31.0,25,21,1787.0,19.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,0.9,1.1,51.0,97.0,25.0,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.05,0.01,0.05,Matches
Arkadiusz Milik,pl POL,FW,28.0,27,17,1586.0,17.6,7.0,1.0,8.0,7.0,0.0,1.0,3.0,1.0,6.5,5.7,2.1,7.7,10.0,34.0,85.0,0.4,0.06,0.45,0.4,0.45,0.37,0.12,0.49,0.32,0.44,Matches
Nicolò Fagioli,it ITA,MF,21.0,26,17,1520.0,16.9,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,1.5,1.5,1.3,2.8,27.0,56.0,56.0,0.18,0.18,0.36,0.18,0.36,0.09,0.08,0.17,0.09,0.17,Matches
Federico Gatti,it ITA,DF,24.0,18,16,1448.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.5,2.0,18.0,56.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.13,0.03,0.13,Matches
Ángel Di María,ar ARG,"FW,MF",34.0,26,15,1363.0,15.1,4.0,4.0,8.0,3.0,1.0,1.0,1.0,1.0,3.1,2.3,4.5,6.7,56.0,96.0,95.0,0.26,0.26,0.53,0.2,0.46,0.2,0.29,0.5,0.15,0.44,Matches
Fabio Miretti,it ITA,"MF,FW",18.0,27,14,1234.0,13.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.4,2.4,1.3,3.8,33.0,60.0,85.0,0.0,0.15,0.15,0.0,0.15,0.18,0.1,0.27,0.18,0.27,Matches
Weston McKennie,us USA,"MF,DF",23.0,15,13,1052.0,11.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.7,1.6,19.0,39.0,54.0,0.09,0.09,0.17,0.09,0.17,0.08,0.06,0.14,0.08,0.14,Matches
Mattia De Sciglio,it ITA,DF,29.0,17,11,1042.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,16.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Moise Kean,it ITA,FW,22.0,28,11,995.0,11.1,6.0,0.0,6.0,6.0,0.0,0.0,5.0,1.0,6.3,6.3,1.1,7.4,30.0,13.0,76.0,0.54,0.0,0.54,0.54,0.54,0.57,0.1,0.67,0.57,0.67,Matches
Mattia Perin,it ITA,GK,29.0,11,10,948.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Bonucci,it ITA,DF,35.0,16,9,879.0,9.8,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.1,0.3,0.2,0.5,2.0,28.0,1.0,0.1,0.0,0.1,0.1,0.1,0.11,0.02,0.13,0.03,0.05,Matches
Leandro Paredes,ar ARG,MF,28.0,25,8,977.0,10.9,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.6,0.6,1.9,2.5,11.0,72.0,11.0,0.09,0.0,0.09,0.09,0.09,0.06,0.18,0.23,0.06,0.23,Matches
Federico Chiesa,it ITA,"DF,MF",24.0,21,6,852.0,9.5,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,2.6,4.1,46.0,34.0,88.0,0.21,0.53,0.74,0.21,0.74,0.15,0.27,0.43,0.15,0.43,Matches
Daniele Rugani,it ITA,DF,28.0,9,6,564.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Matìas Soulé,ar ARG,"MF,FW",19.0,13,4,420.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.8,2.3,12.0,15.0,33.0,0.21,0.0,0.21,0.21,0.21,0.33,0.18,0.5,0.33,0.5,Matches
Enzo Barrenechea,ar ARG,MF,21.0,3,3,158.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Tommaso Barbieri,it ITA,DF,19.0,3,2,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Samuel Iling-Junior,eng ENG,"DF,FW",18.0,12,1,318.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,1.0,11.0,18.0,36.0,0.28,0.28,0.57,0.28,0.57,0.21,0.07,0.28,0.21,0.28,Matches
Denis Zakaria,ch SUI,MF,25.0,2,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paul Pogba,fr FRA,"MF,FW",29.0,6,1,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.6,5.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.27,0.2,0.46,0.27,0.46,Matches
