Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wladimiro Falcone,it ITA,GK,27.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Federico Baschirotto,it ITA,DF,25.0,37,37,3330.0,37.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,1.9,1.9,0.7,2.6,12.0,107.0,12.0,0.08,0.0,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Matches
Valentin Gendrey,fr FRA,DF,22.0,37,35,3101.0,34.5,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,2.9,3.5,47.0,112.0,107.0,0.0,0.06,0.06,0.0,0.06,0.02,0.08,0.1,0.02,0.1,Matches
Morten Hjulmand,dk DEN,MF,23.0,35,34,2962.0,32.9,0.0,4.0,4.0,0.0,0.0,0.0,9.0,1.0,0.6,0.6,2.1,2.7,9.0,159.0,16.0,0.0,0.12,0.12,0.0,0.12,0.02,0.06,0.08,0.02,0.08,Matches
Gabriel Strefezza,br BRA,"FW,MF",25.0,35,30,2442.0,27.1,8.0,4.0,12.0,6.0,2.0,3.0,5.0,0.0,6.2,3.9,4.3,8.2,71.0,107.0,177.0,0.29,0.15,0.44,0.22,0.37,0.23,0.16,0.39,0.14,0.3,Matches
Antonino Gallo,it ITA,DF,22.0,32,28,2486.0,27.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.6,0.6,1.9,2.6,71.0,154.0,65.0,0.0,0.04,0.04,0.0,0.04,0.02,0.07,0.09,0.02,0.09,Matches
Alexis Blin,fr FRA,MF,25.0,35,26,2376.0,26.4,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,2.8,2.8,1.1,3.9,13.0,101.0,32.0,0.04,0.0,0.04,0.04,0.04,0.11,0.04,0.15,0.11,0.15,Matches
Joan Gonzàlez,es ESP,MF,20.0,35,26,2197.0,24.4,1.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,1.5,1.5,1.3,2.8,18.0,71.0,67.0,0.04,0.12,0.16,0.04,0.16,0.06,0.05,0.11,0.06,0.11,Matches
Samuel Umtiti,fr FRA,DF,28.0,25,24,2113.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.8,0.8,0.1,0.9,12.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches
