Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Theo Hernández,fr FRA,DF,24.0,32,32,2771.0,30.8,4.0,3.0,7.0,3.0,1.0,1.0,7.0,0.0,4.1,3.3,3.3,6.6,108.0,128.0,146.0,0.13,0.1,0.23,0.1,0.19,0.13,0.11,0.24,0.11,0.21,Matches
Fikayo Tomori,eng ENG,DF,24.0,33,32,2760.0,30.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,0.8,2.1,26.0,122.0,10.0,0.03,0.03,0.07,0.03,0.07,0.04,0.03,0.07,0.04,0.07,Matches
Sandro Tonali,it ITA,MF,22.0,34,30,2713.0,30.1,2.0,7.0,9.0,2.0,0.0,0.0,7.0,0.0,2.4,2.4,5.7,8.1,61.0,159.0,86.0,0.07,0.23,0.3,0.07,0.3,0.08,0.19,0.27,0.08,0.27,Matches
Rafael Leão,pt POR,"FW,MF",23.0,35,28,2421.0,26.9,15.0,8.0,23.0,15.0,0.0,0.0,7.0,1.0,10.8,10.8,7.0,17.9,136.0,122.0,235.0,0.56,0.3,0.86,0.56,0.86,0.4,0.26,0.66,0.4,0.66,Matches
Brahim Díaz,ma MAR,"MF,FW",22.0,33,27,1925.0,21.4,6.0,7.0,13.0,6.0,0.0,0.0,3.0,0.0,6.0,6.0,5.6,11.5,80.0,121.0,116.0,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.54,0.28,0.54,Matches
Pierre Kalulu,fr FRA,DF,22.0,34,26,2548.0,28.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,1.2,2.8,52.0,138.0,43.0,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.1,0.05,0.1,Matches
Olivier Giroud,fr FRA,FW,35.0,33,25,2139.0,23.8,13.0,5.0,18.0,10.0,3.0,3.0,8.0,1.0,12.7,10.4,4.0,14.4,12.0,36.0,152.0,0.55,0.21,0.76,0.42,0.63,0.53,0.17,0.7,0.44,0.61,Matches
Ismaël Bennacer,dz ALG,MF,24.0,28,24,2007.0,22.3,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,3.3,4.3,30.0,132.0,52.0,0.09,0.09,0.18,0.09,0.18,0.04,0.15,0.19,0.04,0.19,Matches
Mike Maignan,fr FRA,GK,27.0,22,22,1978.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,Matches
