Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Di Gregorio,it ITA,GK,25.0,37,37,3330.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches
Carlos Augusto,br BRA,DF,23.0,35,35,3083.0,34.3,6.0,5.0,11.0,6.0,0.0,0.0,4.0,0.0,4.4,4.4,3.7,8.1,87.0,101.0,151.0,0.18,0.15,0.32,0.18,0.32,0.13,0.11,0.24,0.13,0.24,Matches
Matteo Pessina,it ITA,MF,25.0,35,34,2932.0,32.6,5.0,3.0,8.0,2.0,3.0,3.0,6.0,0.0,5.1,2.8,2.1,4.9,77.0,193.0,88.0,0.15,0.09,0.25,0.06,0.15,0.16,0.06,0.22,0.08,0.15,Matches
Gianluca Caprari,it ITA,"MF,FW",29.0,37,32,2441.0,27.1,5.0,2.0,7.0,4.0,1.0,1.0,7.0,0.0,5.0,4.2,2.5,6.7,100.0,92.0,188.0,0.18,0.07,0.26,0.15,0.22,0.18,0.09,0.28,0.15,0.25,Matches
Patrick Ciurria,it ITA,"DF,MF",27.0,36,31,2753.0,30.6,6.0,5.0,11.0,6.0,0.0,0.0,4.0,0.0,4.8,4.8,5.5,10.2,67.0,91.0,168.0,0.2,0.16,0.36,0.2,0.36,0.16,0.18,0.34,0.16,0.34,Matches
Armando Izzo,it ITA,DF,30.0,30,29,2466.0,27.4,1.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.1,2.1,0.9,3.1,22.0,96.0,29.0,0.04,0.0,0.04,0.04,0.04,0.08,0.03,0.11,0.08,0.11,Matches
Pablo Marí,es ESP,DF,28.0,30,28,2487.0,27.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,0.3,1.0,6.0,57.0,3.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.04,0.02,0.04,Matches
Luca Caldirola,it ITA,DF,31.0,31,27,2353.0,26.1,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.1,1.1,0.5,1.6,12.0,63.0,13.0,0.08,0.0,0.08,0.08,0.08,0.04,0.02,0.06,0.04,0.06,Matches
Dany Mota,pt POR,"FW,MF",24.0,29,21,1912.0,21.2,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,5.1,5.1,2.1,7.3,66.0,34.0,166.0,0.24,0.05,0.28,0.24,0.28,0.24,0.1,0.34,0.24,0.34,Matches
Nicolò Rovella,it ITA,MF,20.0,25,21,1740.0,19.3,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.2,1.2,2.2,3.4,26.0,99.0,19.0,0.05,0.1,0.16,0.05,0.16,0.06,0.11,0.18,0.06,0.18,Matches
Stefano Sensi,it ITA,MF,26.0,28,21,1618.0,18.0,3.0,1.0,4.0,3.0,0.0,0.0,8.0,0.0,1.4,1.4,2.1,3.5,27.0,143.0,37.0,0.17,0.06,0.22,0.17,0.22,0.08,0.12,0.19,0.08,0.19,Matches
Andrea Petagna,it ITA,FW,27.0,31,19,1663.0,18.5,4.0,5.0,9.0,3.0,1.0,1.0,2.0,0.0,5.7,4.9,4.4,9.3,23.0,34.0,132.0,0.22,0.27,0.49,0.16,0.43,0.31,0.24,0.54,0.26,0.5,Matches
Marlon,br BRA,DF,26.0,28,18,1592.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.3,0.2,0.3,0.6,19.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Samuele Birindelli,it ITA,DF,23.0,31,14,1400.0,15.6,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,2.2,3.3,55.0,43.0,121.0,0.0,0.06,0.06,0.0,0.06,0.07,0.14,0.21,0.07,0.21,Matches
Pepín,gq EQG,MF,25.0,25,11,1123.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,1.5,2.0,19.0,74.0,28.0,0.0,0.16,0.16,0.0,0.16,0.04,0.12,0.16,0.04,0.16,Matches
Andrea Colpani,it ITA,MF,23.0,27,10,948.0,10.5,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,2.1,2.1,1.9,4.1,31.0,51.0,69.0,0.38,0.09,0.47,0.38,0.47,0.2,0.18,0.39,0.2,0.39,Matches
Filippo Ranocchia,it ITA,MF,21.0,14,5,530.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.4,1.6,13.0,26.0,15.0,0.17,0.0,0.17,0.17,0.17,0.21,0.06,0.27,0.21,0.27,Matches
Mattia Valoti,it ITA,"MF,FW",28.0,16,4,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,7.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches
Giulio Donati,it ITA,DF,32.0,8,4,422.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.4,0.4,0.1,0.5,4.0,21.0,8.0,0.21,0.0,0.21,0.21,0.21,0.08,0.02,0.11,0.08,0.11,Matches
Christian Gytkjær,dk DEN,"FW,MF",32.0,22,3,559.0,6.2,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.9,3.1,0.3,3.4,1.0,6.0,32.0,0.16,0.0,0.16,0.16,0.16,0.63,0.05,0.68,0.51,0.55,Matches
Andrea Barberis,it ITA,MF,28.0,9,3,338.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,3.0,14.0,0.0,0.0,0.27,0.27,0.0,0.27,0.03,0.1,0.12,0.03,0.12,Matches
Marco D'Alessandro,it ITA,"DF,FW",31.0,8,3,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,14.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16,Matches
Valentin Antov,bg BUL,DF,21.0,9,2,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Luca Marrone,it ITA,DF,32.0,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Salvatore Molina,it ITA,DF,30.0,5,1,229.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,9.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches
Andrea Carboni,it ITA,DF,21.0,4,1,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches
Alessio Cragno,it ITA,GK,28.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Andrea Ranocchia,it ITA,DF,34.0,1,1,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Franco Carboni,it ITA,"DF,FW",19.0,3,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches
Samuele Vignato,it ITA,"MF,FW",18.0,5,0,62.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,4.0,1.0,6.0,0.0,1.45,1.45,0.0,1.45,0.11,0.49,0.6,0.11,0.6,Matches
Warren Bondo,fr FRA,MF,18.0,4,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Leonardo Colombo,it ITA,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gabriele Ferrarini,it ITA,DF,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andrea Ferraris,it ITA,FW,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mirko Marić,hr CRO,FW,27.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
