Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andrea Consigli,it ITA,GK,35.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Davide Frattesi,it ITA,MF,22.0,36,35,2873.0,31.9,7.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,7.8,7.8,1.9,9.7,73.0,137.0,94.0,0.22,0.0,0.22,0.22,0.22,0.24,0.06,0.3,0.24,0.3,Matches
Rogério,br BRA,DF,24.0,36,34,2996.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.5,0.5,2.7,3.3,110.0,185.0,115.0,0.0,0.09,0.09,0.0,0.09,0.02,0.08,0.1,0.02,0.1,Matches
Jeremy Toljan,de GER,DF,27.0,31,29,2672.0,29.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,2.4,3.0,56.0,142.0,99.0,0.0,0.03,0.03,0.0,0.03,0.02,0.08,0.1,0.02,0.1,Matches
Armand Lauriente,fr FRA,FW,23.0,28,27,2175.0,24.2,7.0,6.0,13.0,6.0,1.0,1.0,10.0,1.0,4.7,3.9,6.2,10.1,127.0,90.0,263.0,0.29,0.25,0.54,0.25,0.5,0.19,0.26,0.45,0.16,0.42,Matches
Martin Erlic,hr CRO,DF,24.0,28,26,2330.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,0.2,0.7,7.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Maxime Lopez,fr FRA,MF,24.0,30,25,2296.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1.0,2.1,3.1,54.0,210.0,40.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches
Andrea Pinamonti,it ITA,FW,23.0,32,25,2161.0,24.0,5.0,0.0,5.0,4.0,1.0,1.0,3.0,1.0,7.1,6.3,1.5,7.8,17.0,29.0,166.0,0.21,0.0,0.21,0.17,0.17,0.3,0.06,0.36,0.26,0.32,Matches
Gian Marco Ferrari,it ITA,DF,30.0,33,24,2223.0,24.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,0.4,1.6,11.0,101.0,4.0,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07,Matches
Domenico Berardi,it ITA,FW,27.0,26,22,1866.0,20.7,12.0,7.0,19.0,5.0,7.0,8.0,7.0,0.0,11.4,5.1,6.6,11.7,57.0,114.0,213.0,0.58,0.34,0.92,0.24,0.58,0.55,0.32,0.87,0.24,0.56,Matches
Matheus Henrique,br BRA,MF,24.0,30,21,1947.0,21.6,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,2.9,2.9,1.8,4.6,40.0,116.0,68.0,0.18,0.05,0.23,0.18,0.23,0.13,0.08,0.21,0.13,0.21,Matches
Ruan,br BRA,DF,23.0,23,21,1711.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.5,0.5,0.0,0.5,6.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Grégoire Defrel,mq MTQ,FW,31.0,27,13,1167.0,13.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,3.5,3.5,0.5,4.0,11.0,10.0,75.0,0.15,0.08,0.23,0.15,0.23,0.27,0.04,0.31,0.27,0.31,Matches
Kristian Thorstvedt,no NOR,MF,23.0,31,13,1136.0,12.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,2.1,2.1,1.1,3.2,31.0,60.0,54.0,0.16,0.08,0.24,0.16,0.24,0.17,0.09,0.26,0.17,0.26,Matches
Pedro Obiang,gq EQG,MF,30.0,17,11,876.0,9.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.6,0.0,40.0,6.0,0.0,0.1,0.1,0.0,0.1,0.04,0.02,0.06,0.04,0.06,Matches
Giorgos Kyriakopoulos,gr GRE,"FW,DF",26.0,12,9,766.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.4,2.5,17.0,32.0,46.0,0.12,0.12,0.23,0.12,0.23,0.13,0.17,0.29,0.13,0.29,Matches
Nedim Bajrami,al ALB,"FW,MF",23.0,18,7,819.0,9.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.9,1.9,1.5,3.4,23.0,44.0,96.0,0.11,0.0,0.11,0.11,0.11,0.21,0.16,0.37,0.21,0.37,Matches
Nadir Zortea,it ITA,DF,23.0,10,7,657.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.8,24.0,38.0,25.0,0.0,0.14,0.14,0.0,0.14,0.02,0.09,0.11,0.02,0.11,Matches
Hamed Junior Traorè,ci CIV,"MF,FW",22.0,11,6,591.0,6.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.8,2.7,14.0,26.0,36.0,0.0,0.46,0.46,0.0,0.46,0.15,0.27,0.41,0.15,0.41,Matches
Abdou Harroui,nl NED,MF,24.0,23,5,647.0,7.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.3,1.8,21.0,36.0,32.0,0.28,0.0,0.28,0.28,0.28,0.2,0.05,0.25,0.2,0.25,Matches
Kaan Ayhan,tr TUR,DF,27.0,10,5,545.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emil Ceide,no NOR,FW,20.0,19,5,515.0,5.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,2.1,37.0,19.0,47.0,0.0,0.17,0.17,0.0,0.17,0.15,0.23,0.38,0.15,0.38,Matches
Luca D'Andrea,it ITA,FW,17.0,5,5,316.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,11.0,9.0,29.0,0.0,0.28,0.28,0.0,0.28,0.08,0.23,0.31,0.08,0.31,Matches
Riccardo Marchizza,it ITA,DF,24.0,10,3,283.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,3.0,15.0,15.0,0.0,0.32,0.32,0.0,0.32,0.0,0.1,0.1,0.0,0.1,Matches
Gianluca Pegolo,it ITA,GK,41.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Agustín Álvarez,uy URU,"FW,MF",21.0,22,1,368.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.4,1.9,2.0,6.0,19.0,0.24,0.24,0.49,0.24,0.49,0.36,0.1,0.46,0.36,0.46,Matches
Alessandro Russo,it ITA,GK,21.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mert Müldür,tr TUR,"FW,DF",23.0,2,1,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Janis Antiste,fr FRA,FW,19.0,2,0,52.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,2.0,1.73,0.0,1.73,1.73,1.73,0.31,0.0,0.31,0.31,0.31,Matches
Filippo Romagna,it ITA,DF,25.0,2,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giacomo Raspadori,it ITA,FW,22.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kevin Bruno,it ITA,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Adrian Cannavaro,it ITA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edoardo Pieragnolo,it ITA,"DF,MF",19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Gioele Zacchi,it ITA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.1,38,418,3420.0,38.0,46.0,30.0,76.0,37.0,9.0,10.0,90.0,6.0,51.6,43.9,36.1,80.0,761.0,1565.0,1552.0,1.21,0.79,2.0,0.97,1.76,1.36,0.95,2.31,1.16,2.11,
Opponent Total,,,26.5,38,418,3420.0,38.0,59.0,44.0,103.0,55.0,4.0,4.0,86.0,4.0,49.7,47.1,38.7,85.8,672.0,1349.0,1335.0,1.55,1.16,2.71,1.45,2.61,1.31,1.02,2.33,1.24,2.26,
