season,squad,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2010-2011,Bari,34,18.0,25.235294117647058,26.5,0.2647058823529412,0.058823529411764705,0.38235294117647056,0.4411764705882353,0.9411764705882353,27.0,18.0,,,,,0.0,78.0,6.0,4.0,0.0,4.0,4.023106168647153
2010-2011,Bologna,25,15.0,25.4,25.357142857142858,0.32,0.08,0.36,0.56,0.92,35.0,20.0,,,,,0.0,86.0,3.0,7.6,0.0,7.6,4.536885862938733
2010-2011,Brescia,32,18.0,26.4375,28.38888888888889,0.21875,0.09375,0.375,0.5,0.90625,34.0,18.0,,,,,0.0,101.0,5.0,7.8,0.0,7.8,5.9889010247182215
2010-2011,Cagliari,22,14.0,25.045454545454547,26.0,0.2727272727272727,0.09090909090909091,0.3181818181818182,0.45454545454545453,0.9090909090909091,41.0,28.0,,,,,0.0,74.0,0.0,9.6,0.0,9.6,3.696552740662869
2010-2011,Catania,29,17.0,26.06896551724138,26.9375,0.2413793103448276,0.06896551724137931,0.3448275862068966,0.4827586206896552,0.9310344827586207,38.0,21.0,,,,,0.0,70.0,7.0,7.2,0.0,7.2,3.4736871567621326
2010-2011,Cesena,29,15.0,26.24137931034483,28.214285714285715,0.27586206896551724,0.06896551724137931,0.41379310344827586,0.4827586206896552,0.9310344827586207,37.0,23.0,,,,,0.0,83.0,5.0,8.4,0.0,8.4,5.389508143565296
2010-2011,Chievo,26,17.0,27.846153846153847,27.941176470588236,0.038461538461538464,0.07692307692307693,0.34615384615384615,0.4230769230769231,0.9230769230769231,37.0,21.0,,,,,0.0,97.0,4.0,7.0,0.0,7.0,3.7809237780448064
2010-2011,Fiorentina,30,19.0,25.633333333333333,27.36842105263158,0.26666666666666666,0.1,0.4,0.5666666666666667,0.9,47.0,32.0,,,,,0.0,73.0,5.0,9.6,0.0,9.6,5.006777016400273
2010-2011,Genoa,32,15.0,25.0625,27.6,0.25,0.0625,0.375,0.5625,0.9375,42.0,29.0,,,,,0.0,68.0,5.0,8.6,0.0,8.6,4.812198880399285
2010-2011,Inter,30,18.0,26.666666666666668,29.4375,0.26666666666666666,0.06666666666666667,0.4,0.5,0.9333333333333333,68.0,48.0,,,,,0.0,56.0,3.0,13.8,0.0,13.8,5.504439169862144
2010-2011,Juventus,32,16.0,26.1875,26.9375,0.1875,0.0625,0.40625,0.4375,0.9375,56.0,35.0,,,,,0.0,74.0,5.0,11.0,0.0,11.0,5.044559509527199
2010-2011,Lazio,25,13.0,27.24,27.923076923076923,0.08,0.08,0.4,0.56,0.92,52.0,40.0,,,,,0.0,68.0,7.0,12.8,0.0,12.8,3.8544346753663716
2010-2011,Lecce,26,17.0,25.96153846153846,27.1875,0.23076923076923078,0.07692307692307693,0.4230769230769231,0.46153846153846156,0.9230769230769231,45.0,31.0,,,,,0.0,88.0,9.0,9.2,0.0,9.2,3.924087351023361
2010-2011,Milan,34,18.0,28.0,29.11111111111111,0.20588235294117646,0.08823529411764706,0.38235294117647056,0.47058823529411764,0.9117647058823529,63.0,47.0,,,,,0.0,70.0,5.0,16.2,0.0,16.2,5.5867809346815465
2010-2011,Napoli,24,15.0,26.583333333333332,27.642857142857142,0.16666666666666666,0.041666666666666664,0.4583333333333333,0.5833333333333334,0.9583333333333334,58.0,45.0,,,,,0.0,97.0,5.0,16.4,0.0,16.4,4.4322598678588205
2010-2011,Palermo,27,14.0,24.074074074074073,24.642857142857142,0.4444444444444444,0.07407407407407407,0.37037037037037035,0.48148148148148145,0.9259259259259259,58.0,31.0,,,,,0.0,82.0,3.0,12.4,0.0,12.4,4.607067529901339
2010-2011,Parma,31,18.0,26.096774193548388,27.529411764705884,0.16129032258064516,0.06451612903225806,0.45161290322580644,0.5483870967741935,0.9354838709677419,39.0,17.0,,,,,0.0,90.0,7.0,7.8,0.0,7.8,4.650124290164565
