season,squad,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2010-2011,Bari,20,,,,0.0,,,,,931.0,,,,,,0.0,,,62.4,33.0,29.4,
2011-2012,Atalanta,20,,,,0.0,,,,,950.0,,,,,,0.0,,,64.0,32.6,31.4,
2012-2013,Atalanta,20,,,,0.0,,,,,979.0,,,,,,0.0,,,69.0,34.2,34.8,
2013-2014,Atalanta,20,,,,0.0,,,,,1009.0,,,,,,0.0,,,69.8,33.2,36.599999999999994,
2014-2015,Atalanta,20,,,,0.0,,,,,989.0,,,,,,0.0,,,65.0,34.0,31.0,
2015-2016,Atalanta,20,,,,0.0,,,,,951.0,,,,,,0.0,,,68.6,33.6,34.99999999999999,
2016-2017,Atalanta,20,,,,0.0,,,,,1095.0,,,,,0.10786052009456265,0.0,,,79.4,32.8,46.60000000000001,
2017-2018,Atalanta,20,,,,0.0,,,,,981.0,,960.5999999999999,,,0.1013953488372093,0.0,,,72.4,30.8,41.60000000000001,
2018-2019,Atalanta,20,,,,0.0,,,,,985.0,,1021.4000000000001,,,0.09432155510868524,0.0,,,67.8,32.4,35.4,
2019-2020,Atalanta,20,,,,0.0,,,,,1120.0,,1117.8999999999999,,,0.1048002245719098,0.0,,,79.8,37.4,42.4,
2020-2021,Atalanta,20,,,,0.0,,,,,1128.0,,1085.3999999999999,,,0.12079674448490041,0.0,,,81.0,40.0,41.0,
2021-2022,Atalanta,20,,,,0.0,,,,,1052.0,,1015.2,,,0.10779793011579056,0.0,,,72.0,32.8,39.2,
2022-2023,Atalanta,20,,,,0.0,,,,,943.0,,960.2,,,0.09881588598973069,0.0,,,65.4,29.4,36.00000000000001,
2023-2024,Atalanta,20,,,,0.0,,,,,968.0,,943.8000000000001,,,0.10114942528735632,0.0,,,71.8,31.8,40.0,
2024-2025,Atalanta,20,,,,0.0,,,,,936.0,,915.7,,,0.10275551652212098,0.0,,,65.8,29.4,36.4,
