season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts
2010-2011,Bari,0,34.0,26.9,50.05,38.0,418.0,3420.0,38.0,0.71,0.47,1.18,0.58,5.0,8.0,79.0,7.0,1.05,55.15,473.0,130.0,31.95,12.47,3.42,0.09,0.17,18.1,,,,,24
2010-2011,Bologna,0,25.0,26.5,50.05,38.0,418.0,3420.0,38.0,0.92,0.53,1.45,0.89,1.0,4.0,87.0,4.0,1.42,55.15,473.0,133.0,31.95,12.47,3.5,0.09,0.26,18.1,,,,,42
2010-2011,Brescia,0,32.0,28.3,50.05,38.0,418.0,3420.0,38.0,0.89,0.47,1.37,0.76,5.0,6.0,104.0,5.0,1.24,55.15,473.0,159.0,31.95,12.47,4.18,0.09,0.18,18.1,,,,,32
2010-2011,Cagliari,0,22.0,26.2,50.05,38.0,418.0,3420.0,38.0,1.08,0.74,1.82,1.05,1.0,2.0,75.0,0.0,1.79,55.15,473.0,149.0,31.95,12.47,3.92,0.09,0.27,18.1,,,,,45
2010-2011,Catania,0,29.0,26.8,50.05,38.0,418.0,3420.0,38.0,1.0,0.55,1.55,0.92,3.0,3.0,73.0,7.0,1.47,55.15,473.0,156.0,31.95,12.47,4.11,0.09,0.22,18.1,,,,,46
2010-2011,Cesena,0,29.0,28.6,50.05,38.0,418.0,3420.0,38.0,0.97,0.61,1.58,0.87,4.0,5.0,86.0,7.0,1.47,55.15,473.0,129.0,31.95,12.47,3.39,0.09,0.26,18.1,,,,,43
2010-2011,Chievo,0,26.0,28.2,50.05,38.0,418.0,3420.0,38.0,0.97,0.55,1.53,0.95,1.0,2.0,97.0,4.0,1.5,55.15,473.0,167.0,31.95,12.47,4.39,0.09,0.22,18.1,,,,,46
2010-2011,Fiorentina,0,30.0,27.5,50.05,38.0,418.0,3420.0,38.0,1.24,0.84,2.08,1.16,3.0,4.0,73.0,5.0,2.0,55.15,473.0,186.0,31.95,12.47,4.89,0.09,0.24,18.1,,,,,51
2010-2011,Genoa,0,32.0,27.8,50.05,38.0,418.0,3420.0,38.0,1.11,0.76,1.87,1.05,2.0,2.0,69.0,5.0,1.82,55.15,473.0,162.0,31.95,12.47,4.26,0.09,0.25,18.1,,,,,51
2010-2011,Inter,0,30.0,29.5,50.05,38.0,418.0,3420.0,38.0,1.79,1.26,3.05,1.66,5.0,6.0,56.0,3.0,2.92,55.15,473.0,223.0,31.95,12.47,5.87,0.09,0.28,18.1,,,,,76
2010-2011,Juventus,0,32.0,27.4,50.05,38.0,418.0,3420.0,38.0,1.47,0.92,2.39,1.37,4.0,4.0,74.0,5.0,2.29,55.15,473.0,187.0,31.95,12.47,4.92,0.09,0.28,18.1,,,,,58
2010-2011,Lazio,0,25.0,28.0,50.05,38.0,418.0,3420.0,38.0,1.37,1.05,2.42,1.26,4.0,5.0,73.0,7.0,2.32,55.15,473.0,189.0,31.95,12.47,4.97,0.09,0.25,18.1,,,,,66
2010-2011,Lecce,0,26.0,27.4,50.05,38.0,418.0,3420.0,38.0,1.18,0.82,2.0,1.13,2.0,5.0,89.0,9.0,1.95,55.15,473.0,171.0,31.95,12.47,4.5,0.09,0.25,18.1,,,,,41
2010-2011,Milan,1,34.0,29.2,50.05,38.0,418.0,3420.0,38.0,1.66,1.24,2.89,1.53,5.0,6.0,69.0,5.0,2.76,55.15,473.0,234.0,31.95,12.47,6.16,0.09,0.25,18.1,,,,,82
2010-2011,Napoli,0,24.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.53,1.18,2.71,1.34,7.0,10.0,101.0,5.0,2.53,55.15,473.0,199.0,31.95,12.47,5.24,0.09,0.26,18.1,,,,,70
2010-2011,Palermo,0,27.0,24.9,50.05,38.0,418.0,3420.0,38.0,1.53,0.82,2.34,1.47,2.0,4.0,82.0,3.0,2.29,55.15,473.0,206.0,31.95,12.47,5.42,0.09,0.27,18.1,,,,,56
2010-2011,Parma,0,31.0,28.1,50.05,38.0,418.0,3420.0,38.0,1.03,0.45,1.47,0.95,3.0,3.0,93.0,7.0,1.39,55.15,473.0,152.0,31.95,12.47,4.0,0.09,0.24,18.1,,,,,46
2010-2011,Roma,0,29.0,29.7,50.05,38.0,418.0,3420.0,38.0,1.5,0.87,2.37,1.21,11.0,13.0,84.0,9.0,2.08,55.15,473.0,187.0,31.95,12.47,4.92,0.09,0.25,18.1,,,,,63
2010-2011,Sampdoria,0,30.0,26.0,50.05,38.0,418.0,3420.0,38.0,0.84,0.34,1.18,0.66,7.0,8.0,84.0,5.0,1.0,55.15,473.0,131.0,31.95,12.47,3.45,0.09,0.19,18.1,,,,,36
2010-2011,Udinese,0,24.0,25.6,50.05,38.0,418.0,3420.0,38.0,1.71,1.08,2.79,1.58,5.0,7.0,77.0,7.0,2.66,55.15,473.0,205.0,31.95,12.47,5.39,0.09,0.29,18.1,,,,,66
2011-2012,Atalanta,0,30.0,26.8,50.05,38.0,418.0,3420.0,38.0,1.03,0.58,1.61,0.95,3.0,4.0,102.0,4.0,1.53,55.15,473.0,142.0,31.95,12.47,3.74,0.09,0.25,18.1,,,,,46
2011-2012,Bologna,0,27.0,28.1,50.05,38.0,418.0,3420.0,38.0,1.08,0.66,1.74,1.03,2.0,3.0,97.0,3.0,1.68,55.15,473.0,156.0,31.95,12.47,4.11,0.09,0.25,18.1,,,,,51
2011-2012,Cagliari,0,25.0,26.6,50.05,38.0,418.0,3420.0,38.0,0.92,0.53,1.45,0.76,6.0,6.0,83.0,2.0,1.29,55.15,473.0,152.0,31.95,12.47,4.0,0.09,0.19,18.1,,,,,43
2011-2012,Catania,0,33.0,27.5,50.05,38.0,418.0,3420.0,38.0,1.21,0.63,1.84,0.97,9.0,11.0,82.0,6.0,1.61,55.15,473.0,183.0,31.95,12.47,4.82,0.09,0.2,18.1,,,,,48
