season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts,__season_norm,__squad_norm,roster_size,starters_count,age_mean,age_mean_starters,pct_under23,pct_gk,pct_df,pct_mf,pct_fw,goals_tot,assists_tot,xg_tot,xga_proxy,team_xg_per90,conversion_sh_to_g,progressions_tot,yellow_cards,red_cards,top5_mean_gpa,bottom5_mean_gpa,gap_top5_bottom5_gpa,age_std
2010-2011,Bari,0,34.0,26.9,50.05,38.0,418.0,3420.0,38.0,0.71,0.47,1.18,0.58,5.0,8.0,79.0,7.0,1.05,55.15,473.0,130.0,31.95,12.47,3.42,0.09,0.17,18.1,,,,,24,2010-2011,bari,34.0,18.0,25.235294117647054,26.5,0.2647058823529412,0.0588235294117647,0.3823529411764705,0.4411764705882353,0.9411764705882352,27.0,18.0,,,,,0.0,78.0,6.0,4.0,0.0,4.0,4.023106168647153
2010-2011,Bologna,0,25.0,26.5,50.05,38.0,418.0,3420.0,38.0,0.92,0.53,1.45,0.89,1.0,4.0,87.0,4.0,1.42,55.15,473.0,133.0,31.95,12.47,3.5,0.09,0.26,18.1,,,,,42,2010-2011,bologna,25.0,15.0,25.4,25.357142857142858,0.32,0.08,0.36,0.56,0.92,35.0,20.0,,,,,0.0,86.0,3.0,7.6,0.0,7.6,4.536885862938733
2010-2011,Brescia,0,32.0,28.3,50.05,38.0,418.0,3420.0,38.0,0.89,0.47,1.37,0.76,5.0,6.0,104.0,5.0,1.24,55.15,473.0,159.0,31.95,12.47,4.18,0.09,0.18,18.1,,,,,32,2010-2011,brescia,32.0,18.0,26.4375,28.38888888888889,0.21875,0.09375,0.375,0.5,0.90625,34.0,18.0,,,,,0.0,101.0,5.0,7.8,0.0,7.8,5.9889010247182215
2010-2011,Cagliari,0,22.0,26.2,50.05,38.0,418.0,3420.0,38.0,1.08,0.74,1.82,1.05,1.0,2.0,75.0,0.0,1.79,55.15,473.0,149.0,31.95,12.47,3.92,0.09,0.27,18.1,,,,,45,2010-2011,cagliari,22.0,14.0,25.045454545454547,26.0,0.2727272727272727,0.0909090909090909,0.3181818181818182,0.4545454545454545,0.9090909090909092,41.0,28.0,,,,,0.0,74.0,0.0,9.6,0.0,9.6,3.696552740662869
2010-2011,Catania,0,29.0,26.8,50.05,38.0,418.0,3420.0,38.0,1.0,0.55,1.55,0.92,3.0,3.0,73.0,7.0,1.47,55.15,473.0,156.0,31.95,12.47,4.11,0.09,0.22,18.1,,,,,46,2010-2011,catania,29.0,17.0,26.06896551724138,26.9375,0.2413793103448276,0.0689655172413793,0.3448275862068966,0.4827586206896552,0.9310344827586208,38.0,21.0,,,,,0.0,70.0,7.0,7.2,0.0,7.2,3.473687156762133
2010-2011,Cesena,0,29.0,28.6,50.05,38.0,418.0,3420.0,38.0,0.97,0.61,1.58,0.87,4.0,5.0,86.0,7.0,1.47,55.15,473.0,129.0,31.95,12.47,3.39,0.09,0.26,18.1,,,,,43,2010-2011,cesena,29.0,15.0,26.24137931034483,28.214285714285715,0.2758620689655172,0.0689655172413793,0.4137931034482758,0.4827586206896552,0.9310344827586208,37.0,23.0,,,,,0.0,83.0,5.0,8.4,0.0,8.4,5.389508143565296
2010-2011,Chievo,0,26.0,28.2,50.05,38.0,418.0,3420.0,38.0,0.97,0.55,1.53,0.95,1.0,2.0,97.0,4.0,1.5,55.15,473.0,167.0,31.95,12.47,4.39,0.09,0.22,18.1,,,,,46,2010-2011,chievo,26.0,17.0,27.846153846153847,27.94117647058824,0.0384615384615384,0.0769230769230769,0.3461538461538461,0.4230769230769231,0.9230769230769232,37.0,21.0,,,,,0.0,97.0,4.0,7.0,0.0,7.0,3.7809237780448064
2010-2011,Fiorentina,0,30.0,27.5,50.05,38.0,418.0,3420.0,38.0,1.24,0.84,2.08,1.16,3.0,4.0,73.0,5.0,2.0,55.15,473.0,186.0,31.95,12.47,4.89,0.09,0.24,18.1,,,,,51,2010-2011,fiorentina,30.0,19.0,25.633333333333333,27.36842105263158,0.2666666666666666,0.1,0.4,0.5666666666666667,0.9,47.0,32.0,,,,,0.0,73.0,5.0,9.6,0.0,9.6,5.006777016400273
2010-2011,Genoa,0,32.0,27.8,50.05,38.0,418.0,3420.0,38.0,1.11,0.76,1.87,1.05,2.0,2.0,69.0,5.0,1.82,55.15,473.0,162.0,31.95,12.47,4.26,0.09,0.25,18.1,,,,,51,2010-2011,genoa,32.0,15.0,25.0625,27.6,0.25,0.0625,0.375,0.5625,0.9375,42.0,29.0,,,,,0.0,68.0,5.0,8.6,0.0,8.6,4.812198880399285
2010-2011,Inter,0,30.0,29.5,50.05,38.0,418.0,3420.0,38.0,1.79,1.26,3.05,1.66,5.0,6.0,56.0,3.0,2.92,55.15,473.0,223.0,31.95,12.47,5.87,0.09,0.28,18.1,,,,,76,2010-2011,inter,30.0,18.0,26.666666666666668,29.4375,0.2666666666666666,0.0666666666666666,0.4,0.5,0.9333333333333332,68.0,48.0,,,,,0.0,56.0,3.0,13.8,0.0,13.8,5.504439169862144
2010-2011,Juventus,0,32.0,27.4,50.05,38.0,418.0,3420.0,38.0,1.47,0.92,2.39,1.37,4.0,4.0,74.0,5.0,2.29,55.15,473.0,187.0,31.95,12.47,4.92,0.09,0.28,18.1,,,,,58,2010-2011,juventus,32.0,16.0,26.1875,26.9375,0.1875,0.0625,0.40625,0.4375,0.9375,56.0,35.0,,,,,0.0,74.0,5.0,11.0,0.0,11.0,5.044559509527199
2010-2011,Lazio,0,25.0,28.0,50.05,38.0,418.0,3420.0,38.0,1.37,1.05,2.42,1.26,4.0,5.0,73.0,7.0,2.32,55.15,473.0,189.0,31.95,12.47,4.97,0.09,0.25,18.1,,,,,66,2010-2011,lazio,25.0,13.0,27.24,27.923076923076923,0.08,0.08,0.4,0.56,0.92,52.0,40.0,,,,,0.0,68.0,7.0,12.8,0.0,12.8,3.854434675366372
2010-2011,Lecce,0,26.0,27.4,50.05,38.0,418.0,3420.0,38.0,1.18,0.82,2.0,1.13,2.0,5.0,89.0,9.0,1.95,55.15,473.0,171.0,31.95,12.47,4.5,0.09,0.25,18.1,,,,,41,2010-2011,lecce,26.0,17.0,25.96153846153846,27.1875,0.2307692307692307,0.0769230769230769,0.4230769230769231,0.4615384615384615,0.9230769230769232,45.0,31.0,,,,,0.0,88.0,9.0,9.2,0.0,9.2,3.924087351023361
2010-2011,Milan,1,34.0,29.2,50.05,38.0,418.0,3420.0,38.0,1.66,1.24,2.89,1.53,5.0,6.0,69.0,5.0,2.76,55.15,473.0,234.0,31.95,12.47,6.16,0.09,0.25,18.1,,,,,82,2010-2011,milan,34.0,18.0,28.0,29.11111111111111,0.2058823529411764,0.088235294117647,0.3823529411764705,0.4705882352941176,0.9117647058823528,63.0,47.0,,,,,0.0,70.0,5.0,16.2,0.0,16.2,5.5867809346815465
2010-2011,Napoli,0,24.0,27.7,50.05,38.0,418.0,3420.0,38.0,1.53,1.18,2.71,1.34,7.0,10.0,101.0,5.0,2.53,55.15,473.0,199.0,31.95,12.47,5.24,0.09,0.26,18.1,,,,,70,2010-2011,napoli,24.0,15.0,26.58333333333333,27.642857142857142,0.1666666666666666,0.0416666666666666,0.4583333333333333,0.5833333333333334,0.9583333333333334,58.0,45.0,,,,,0.0,97.0,5.0,16.4,0.0,16.4,4.4322598678588205
2010-2011,Palermo,0,27.0,24.9,50.05,38.0,418.0,3420.0,38.0,1.53,0.82,2.34,1.47,2.0,4.0,82.0,3.0,2.29,55.15,473.0,206.0,31.95,12.47,5.42,0.09,0.27,18.1,,,,,56,2010-2011,palermo,27.0,14.0,24.074074074074076,24.642857142857142,0.4444444444444444,0.074074074074074,0.3703703703703703,0.4814814814814814,0.925925925925926,58.0,31.0,,,,,0.0,82.0,3.0,12.4,0.0,12.4,4.607067529901339
2010-2011,Parma,0,31.0,28.1,50.05,38.0,418.0,3420.0,38.0,1.03,0.45,1.47,0.95,3.0,3.0,93.0,7.0,1.39,55.15,473.0,152.0,31.95,12.47,4.0,0.09,0.24,18.1,,,,,46,2010-2011,parma,31.0,18.0,26.096774193548388,27.529411764705884,0.1612903225806451,0.064516129032258,0.4516129032258064,0.5483870967741935,0.935483870967742,39.0,17.0,,,,,0.0,90.0,7.0,7.8,0.0,7.8,4.650124290164565
