Season,Col1,Col2,Col3,Col4,Col5
2013-14,= Italian Serie A 2013/14,,,,
2013-14,» Matchday 1,,,,
2013-14,Sat Aug/24 2013,,,,
2013-14,18.00,Hellas Verona,v AC Milan,2-1 (1-1),
2013-14,20.45,Sampdoria,v Juventus,0-1 (0-0),
2013-14,Sun Aug/25,,,,
2013-14,18.00,Inter,v Genoa CFC,2-0 (0-0),
2013-14,20.45,Cagliari Calcio,v Atalanta,2-1 (1-1),
2013-14,Lazio Roma,v Udinese Calcio,2-1 (2-0),,
2013-14,AS Livorno,v AS Roma,0-2 (0-0),,
2013-14,SSC Napoli,v Bologna FC,3-0 (2-0),,
2013-14,Parma FC,v Chievo Verona,0-0,,
2013-14,Torino FC,v Sassuolo Calcio,2-0 (1-0),,
2013-14,Mon Aug/26,,,,
2013-14,20.45,ACF Fiorentina,v Calcio Catania,2-1 (2-1),
2013-14,» Matchday 2,,,,
2013-14,Sat Aug/31,,,,
2013-14,18.00,Chievo Verona,v SSC Napoli,2-4 (2-2),
2013-14,20.45,Juventus,v Lazio Roma,4-1 (2-1),
2013-14,Sun Sep/1,,,,
2013-14,18.00,AS Roma,v Hellas Verona,3-0 (0-0),
2013-14,20.45,Atalanta,v Torino FC,2-0 (0-0),
2013-14,Bologna FC,v Sampdoria,2-2 (1-1),,
2013-14,Calcio Catania,v Inter,0-3 (0-1),,
2013-14,Genoa CFC,v ACF Fiorentina,2-5 (0-3),,
2013-14,AC Milan,v Cagliari Calcio,3-1 (2-1),,
2013-14,Sassuolo Calcio,v AS Livorno,1-4 (0-1),,
2013-14,Udinese Calcio,v Parma FC,3-1 (1-0),,
2013-14,» Matchday 3,,,,
2013-14,Sat Sep/14,,,,
2013-14,18.00,Inter,v Juventus,1-1 (0-0),
2013-14,20.45,SSC Napoli,v Atalanta,2-0 (0-0),
2013-14,Torino FC,v AC Milan,2-2 (0-0),,
2013-14,Sun Sep/15,,,,
2013-14,12.30,ACF Fiorentina,v Cagliari Calcio,1-1 (0-0),
2013-14,15.00,Hellas Verona,v Sassuolo Calcio,2-0 (1-0),
2013-14,Lazio Roma,v Chievo Verona,3-0 (3-0),,
2013-14,AS Livorno,v Calcio Catania,2-0 (0-0),,
2013-14,Udinese Calcio,v Bologna FC,1-1 (0-0),,
2013-14,20.45,Sampdoria,v Genoa CFC,0-3 (0-1),
2013-14,Mon Sep/16,,,,
2013-14,20.45,Parma FC,v AS Roma,1-3 (1-0),
2013-14,» Matchday 4,,,,
2013-14,Sat Sep/21,,,,
2013-14,18.00,Cagliari Calcio,v Sampdoria,2-2 (1-0),
2013-14,Chievo Verona,v Udinese Calcio,2-1 (2-1),,
2013-14,20.45,Genoa CFC,v AS Livorno,0-0,
2013-14,Sun Sep/22,,,,
2013-14,12.30,Sassuolo Calcio,v Inter,0-7 (0-3),
2013-14,15.00,Atalanta,v ACF Fiorentina,0-2 (0-1),
2013-14,Bologna FC,v Torino FC,1-2 (1-2),,
2013-14,Calcio Catania,v Parma FC,0-0,,
2013-14,Juventus,v Hellas Verona,2-1 (2-1),,
2013-14,AS Roma,v Lazio Roma,2-0 (0-0),,
2013-14,20.45,AC Milan,v SSC Napoli,1-2 (0-1),
2013-14,» Matchday 5,,,,
2013-14,Tue Sep/24,,,,
2013-14,20.45,Udinese Calcio,v Genoa CFC,1-0 (0-0),
2013-14,Wed Sep/25,,,,
2013-14,20.45,Bologna FC,v AC Milan,3-3 (1-1),
2013-14,Chievo Verona,v Juventus,1-2 (1-0),,
2013-14,Lazio Roma,v Calcio Catania,3-1 (2-1),,
2013-14,AS Livorno,v Cagliari Calcio,1-1 (1-0),,
2013-14,SSC Napoli,v Sassuolo Calcio,1-1 (1-1),,
2013-14,Parma FC,v Atalanta,4-3 (4-2),,
2013-14,Sampdoria,v AS Roma,0-2 (0-0),,
2013-14,Torino FC,v Hellas Verona,2-2 (1-1),,
2013-14,Thu Sep/26,,,,
2013-14,20.45,Inter,v ACF Fiorentina,2-1 (0-0),
2013-14,» Matchday 6,,,,
2013-14,Sat Sep/28,,,,
2013-14,18.00,Genoa CFC,v SSC Napoli,0-2 (0-2),
2013-14,20.45,AC Milan,v Sampdoria,1-0 (0-0),
2013-14,Sun Sep/29,,,,
2013-14,12.30,Torino FC,v Juventus,0-1 (0-0),
2013-14,15.00,Atalanta,v Udinese Calcio,2-0 (1-0),
2013-14,Cagliari Calcio,v Inter,1-1 (0-0),,
2013-14,Calcio Catania,v Chievo Verona,2-0 (1-0),,
2013-14,Hellas Verona,v AS Livorno,2-1 (1-1),,
2013-14,Sassuolo Calcio,v Lazio Roma,2-2 (0-0),,
2013-14,20.45,AS Roma,v Bologna FC,5-0 (3-0),
2013-14,Mon Sep/30,,,,
2013-14,20.45,ACF Fiorentina,v Parma FC,2-2 (0-1),
2013-14,» Matchday 7,,,,
2013-14,Sat Oct/5,,,,
2013-14,18.00,Chievo Verona,v Atalanta,0-1 (0-1),
2013-14,20.45,Inter,v AS Roma,0-3 (0-3),
2013-14,Sun Oct/6,,,,
2013-14,12.30,Parma FC,v Sassuolo Calcio,3-1 (1-1),
2013-14,15.00,Bologna FC,v Hellas Verona,1-4 (0-2),
2013-14,Calcio Catania,v Genoa CFC,1-1 (0-0),,
2013-14,SSC Napoli,v AS Livorno,4-0 (2-0),,
2013-14,Sampdoria,v Torino FC,2-2 (1-0),,
2013-14,Udinese Calcio,v Cagliari Calcio,2-0 (1-0),,
2013-14,20.45,Juventus,v AC Milan,3-2 (1-1),
2013-14,Lazio Roma,v ACF Fiorentina,0-0,,
2013-14,» Matchday 8,,,,
2013-14,Fri Oct/18,,,,
2013-14,20.45,AS Roma,v SSC Napoli,2-0 (1-0),
2013-14,Sat Oct/19,,,,
2013-14,18.00,Cagliari Calcio,v Calcio Catania,2-1 (1-1),
2013-14,20.45,AC Milan,v Udinese Calcio,1-0 (1-0),
2013-14,Sun Oct/20,,,,
2013-14,12.30,Atalanta,v Lazio Roma,2-1 (1-0),
2013-14,15.00,ACF Fiorentina,v Juventus,4-2 (0-2),
2013-14,Genoa CFC,v Chievo Verona,2-1 (1-0),,
2013-14,Hellas Verona,v Parma FC,3-2 (1-2),,
2013-14,AS Livorno,v Sampdoria,1-2 (0-1),,
2013-14,Sassuolo Calcio,v Bologna FC,2-1 (2-1),,
2013-14,20.45,Torino FC,v Inter,3-3 (1-1),
2013-14,» Matchday 9,,,,
2013-14,Sat Oct/26,,,,
2013-14,18.00,Sampdoria,v Atalanta,1-0 (0-0),
2013-14,20.45,Inter,v Hellas Verona,4-2 (3-1),
2013-14,Sun Oct/27,,,,
2013-14,12.30,SSC Napoli,v Torino FC,2-0 (2-0),
2013-14,15.00,Bologna FC,v AS Livorno,1-0 (1-0),
2013-14,Calcio Catania,v Sassuolo Calcio,0-0,,
2013-14,Chievo Verona,v ACF Fiorentina,1-2 (1-1),,
2013-14,Juventus,v Genoa CFC,2-0 (2-0),,
2013-14,Parma FC,v AC Milan,3-2 (2-0),,
2013-14,Udinese Calcio,v AS Roma,0-1 (0-0),,
2013-14,20.45,Lazio Roma,v Cagliari Calcio,2-0 (0-0),
2013-14,» Matchday 10,,,,
2013-14,Tue Oct/29,,,,
