Home,Away,Prediction,probability,quota-equa,quota-minima-accettare
Cagliari,Parma,H,0.465500,2.148228,2.685285
Juventus,Iner,A,0.421900,2.370230,2.962787
Fiorentina,Napoli,A,0.522600,1.913509,2.391887
Roma,Torino,H,0.661000,1.512859,1.891074
Atalanta,Lecce,H,0.647900,1.543448,1.929310
Pisa,Udinese,H,0.376800,2.653928,3.317410
Sassuolo,Lazio,A,0.558100,1.791794,2.239742
Milan,Bologna,H,0.568200,1.759944,2.199930
Verona,Cremonese,H,0.460300,2.172496,2.715620
Como,Genoa,H,0.486800,2.054232,2.567790
